Ticker	Date	Price	Model	Actual	Forecast
AAPL	2013-05-15	close	MA	  61.26	  64.92
AAPL	2013-05-15	close	EWMA	  61.26	  64.25
AAPL	2013-05-15	close	ARIMA	  61.26	  63.14
AAPL	2013-05-15	close	KNN	  61.26	  65.28
AAPL	2013-05-15	close	SAX	  61.26	  63.67
AAPL	2013-05-15	close	LSTM	  61.26	  63.99
AAPL	2013-08-19	close	MA	  72.53	  70.16
AAPL	2013-08-19	close	EWMA	  72.53	  71.41
AAPL	2013-08-19	close	ARIMA	  72.53	  71.41
AAPL	2013-08-19	close	KNN	  72.53	  60.70
AAPL	2013-08-19	close	SAX	  72.53	  61.86
AAPL	2013-08-19	close	LSTM	  72.53	  65.65
AAPL	2013-11-20	close	MA	  73.57	  74.63
AAPL	2013-11-20	close	EWMA	  73.57	  73.56
AAPL	2013-11-20	close	ARIMA	  73.57	  74.09
AAPL	2013-11-20	close	KNN	  73.57	  72.52
AAPL	2013-11-20	close	SAX	  73.57	  72.32
AAPL	2013-11-20	close	LSTM	  73.57	  63.41
AAPL	2014-02-28	close	MA	  75.18	  74.85
AAPL	2014-02-28	close	EWMA	  75.18	  74.37
AAPL	2014-02-28	close	ARIMA	  75.18	  75.30
AAPL	2014-02-28	close	KNN	  75.18	  75.30
AAPL	2014-02-28	close	SAX	  75.18	  73.04
AAPL	2014-02-28	close	LSTM	  75.18	  75.16
AAPL	2014-06-04	close	MA	  92.12	  90.25
AAPL	2014-06-04	close	EWMA	  92.12	  90.21
AAPL	2014-06-04	close	ARIMA	  92.12	  91.00
AAPL	2014-06-04	close	KNN	  92.12	  79.50
AAPL	2014-06-04	close	SAX	  92.12	  78.15
AAPL	2014-06-04	close	LSTM	  92.12	  78.63
AAPL	2014-09-08	close	MA	  98.36	 100.37
AAPL	2014-09-08	close	EWMA	  98.36	  98.29
AAPL	2014-09-08	close	ARIMA	  98.36	  98.90
AAPL	2014-09-08	close	KNN	  98.36	  94.66
AAPL	2014-09-08	close	SAX	  98.36	  98.31
AAPL	2014-09-08	close	LSTM	  98.36	  74.99
AAPL	2014-12-10	close	MA	 111.95	 114.59
AAPL	2014-12-10	close	EWMA	 111.95	 113.02
AAPL	2014-12-10	close	ARIMA	 111.95	 104.69
AAPL	2014-12-10	close	KNN	 111.95	 101.42
AAPL	2014-12-10	close	SAX	 111.95	 105.35
AAPL	2014-12-10	close	LSTM	 111.95	  94.64
AAPL	2015-03-19	close	MA	 127.50	 125.70
AAPL	2015-03-19	close	EWMA	 127.50	 126.64
AAPL	2015-03-19	close	ARIMA	 127.50	 128.42
AAPL	2015-03-19	close	KNN	 127.50	 115.57
AAPL	2015-03-19	close	SAX	 127.50	 119.72
AAPL	2015-03-19	close	LSTM	 127.50	  92.81
AAPL	2015-06-23	close	MA	 127.03	 127.40
AAPL	2015-06-23	close	EWMA	 127.03	 126.04
AAPL	2015-06-23	close	ARIMA	 127.03	 127.52
AAPL	2015-06-23	close	KNN	 127.03	 128.52
AAPL	2015-06-23	close	SAX	 127.03	 127.19
AAPL	2015-06-23	close	LSTM	 127.03	 111.44
AAPL	2015-09-25	close	MA	 114.71	 114.28
AAPL	2015-09-25	close	EWMA	 114.71	 114.08
AAPL	2015-09-25	close	ARIMA	 114.71	 115.00
AAPL	2015-09-25	close	KNN	 114.71	 120.46
AAPL	2015-09-25	close	SAX	 114.71	 116.16
AAPL	2015-09-25	close	LSTM	 114.71	 114.97
AAPL	2015-12-30	close	MA	 107.32	 107.89
AAPL	2015-12-30	close	EWMA	 107.32	 107.19
AAPL	2015-12-30	close	ARIMA	 107.32	 108.98
AAPL	2015-12-30	close	KNN	 107.32	 113.91
AAPL	2015-12-30	close	SAX	 107.32	 111.59
AAPL	2015-12-30	close	LSTM	 107.32	 104.21
AAPL	2016-04-07	close	MA	 108.54	 110.17
AAPL	2016-04-07	close	EWMA	 108.54	 110.43
AAPL	2016-04-07	close	ARIMA	 108.54	 111.04
AAPL	2016-04-07	close	KNN	 108.54	  97.69
AAPL	2016-04-07	close	SAX	 108.54	  99.52
AAPL	2016-04-07	close	LSTM	 108.54	 104.36
AAPL	2016-07-12	close	MA	  97.42	  96.02
AAPL	2016-07-12	close	EWMA	  97.42	  96.41
AAPL	2016-07-12	close	ARIMA	  97.42	  97.43
AAPL	2016-07-12	close	KNN	  97.42	  96.52
AAPL	2016-07-12	close	SAX	  97.42	  93.28
AAPL	2016-07-12	close	LSTM	  97.42	  94.90
