Ticker	Date	Price	Model	Actual	Forecast
AAPL	2013-03-19	close	MA	  -1.00	   0.00
AAPL	2013-03-19	close	EWMA	  -1.00	   0.00
AAPL	2013-03-19	close	ARIMA	  -1.00	   0.00
AAPL	2013-03-19	close	KNN	  -1.00	   0.00
AAPL	2013-03-19	close	SAX	  -1.00	   0.00
AAPL	2013-03-19	close	LSTM	  -1.00	   0.00
AAPL	2013-05-02	close	MA	  -1.00	   0.00
AAPL	2013-05-02	close	EWMA	  -1.00	   0.00
AAPL	2013-05-02	close	ARIMA	  -1.00	   0.00
AAPL	2013-05-02	close	KNN	  -1.00	   0.00
AAPL	2013-05-02	close	SAX	  -1.00	   0.00
AAPL	2013-05-02	close	LSTM	  -1.00	   0.00
AAPL	2013-11-05	close	MA	  75.06	  74.60
AAPL	2013-11-05	close	EWMA	  75.06	  76.39
AAPL	2013-11-05	close	ARIMA	  75.06	  75.10
AAPL	2013-11-05	close	KNN	  75.06	  70.83
AAPL	2013-11-05	close	SAX	  75.06	  70.70
AAPL	2013-11-05	close	LSTM	  75.06	  63.03
AAPL	2014-01-16	close	MA	  79.18	  77.40
AAPL	2014-01-16	close	EWMA	  79.18	  79.88
AAPL	2014-01-16	close	ARIMA	  79.18	  79.52
AAPL	2014-01-16	close	KNN	  79.18	  74.07
AAPL	2014-01-16	close	SAX	  79.18	  76.37
AAPL	2014-01-16	close	LSTM	  79.18	  74.17
AAPL	2014-05-02	close	MA	  84.65	  84.00
AAPL	2014-05-02	close	EWMA	  84.65	  85.27
AAPL	2014-05-02	close	ARIMA	  84.65	  84.42
AAPL	2014-05-02	close	KNN	  84.65	  76.33
AAPL	2014-05-02	close	SAX	  84.65	  76.31
AAPL	2014-05-02	close	LSTM	  84.65	  76.55
AAPL	2014-06-19	close	MA	  91.86	  92.01
AAPL	2014-06-19	close	EWMA	  91.86	  91.74
AAPL	2014-06-19	close	ARIMA	  91.86	  92.11
AAPL	2014-06-19	close	KNN	  91.86	  80.62
AAPL	2014-06-19	close	SAX	  91.86	  84.12
AAPL	2014-06-19	close	LSTM	  91.86	  75.34
AAPL	2014-06-24	close	MA	  90.28	  91.57
AAPL	2014-06-24	close	EWMA	  90.28	  91.47
AAPL	2014-06-24	close	ARIMA	  90.28	  90.76
AAPL	2014-06-24	close	KNN	  90.28	  81.70
AAPL	2014-06-24	close	SAX	  90.28	  86.58
AAPL	2014-06-24	close	LSTM	  90.28	  75.57
AAPL	2014-06-25	close	MA	  90.36	  91.21
AAPL	2014-06-25	close	EWMA	  90.36	  90.48
AAPL	2014-06-25	close	ARIMA	  90.36	  90.21
AAPL	2014-06-25	close	KNN	  90.36	  83.86
AAPL	2014-06-25	close	SAX	  90.36	  82.66
AAPL	2014-06-25	close	LSTM	  90.36	  75.64
AAPL	2014-08-04	close	MA	  95.59	  97.46
AAPL	2014-08-04	close	EWMA	  95.59	  92.82
AAPL	2014-08-04	close	ARIMA	  95.59	  96.08
AAPL	2014-08-04	close	KNN	  95.59	  91.18
AAPL	2014-08-04	close	SAX	  95.59	  95.77
AAPL	2014-08-04	close	LSTM	  95.59	  63.23
