Group	Model	Condition	ss	acc.m	acc.lb	acc.ub
C1	MA	LUN	 43	0.860	0.767	0.977
C1	Baseline	LUN	  0	0.793	0.761	0.825
C2	MA	LUN	170	0.876	0.829	0.929
C3	MA	LUN	180	0.900	0.856	0.944
C1	MA	LUO	 43	0.977	0.953	1.023
C1	Baseline	LUO	  0	0.793	0.761	0.825
C2	MA	LUO	170	0.924	0.888	0.965
C3	MA	LUO	180	0.967	0.944	0.994
C1	MA	LAN	 43	0.977	0.953	1.023
C1	Baseline	LAN	  0	0.793	0.761	0.825
C2	MA	LAN	170	0.906	0.865	0.953
C3	MA	LAN	180	0.917	0.878	0.961
C1	MA	LAO	 43	0.977	0.953	1.023
C1	Baseline	LAO	  0	0.793	0.761	0.825
C2	MA	LAO	170	0.888	0.841	0.941
C3	MA	LAO	180	0.967	0.944	0.994
C1	MA	HUN	 44	0.841	0.750	0.955
C1	Baseline	HUN	  0	0.793	0.761	0.825
C2	MA	HUN	171	0.865	0.819	0.918
C3	MA	HUN	180	0.922	0.883	0.961
C1	MA	HUO	 44	0.841	0.750	0.955
C1	Baseline	HUO	  0	0.793	0.761	0.825
C2	MA	HUO	171	0.889	0.842	0.936
C3	MA	HUO	180	0.961	0.933	0.989
C1	MA	HAN	 44	0.886	0.795	0.977
C1	Baseline	HAN	  0	0.793	0.761	0.825
C2	MA	HAN	171	0.883	0.836	0.936
C3	MA	HAN	180	0.867	0.817	0.917
C1	MA	HAO	 44	0.841	0.750	0.955
C1	Baseline	HAO	  0	0.793	0.761	0.825
C2	MA	HAO	171	0.889	0.842	0.936
C3	MA	HAO	180	0.956	0.928	0.989
C1	MA	RUN	 38	0.842	0.737	0.974
C1	Baseline	RUN	  0	0.793	0.761	0.825
C2	MA	RUN	150	0.853	0.800	0.913
C3	MA	RUN	160	0.894	0.850	0.944
C1	MA	RUO	 38	0.816	0.711	0.947
C1	Baseline	RUO	  0	0.793	0.761	0.825
C2	MA	RUO	150	0.860	0.807	0.920
C3	MA	RUO	160	0.931	0.894	0.975
C1	MA	RAN	 38	0.868	0.763	0.974
C1	Baseline	RAN	  0	0.793	0.761	0.825
C2	MA	RAN	150	0.827	0.767	0.887
C3	MA	RAN	160	0.863	0.813	0.919
C1	MA	RAO	 38	0.868	0.763	0.974
C1	Baseline	RAO	  0	0.793	0.761	0.825
C2	MA	RAO	150	0.933	0.900	0.973
C3	MA	RAO	160	0.938	0.900	0.981
C1	ARIMA	LUN	 43	0.884	0.791	0.977
C1	Baseline	LUN	  0	0.793	0.761	0.825
C2	ARIMA	LUN	170	0.888	0.841	0.935
C3	ARIMA	LUN	180	0.906	0.867	0.950
C1	ARIMA	LUO	 43	0.953	0.907	1.023
C1	Baseline	LUO	  0	0.793	0.761	0.825
C2	ARIMA	LUO	170	0.935	0.900	0.976
