Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  63.80	Down	Down	match
AAPL	2013-11-01	  74.29	  74.86	Down	Down	match
AAPL	2014-02-03	  71.65	  73.09	Down	Down	match
AAPL	2014-05-01	  84.50	  83.32	Down	Down	match
AAPL	2014-08-01	  96.13	  97.76	Stable	Stable	match
AAPL	2014-11-03	 109.40	 106.83	Stable	Stable	match
AAPL	2015-02-02	 118.63	 114.72	Stable	Stable	match
AAPL	2015-05-01	 128.95	 129.46	Up	Up	match
AAPL	2015-08-03	 118.44	 122.56	Stable	Up	miss
AAPL	2015-11-02	 121.18	 117.83	Stable	Stable	match
AAPL	2016-02-01	  96.43	  96.86	Stable	Stable	match
AAPL	2016-05-02	  93.64	  99.16	Stable	Stable	match
AAPL	2016-08-01	 106.05	 101.10	Stable	Stable	match
AAPL	2016-11-01	 111.49	 115.12	Stable	Stable	match
AAPL	2017-02-01	 128.75	 121.75	Up	Stable	miss
AAPL	2017-05-01	 146.58	 143.86	Up	Up	match
AAPL	2017-08-01	 158.59	 151.00	Up	Up	match
AAPL	2017-11-01	 166.89	 162.53	Up	Up	match
IBM	2013-08-01	 195.81	 196.37	Up	Up	match
IBM	2013-11-01	 179.23	 179.14	Up	Up	match
IBM	2014-02-03	 172.90	 177.04	Up	Up	match
IBM	2014-05-01	 193.53	 192.91	Up	Up	match
IBM	2014-08-01	 189.15	 194.08	Up	Up	match
IBM	2014-11-03	 164.36	 163.54	Stable	Stable	match
IBM	2015-02-02	 154.66	 154.07	Stable	Stable	match
IBM	2015-05-01	 173.67	 172.02	Up	Stable	miss
IBM	2015-08-03	 158.71	 160.63	Stable	Stable	match
IBM	2015-11-02	 140.37	 140.60	Down	Down	match
IBM	2016-02-01	 124.83	 122.53	Down	Down	match
IBM	2016-05-02	 145.27	 148.27	Down	Down	match
IBM	2016-08-01	 161.45	 161.72	Stable	Stable	match
IBM	2016-11-01	 152.79	 152.47	Stable	Stable	match
IBM	2017-02-01	 174.29	 176.91	Stable	Stable	match
IBM	2017-05-01	 158.84	 160.36	Stable	Stable	match
IBM	2017-08-01	 145.16	 145.12	Down	Down	match
IBM	2017-11-01	 154.03	 153.84	Down	Down	match
HPQ	2016-02-01	   9.97	   9.59	Stable	Stable	match
HPQ	2016-05-02	  12.12	  12.58	Stable	Stable	match
HPQ	2016-08-01	  14.18	  14.06	Up	Stable	miss
HPQ	2016-11-01	  14.35	  14.08	Up	Stable	miss
HPQ	2017-02-01	  14.99	  14.93	Up	Up	match
HPQ	2017-05-01	  18.93	  18.67	Up	Up	match
HPQ	2017-08-01	  19.10	  19.23	Up	Up	match
HPQ	2017-11-01	  21.47	  21.53	Up	Up	match
