Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  63.25	Down	Down	match
AAPL	2013-11-01	  74.29	  70.02	Down	Down	match
AAPL	2014-02-03	  71.65	  74.02	Down	Down	match
AAPL	2014-05-01	  84.50	  79.10	Down	Down	match
AAPL	2014-08-01	  96.13	  86.62	Down	Down	match
AAPL	2014-11-03	 109.40	  96.53	Stable	Stable	match
AAPL	2015-02-02	 118.63	 109.79	Stable	Stable	match
AAPL	2015-05-01	 128.95	 121.96	Up	Up	match
AAPL	2015-08-03	 118.44	 112.44	Stable	Stable	match
AAPL	2015-11-02	 121.18	 116.04	Up	Stable	miss
AAPL	2016-02-01	  96.43	 100.46	Stable	Stable	match
AAPL	2016-05-02	  93.64	  99.65	Down	Stable	miss
AAPL	2016-08-01	 106.05	 101.27	Stable	Stable	match
AAPL	2016-11-01	 111.49	 114.65	Stable	Stable	match
AAPL	2017-02-01	 128.75	 118.07	Up	Stable	miss
AAPL	2017-05-01	 146.58	 133.38	Up	Up	match
AAPL	2017-08-01	 158.59	 142.51	Up	Up	match
AAPL	2017-11-01	 166.89	 153.78	Up	Up	match
IBM	2013-08-01	 195.81	 203.33	Up	Up	match
IBM	2013-11-01	 179.23	 190.80	Up	Up	match
IBM	2014-02-03	 172.90	 180.73	Up	Up	match
IBM	2014-05-01	 193.53	 188.15	Up	Up	match
IBM	2014-08-01	 189.15	 191.49	Up	Up	match
IBM	2014-11-03	 164.36	 178.03	Stable	Up	miss
IBM	2015-02-02	 154.66	 168.28	Stable	Stable	match
IBM	2015-05-01	 173.67	 171.87	Up	Up	match
IBM	2015-08-03	 158.71	 164.50	Stable	Stable	match
IBM	2015-11-02	 140.37	 151.29	Down	Down	match
IBM	2016-02-01	 124.83	 137.31	Down	Down	match
IBM	2016-05-02	 145.27	 147.89	Down	Down	match
IBM	2016-08-01	 161.45	 157.17	Stable	Stable	match
IBM	2016-11-01	 152.79	 157.45	Down	Stable	miss
IBM	2017-02-01	 174.29	 173.55	Stable	Stable	match
IBM	2017-05-01	 158.84	 165.83	Stable	Stable	match
IBM	2017-08-01	 145.16	 149.23	Down	Down	match
IBM	2017-11-01	 154.03	 152.86	Down	Down	match
HPQ	2016-02-01	   9.97	  11.51	Down	Down	match
HPQ	2016-05-02	  12.12	  12.03	Down	Down	match
HPQ	2016-08-01	  14.18	  13.65	Stable	Stable	match
HPQ	2016-11-01	  14.35	  13.71	Stable	Stable	match
HPQ	2017-02-01	  14.99	  15.00	Stable	Stable	match
HPQ	2017-05-01	  18.93	  17.41	Up	Up	match
HPQ	2017-08-01	  19.10	  17.79	Up	Up	match
HPQ	2017-11-01	  21.47	  20.30	Up	Up	match
