Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  67.01	Down	Down	match
AAPL	2013-11-01	  74.29	  77.12	Down	Down	match
AAPL	2014-02-03	  71.65	  71.91	Down	Down	match
AAPL	2014-05-01	  84.50	  80.59	Down	Down	match
AAPL	2014-08-01	  96.13	  94.17	Stable	Stable	match
AAPL	2014-11-03	 109.40	 106.51	Stable	Stable	match
AAPL	2015-02-02	 118.63	 118.47	Stable	Stable	match
AAPL	2015-05-01	 128.95	 128.41	Up	Up	match
AAPL	2015-08-03	 118.44	 119.83	Stable	Stable	match
AAPL	2015-11-02	 121.18	 118.14	Up	Stable	miss
AAPL	2016-02-01	  96.43	  96.50	Stable	Stable	match
AAPL	2016-05-02	  93.64	  94.23	Down	Stable	miss
AAPL	2016-08-01	 106.05	 104.29	Stable	Stable	match
AAPL	2016-11-01	 111.49	 113.89	Stable	Stable	match
AAPL	2017-02-01	 128.75	 124.03	Up	Up	match
AAPL	2017-05-01	 146.58	 143.89	Up	Up	match
AAPL	2017-08-01	 158.59	 148.44	Up	Up	match
AAPL	2017-11-01	 166.89	 170.19	Up	Up	match
IBM	2013-08-01	 195.81	 197.58	Up	Up	match
IBM	2013-11-01	 179.23	 181.21	Up	Up	match
IBM	2014-02-03	 172.90	 178.49	Stable	Up	miss
IBM	2014-05-01	 193.53	 189.44	Up	Up	match
IBM	2014-08-01	 189.15	 189.89	Up	Up	match
IBM	2014-11-03	 164.36	 162.65	Stable	Stable	match
IBM	2015-02-02	 154.66	 154.28	Stable	Stable	match
IBM	2015-05-01	 173.67	 172.51	Up	Stable	miss
IBM	2015-08-03	 158.71	 160.49	Stable	Stable	match
IBM	2015-11-02	 140.37	 138.87	Down	Down	match
IBM	2016-02-01	 124.83	 123.72	Down	Down	match
IBM	2016-05-02	 145.27	 146.98	Down	Down	match
IBM	2016-08-01	 161.45	 158.47	Stable	Stable	match
IBM	2016-11-01	 152.79	 152.04	Down	Down	match
IBM	2017-02-01	 174.29	 176.08	Up	Up	match
IBM	2017-05-01	 158.84	 159.73	Stable	Stable	match
IBM	2017-08-01	 145.16	 145.88	Down	Down	match
IBM	2017-11-01	 154.03	 155.43	Stable	Stable	match
HPQ	2016-02-01	   9.97	   9.64	Stable	Stable	match
HPQ	2016-05-02	  12.12	  12.34	Stable	Stable	match
HPQ	2016-08-01	  14.18	  14.38	Up	Up	match
HPQ	2016-11-01	  14.35	  14.67	Up	Up	match
HPQ	2017-02-01	  14.99	  15.32	Up	Up	match
HPQ	2017-05-01	  18.93	  18.18	Up	Up	match
HPQ	2017-08-01	  19.10	  18.92	Up	Up	match
HPQ	2017-11-01	  21.47	  21.34	Up	Up	match
