Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  59.63	Down	Down	match
AAPL	2013-11-01	  74.29	  70.68	Down	Down	match
AAPL	2014-02-03	  71.65	  75.42	Down	Down	match
AAPL	2014-05-01	  84.50	  76.01	Down	Down	match
AAPL	2014-08-01	  96.13	  94.33	Stable	Stable	match
AAPL	2014-11-03	 109.40	  98.63	Stable	Stable	match
AAPL	2015-02-02	 118.63	 111.38	Stable	Stable	match
AAPL	2015-05-01	 128.95	 127.53	Up	Up	match
AAPL	2015-08-03	 118.44	 128.69	Stable	Up	miss
AAPL	2015-11-02	 121.18	 112.63	Up	Stable	miss
AAPL	2016-02-01	  96.43	 111.73	Stable	Stable	match
AAPL	2016-05-02	  93.64	  95.20	Down	Stable	miss
AAPL	2016-08-01	 106.05	  96.72	Stable	Stable	match
AAPL	2016-11-01	 111.49	 112.89	Stable	Stable	match
AAPL	2017-02-01	 128.75	 110.92	Up	Stable	miss
AAPL	2017-05-01	 146.58	 139.14	Up	Up	match
AAPL	2017-08-01	 158.59	 147.13	Up	Up	match
AAPL	2017-11-01	 166.89	 157.26	Up	Up	match
IBM	2013-08-01	 195.81	 202.97	Up	Up	match
IBM	2013-11-01	 179.23	 189.20	Up	Up	match
IBM	2014-02-03	 172.90	 182.18	Stable	Up	miss
IBM	2014-05-01	 193.53	 185.72	Up	Up	match
IBM	2014-08-01	 189.15	 187.02	Up	Up	match
IBM	2014-11-03	 164.36	 189.73	Stable	Up	miss
IBM	2015-02-02	 154.66	 162.08	Stable	Stable	match
IBM	2015-05-01	 173.67	 162.86	Up	Stable	miss
IBM	2015-08-03	 158.71	 167.02	Stable	Stable	match
IBM	2015-11-02	 140.37	 154.34	Down	Stable	miss
IBM	2016-02-01	 124.83	 136.32	Down	Down	match
IBM	2016-05-02	 145.27	 145.48	Down	Down	match
IBM	2016-08-01	 161.45	 151.57	Stable	Down	miss
IBM	2016-11-01	 152.79	 160.98	Down	Stable	miss
IBM	2017-02-01	 174.29	 164.88	Up	Stable	miss
IBM	2017-05-01	 158.84	 176.38	Stable	Up	miss
IBM	2017-08-01	 145.16	 154.03	Down	Stable	miss
IBM	2017-11-01	 154.03	 144.73	Stable	Down	miss
HPQ	2016-02-01	   9.97	  13.30	Stable	Stable	match
HPQ	2016-05-02	  12.12	  11.35	Stable	Stable	match
HPQ	2016-08-01	  14.18	  12.29	Up	Stable	miss
HPQ	2016-11-01	  14.35	  14.74	Up	Up	match
HPQ	2017-02-01	  14.99	  14.99	Up	Up	match
HPQ	2017-05-01	  18.93	  16.81	Up	Up	match
HPQ	2017-08-01	  19.10	  19.12	Up	Up	match
HPQ	2017-11-01	  21.47	  19.85	Up	Up	match
