Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  63.50	Down	Down	match
AAPL	2013-11-01	  74.29	  71.91	Down	Down	match
AAPL	2014-02-03	  71.65	  73.72	Down	Down	match
AAPL	2014-05-01	  84.50	  79.45	Down	Down	match
AAPL	2014-08-01	  96.13	  89.89	Stable	Down	miss
AAPL	2014-11-03	 109.40	  99.80	Stable	Stable	match
AAPL	2015-02-02	 118.63	 112.15	Stable	Stable	match
AAPL	2015-05-01	 128.95	 123.91	Up	Up	match
AAPL	2015-08-03	 118.44	 116.97	Stable	Stable	match
AAPL	2015-11-02	 121.18	 116.38	Up	Stable	miss
AAPL	2016-02-01	  96.43	 100.99	Stable	Stable	match
AAPL	2016-05-02	  93.64	  98.78	Down	Stable	miss
AAPL	2016-08-01	 106.05	 101.33	Stable	Stable	match
AAPL	2016-11-01	 111.49	 114.21	Stable	Stable	match
AAPL	2017-02-01	 128.75	 118.81	Up	Stable	miss
AAPL	2017-05-01	 146.58	 134.29	Up	Up	match
AAPL	2017-08-01	 158.59	 144.68	Up	Up	match
AAPL	2017-11-01	 166.89	 158.26	Up	Up	match
IBM	2013-08-01	 195.81	 201.25	Up	Up	match
IBM	2013-11-01	 179.23	 186.39	Up	Up	match
IBM	2014-02-03	 172.90	 179.90	Stable	Up	miss
IBM	2014-05-01	 193.53	 189.93	Up	Up	match
IBM	2014-08-01	 189.15	 191.36	Up	Up	match
IBM	2014-11-03	 164.36	 174.90	Stable	Up	miss
IBM	2015-02-02	 154.66	 162.56	Stable	Stable	match
IBM	2015-05-01	 173.67	 170.43	Up	Stable	miss
IBM	2015-08-03	 158.71	 163.43	Stable	Stable	match
IBM	2015-11-02	 140.37	 147.72	Down	Down	match
IBM	2016-02-01	 124.83	 132.64	Down	Down	match
IBM	2016-05-02	 145.27	 147.32	Down	Down	match
IBM	2016-08-01	 161.45	 157.38	Stable	Stable	match
IBM	2016-11-01	 152.79	 155.90	Down	Stable	miss
IBM	2017-02-01	 174.29	 173.63	Up	Stable	miss
IBM	2017-05-01	 158.84	 164.79	Stable	Stable	match
IBM	2017-08-01	 145.16	 148.00	Down	Down	match
IBM	2017-11-01	 154.03	 152.78	Stable	Down	miss
HPQ	2016-02-01	   9.97	  11.55	Stable	Stable	match
HPQ	2016-05-02	  12.12	  11.95	Stable	Stable	match
HPQ	2016-08-01	  14.18	  13.57	Up	Stable	miss
HPQ	2016-11-01	  14.35	  13.94	Up	Stable	miss
HPQ	2017-02-01	  14.99	  15.01	Up	Up	match
HPQ	2017-05-01	  18.93	  17.55	Up	Up	match
HPQ	2017-08-01	  19.10	  18.06	Up	Up	match
HPQ	2017-11-01	  21.47	  20.40	Up	Up	match
