Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  64.60	Down	Down	match
AAPL	2013-11-01	  74.29	  74.51	Down	Down	match
AAPL	2014-02-03	  71.65	  71.47	Down	Down	match
AAPL	2014-05-01	  84.50	  84.22	Down	Down	match
AAPL	2014-08-01	  96.13	  95.55	Down	Down	match
AAPL	2014-11-03	 109.40	 107.97	Stable	Stable	match
AAPL	2015-02-02	 118.63	 117.09	Stable	Stable	match
AAPL	2015-05-01	 128.95	 125.09	Up	Up	match
AAPL	2015-08-03	 118.44	 121.23	Stable	Up	miss
AAPL	2015-11-02	 121.18	 119.44	Up	Up	match
AAPL	2016-02-01	  96.43	  97.61	Stable	Stable	match
AAPL	2016-05-02	  93.64	  93.96	Down	Down	match
AAPL	2016-08-01	 106.05	 104.58	Stable	Stable	match
AAPL	2016-11-01	 111.49	 113.43	Stable	Stable	match
AAPL	2017-02-01	 128.75	 121.15	Up	Up	match
AAPL	2017-05-01	 146.58	 114.75	Up	Stable	miss
AAPL	2017-08-01	 158.59	 148.68	Up	Up	match
AAPL	2017-11-01	 166.89	 168.97	Up	Up	match
IBM	2013-08-01	 195.81	 195.49	Up	Up	match
IBM	2013-11-01	 179.23	 179.59	Up	Up	match
IBM	2014-02-03	 172.90	 176.97	Stable	Up	miss
IBM	2014-05-01	 193.53	 196.32	Up	Up	match
IBM	2014-08-01	 189.15	 191.39	Up	Up	match
IBM	2014-11-03	 164.36	 164.80	Stable	Stable	match
IBM	2015-02-02	 154.66	 153.50	Stable	Down	miss
IBM	2015-05-01	 173.67	 171.35	Up	Stable	miss
IBM	2015-08-03	 158.71	 162.11	Stable	Stable	match
IBM	2015-11-02	 140.37	 140.52	Down	Down	match
IBM	2016-02-01	 124.83	 124.99	Down	Down	match
IBM	2016-05-02	 145.27	 146.00	Down	Down	match
IBM	2016-08-01	 161.45	 160.53	Stable	Stable	match
IBM	2016-11-01	 152.79	 153.58	Down	Down	match
IBM	2017-02-01	 174.29	 174.43	Up	Up	match
IBM	2017-05-01	 158.84	 160.28	Stable	Stable	match
IBM	2017-08-01	 145.16	 144.88	Down	Down	match
IBM	2017-11-01	 154.03	 154.09	Down	Down	match
HPQ	2016-02-01	   9.97	   9.79	Down	Down	match
HPQ	2016-05-02	  12.12	  12.26	Down	Down	match
HPQ	2016-08-01	  14.18	  13.96	Stable	Stable	match
HPQ	2016-11-01	  14.35	  14.46	Stable	Stable	match
HPQ	2017-02-01	  14.99	  15.04	Stable	Stable	match
HPQ	2017-05-01	  18.93	  18.81	Up	Up	match
HPQ	2017-08-01	  19.10	  19.08	Up	Up	match
HPQ	2017-11-01	  21.47	  21.54	Up	Up	match
