Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  64.73	Down	Down	match
AAPL	2013-11-01	  74.29	  60.48	Down	Down	match
AAPL	2014-02-03	  71.65	  74.65	Down	Down	match
AAPL	2014-05-01	  84.50	  76.47	Down	Down	match
AAPL	2014-08-01	  96.13	  63.22	Down	Down	match
AAPL	2014-11-03	 109.40	  77.39	Stable	Down	miss
AAPL	2015-02-02	 118.63	  98.27	Stable	Stable	match
AAPL	2015-05-01	 128.95	 107.33	Up	Stable	miss
AAPL	2015-08-03	 118.44	  80.51	Stable	Down	miss
AAPL	2015-11-02	 121.18	 115.67	Up	Stable	miss
AAPL	2016-02-01	  96.43	  94.21	Stable	Down	miss
AAPL	2016-05-02	  93.64	 104.52	Down	Stable	miss
AAPL	2016-08-01	 106.05	 104.31	Stable	Stable	match
AAPL	2016-11-01	 111.49	 116.74	Stable	Stable	match
AAPL	2017-02-01	 128.75	 117.73	Up	Stable	miss
AAPL	2017-05-01	 146.58	 121.68	Up	Up	match
AAPL	2017-08-01	 158.59	 126.63	Up	Up	match
AAPL	2017-11-01	 166.89	 132.03	Up	Up	match
IBM	2013-08-01	 195.81	 209.61	Up	Up	match
IBM	2013-11-01	 179.23	 206.90	Up	Up	match
IBM	2014-02-03	 172.90	 181.75	Stable	Up	miss
IBM	2014-05-01	 193.53	 187.12	Up	Up	match
IBM	2014-08-01	 189.15	 195.42	Up	Up	match
IBM	2014-11-03	 164.36	 180.18	Stable	Up	miss
IBM	2015-02-02	 154.66	 192.45	Stable	Up	miss
IBM	2015-05-01	 173.67	 183.67	Up	Up	match
IBM	2015-08-03	 158.71	 167.15	Stable	Stable	match
IBM	2015-11-02	 140.37	 161.71	Down	Stable	miss
IBM	2016-02-01	 124.83	 155.04	Down	Stable	miss
IBM	2016-05-02	 145.27	 150.98	Down	Down	match
IBM	2016-08-01	 161.45	 161.60	Stable	Stable	match
IBM	2016-11-01	 152.79	 160.84	Down	Stable	miss
IBM	2017-02-01	 174.29	 178.96	Up	Up	match
IBM	2017-05-01	 158.84	 161.25	Stable	Stable	match
IBM	2017-08-01	 145.16	 149.37	Down	Down	match
IBM	2017-11-01	 154.03	 159.02	Down	Stable	miss
HPQ	2016-02-01	   9.97	  13.32	Down	Down	match
HPQ	2016-05-02	  12.12	  12.27	Down	Down	match
HPQ	2016-08-01	  14.18	  13.32	Stable	Down	miss
HPQ	2016-11-01	  14.35	  11.17	Stable	Down	miss
HPQ	2017-02-01	  14.99	  14.86	Stable	Stable	match
HPQ	2017-05-01	  18.93	  14.77	Up	Stable	miss
HPQ	2017-08-01	  19.10	  14.48	Up	Stable	miss
HPQ	2017-11-01	  21.47	  18.14	Up	Up	match
