Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-08-01	  65.24	  61.20	Down	Down	match
AAPL	2013-11-01	  74.29	  73.82	Down	Down	match
AAPL	2014-02-03	  71.65	  75.79	Down	Down	match
AAPL	2014-05-01	  84.50	  76.06	Down	Down	match
AAPL	2014-08-01	  96.13	  94.33	Down	Down	match
AAPL	2014-11-03	 109.40	 101.49	Stable	Stable	match
AAPL	2015-02-02	 118.63	 112.94	Stable	Stable	match
AAPL	2015-05-01	 128.95	 125.62	Up	Up	match
AAPL	2015-08-03	 118.44	 128.99	Stable	Up	miss
AAPL	2015-11-02	 121.18	 114.54	Up	Stable	miss
AAPL	2016-02-01	  96.43	 109.02	Stable	Stable	match
AAPL	2016-05-02	  93.64	 105.62	Down	Stable	miss
AAPL	2016-08-01	 106.05	  96.96	Stable	Stable	match
AAPL	2016-11-01	 111.49	 113.18	Stable	Stable	match
AAPL	2017-02-01	 128.75	 117.31	Up	Stable	miss
AAPL	2017-05-01	 146.58	 142.41	Up	Up	match
AAPL	2017-08-01	 158.59	 146.22	Up	Up	match
AAPL	2017-11-01	 166.89	 158.60	Up	Up	match
IBM	2013-08-01	 195.81	 205.50	Up	Up	match
IBM	2013-11-01	 179.23	 182.34	Up	Up	match
IBM	2014-02-03	 172.90	 182.98	Stable	Up	miss
IBM	2014-05-01	 193.53	 188.04	Up	Up	match
IBM	2014-08-01	 189.15	 190.38	Up	Up	match
IBM	2014-11-03	 164.36	 188.51	Stable	Up	miss
IBM	2015-02-02	 154.66	 159.00	Stable	Stable	match
IBM	2015-05-01	 173.67	 160.16	Up	Stable	miss
IBM	2015-08-03	 158.71	 163.19	Stable	Stable	match
IBM	2015-11-02	 140.37	 150.26	Down	Down	match
IBM	2016-02-01	 124.83	 133.25	Down	Down	match
IBM	2016-05-02	 145.27	 146.23	Down	Down	match
IBM	2016-08-01	 161.45	 150.42	Stable	Down	miss
IBM	2016-11-01	 152.79	 155.53	Down	Stable	miss
IBM	2017-02-01	 174.29	 170.54	Up	Stable	miss
IBM	2017-05-01	 158.84	 170.71	Stable	Stable	match
IBM	2017-08-01	 145.16	 148.70	Down	Down	match
IBM	2017-11-01	 154.03	 149.59	Down	Down	match
HPQ	2016-02-01	   9.97	  13.69	Down	Down	match
HPQ	2016-05-02	  12.12	  10.89	Down	Down	match
HPQ	2016-08-01	  14.18	  13.41	Stable	Down	miss
HPQ	2016-11-01	  14.35	  14.55	Stable	Stable	match
HPQ	2017-02-01	  14.99	  14.90	Stable	Stable	match
HPQ	2017-05-01	  18.93	  18.03	Up	Up	match
HPQ	2017-08-01	  19.10	  17.53	Up	Stable	miss
HPQ	2017-11-01	  21.47	  19.97	Up	Up	match
