Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  65.28	Down	Down	match
AAPL	2013-08-19	  72.53	  60.70	Down	Down	match
AAPL	2013-11-20	  73.57	  72.52	Down	Down	match
AAPL	2014-02-28	  75.18	  75.30	Down	Down	match
AAPL	2014-06-04	  92.12	  79.50	Down	Down	match
AAPL	2014-09-08	  98.36	  94.66	Stable	Down	miss
AAPL	2014-12-10	 111.95	 101.42	Stable	Stable	match
AAPL	2015-03-19	 127.50	 115.57	Up	Stable	miss
AAPL	2015-06-23	 127.03	 128.52	Up	Up	match
AAPL	2015-09-25	 114.71	 120.46	Stable	Up	miss
AAPL	2015-12-30	 107.32	 113.91	Stable	Stable	match
AAPL	2016-04-07	 108.54	  97.69	Stable	Stable	match
AAPL	2016-07-12	  97.42	  96.52	Down	Down	match
AAPL	2016-10-13	 116.98	 111.00	Stable	Stable	match
AAPL	2017-01-19	 119.78	 114.56	Stable	Stable	match
AAPL	2017-04-26	 143.68	 140.61	Up	Up	match
AAPL	2017-07-31	 148.73	 149.18	Up	Up	match
AAPL	2017-11-01	 166.89	 157.26	Up	Up	match
IBM	2013-05-15	 203.32	 210.52	Up	Up	match
IBM	2013-08-19	 184.23	 203.32	Up	Up	match
IBM	2013-11-20	 185.19	 185.06	Up	Up	match
IBM	2014-02-28	 185.17	 179.42	Up	Stable	miss
IBM	2014-06-04	 184.51	 191.08	Stable	Up	miss
IBM	2014-09-08	 190.14	 190.61	Up	Up	match
IBM	2014-12-10	 160.51	 161.68	Stable	Stable	match
IBM	2015-03-19	 159.81	 157.54	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.22	Stable	Stable	match
IBM	2015-09-25	 145.42	 160.53	Down	Stable	miss
IBM	2015-12-30	 139.34	 137.52	Down	Down	match
IBM	2016-04-07	 148.25	 132.12	Down	Down	match
IBM	2016-07-12	 157.04	 149.78	Stable	Down	miss
IBM	2016-10-13	 153.72	 159.42	Stable	Stable	match
IBM	2017-01-19	 166.81	 162.77	Stable	Stable	match
IBM	2017-04-26	 160.06	 180.47	Stable	Stable	match
IBM	2017-07-31	 144.67	 152.62	Down	Down	match
IBM	2017-11-01	 154.03	 144.73	Down	Down	match
HPQ	2016-04-07	  11.99	  10.15	Stable	Stable	match
HPQ	2016-07-12	  13.72	  12.20	Up	Stable	miss
HPQ	2016-10-13	  15.15	  14.47	Up	Up	match
HPQ	2017-01-19	  14.86	  15.61	Up	Up	match
HPQ	2017-04-26	  18.63	  17.22	Up	Up	match
HPQ	2017-07-31	  19.10	  19.05	Up	Up	match
HPQ	2017-11-01	  21.47	  19.85	Up	Up	match
