Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  63.67	Down	Down	match
AAPL	2013-08-19	  72.53	  61.86	Down	Down	match
AAPL	2013-11-20	  73.57	  72.32	Down	Down	match
AAPL	2014-02-28	  75.18	  73.04	Down	Down	match
AAPL	2014-06-04	  92.12	  78.15	Down	Down	match
AAPL	2014-09-08	  98.36	  98.31	Stable	Stable	match
AAPL	2014-12-10	 111.95	 105.35	Stable	Stable	match
AAPL	2015-03-19	 127.50	 119.72	Up	Up	match
AAPL	2015-06-23	 127.03	 127.19	Up	Up	match
AAPL	2015-09-25	 114.71	 116.16	Stable	Stable	match
AAPL	2015-12-30	 107.32	 111.59	Stable	Stable	match
AAPL	2016-04-07	 108.54	  99.52	Stable	Stable	match
AAPL	2016-07-12	  97.42	  93.28	Down	Down	match
AAPL	2016-10-13	 116.98	 106.93	Stable	Stable	match
AAPL	2017-01-19	 119.78	 113.19	Stable	Stable	match
AAPL	2017-04-26	 143.68	 135.37	Up	Up	match
AAPL	2017-07-31	 148.73	 146.27	Up	Up	match
AAPL	2017-11-01	 166.89	 158.60	Up	Up	match
IBM	2013-05-15	 203.32	 210.15	Up	Up	match
IBM	2013-08-19	 184.23	 196.52	Up	Up	match
IBM	2013-11-20	 185.19	 184.19	Up	Up	match
IBM	2014-02-28	 185.17	 179.91	Up	Stable	miss
IBM	2014-06-04	 184.51	 186.67	Stable	Up	miss
IBM	2014-09-08	 190.14	 191.11	Up	Up	match
IBM	2014-12-10	 160.51	 161.72	Stable	Stable	match
IBM	2015-03-19	 159.81	 159.34	Stable	Stable	match
IBM	2015-06-23	 168.62	 168.80	Stable	Stable	match
IBM	2015-09-25	 145.42	 154.59	Down	Stable	miss
IBM	2015-12-30	 139.34	 138.53	Down	Down	match
IBM	2016-04-07	 148.25	 128.71	Down	Down	match
IBM	2016-07-12	 157.04	 151.97	Stable	Down	miss
IBM	2016-10-13	 153.72	 158.98	Stable	Stable	match
IBM	2017-01-19	 166.81	 166.62	Stable	Stable	match
IBM	2017-04-26	 160.06	 177.77	Stable	Stable	match
IBM	2017-07-31	 144.67	 151.89	Down	Down	match
IBM	2017-11-01	 154.03	 149.59	Down	Down	match
HPQ	2016-04-07	  11.99	  11.80	Stable	Stable	match
HPQ	2016-07-12	  13.72	  12.58	Up	Stable	miss
HPQ	2016-10-13	  15.15	  14.72	Up	Up	match
HPQ	2017-01-19	  14.86	  15.31	Up	Up	match
HPQ	2017-04-26	  18.63	  17.46	Up	Up	match
HPQ	2017-07-31	  19.10	  18.18	Up	Up	match
HPQ	2017-11-01	  21.47	  19.97	Up	Up	match
