Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  63.14	Down	Down	match
AAPL	2013-08-19	  72.53	  71.41	Down	Down	match
AAPL	2013-11-20	  73.57	  74.09	Down	Down	match
AAPL	2014-02-28	  75.18	  75.30	Down	Down	match
AAPL	2014-06-04	  92.12	  91.00	Down	Down	match
AAPL	2014-09-08	  98.36	  98.90	Stable	Stable	match
AAPL	2014-12-10	 111.95	 104.69	Stable	Stable	match
AAPL	2015-03-19	 127.50	 128.42	Up	Up	match
AAPL	2015-06-23	 127.03	 127.52	Up	Up	match
AAPL	2015-09-25	 114.71	 115.00	Stable	Stable	match
AAPL	2015-12-30	 107.32	 108.98	Stable	Stable	match
AAPL	2016-04-07	 108.54	 111.04	Stable	Stable	match
AAPL	2016-07-12	  97.42	  97.43	Down	Down	match
AAPL	2016-10-13	 116.98	 117.15	Stable	Stable	match
AAPL	2017-01-19	 119.78	 119.80	Up	Up	match
AAPL	2017-04-26	 143.68	 114.38	Up	Stable	miss
AAPL	2017-07-31	 148.73	 149.45	Up	Up	match
AAPL	2017-11-01	 166.89	 168.97	Up	Up	match
IBM	2013-05-15	 203.32	 203.35	Up	Up	match
IBM	2013-08-19	 184.23	 185.94	Up	Up	match
IBM	2013-11-20	 185.19	 185.50	Up	Up	match
IBM	2014-02-28	 185.17	 185.41	Up	Up	match
IBM	2014-06-04	 184.51	 184.50	Up	Up	match
IBM	2014-09-08	 190.14	 190.88	Up	Up	match
IBM	2014-12-10	 160.51	 163.24	Stable	Stable	match
IBM	2015-03-19	 159.81	 159.96	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.80	Stable	Stable	match
IBM	2015-09-25	 145.42	 144.62	Down	Down	match
IBM	2015-12-30	 139.34	 140.00	Down	Down	match
IBM	2016-04-07	 148.25	 150.04	Down	Down	match
IBM	2016-07-12	 157.04	 155.08	Stable	Down	miss
IBM	2016-10-13	 153.72	 154.17	Down	Down	match
IBM	2017-01-19	 166.81	 166.66	Stable	Stable	match
IBM	2017-04-26	 160.06	 160.38	Stable	Stable	match
IBM	2017-07-31	 144.67	 144.44	Down	Down	match
IBM	2017-11-01	 154.03	 154.09	Down	Down	match
HPQ	2016-04-07	  11.99	  12.26	Down	Down	match
HPQ	2016-07-12	  13.72	  13.12	Down	Down	match
HPQ	2016-10-13	  15.15	  15.31	Stable	Stable	match
HPQ	2017-01-19	  14.86	  14.57	Stable	Stable	match
HPQ	2017-04-26	  18.63	  18.60	Stable	Stable	match
HPQ	2017-07-31	  19.10	  19.15	Up	Up	match
HPQ	2017-11-01	  21.47	  21.54	Up	Up	match
