Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  63.99	Down	Down	match
AAPL	2013-08-19	  72.53	  65.65	Down	Down	match
AAPL	2013-11-20	  73.57	  63.41	Down	Down	match
AAPL	2014-02-28	  75.18	  75.16	Down	Down	match
AAPL	2014-06-04	  92.12	  78.63	Down	Down	match
AAPL	2014-09-08	  98.36	  74.99	Stable	Down	miss
AAPL	2014-12-10	 111.95	  94.64	Stable	Down	miss
AAPL	2015-03-19	 127.50	  92.81	Up	Down	miss
AAPL	2015-06-23	 127.03	 111.44	Up	Stable	miss
AAPL	2015-09-25	 114.71	 114.97	Stable	Stable	match
AAPL	2015-12-30	 107.32	 104.21	Stable	Stable	match
AAPL	2016-04-07	 108.54	 104.36	Stable	Stable	match
AAPL	2016-07-12	  97.42	  94.90	Down	Down	match
AAPL	2016-10-13	 116.98	 116.47	Stable	Stable	match
AAPL	2017-01-19	 119.78	 117.49	Up	Stable	miss
AAPL	2017-04-26	 143.68	 121.47	Up	Up	match
AAPL	2017-07-31	 148.73	 126.57	Up	Up	match
AAPL	2017-11-01	 166.89	 132.03	Up	Up	match
IBM	2013-05-15	 203.32	 208.33	Up	Up	match
IBM	2013-11-20	 185.19	 190.98	Up	Up	match
IBM	2014-02-28	 185.17	 187.01	Up	Up	match
IBM	2014-06-04	 184.51	 186.96	Up	Up	match
IBM	2014-09-08	 190.14	 190.94	Up	Up	match
IBM	2014-12-10	 160.51	 183.50	Stable	Up	miss
IBM	2015-03-19	 159.81	 170.21	Stable	Stable	match
IBM	2015-06-23	 168.62	 168.08	Stable	Stable	match
IBM	2015-09-25	 145.42	 163.94	Down	Stable	miss
IBM	2015-12-30	 139.34	 157.58	Down	Stable	miss
IBM	2016-04-07	 148.25	 163.49	Down	Stable	miss
IBM	2016-07-12	 157.04	 149.73	Stable	Down	miss
IBM	2016-10-13	 153.72	 161.07	Down	Stable	miss
IBM	2017-01-19	 166.81	 169.82	Stable	Stable	match
IBM	2017-04-26	 160.06	 161.27	Stable	Stable	match
IBM	2017-07-31	 144.67	 149.40	Down	Down	match
IBM	2017-11-01	 154.03	 159.02	Down	Stable	miss
HPQ	2016-04-07	  11.99	  12.18	Down	Down	match
HPQ	2016-07-12	  13.72	  11.93	Down	Down	match
HPQ	2016-10-13	  15.15	  14.15	Stable	Stable	match
HPQ	2017-01-19	  14.86	  13.88	Stable	Down	miss
HPQ	2017-04-26	  18.63	  14.71	Stable	Stable	match
HPQ	2017-07-31	  19.10	  17.00	Up	Stable	miss
HPQ	2017-11-01	  21.47	  18.14	Up	Stable	miss
