Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  63.75	Down	Down	match
AAPL	2013-08-19	  72.53	  67.06	Down	Down	match
AAPL	2013-11-20	  73.57	  70.35	Down	Down	match
AAPL	2014-02-28	  75.18	  74.67	Down	Down	match
AAPL	2014-06-04	  92.12	  83.83	Down	Down	match
AAPL	2014-09-08	  98.36	  91.32	Stable	Down	miss
AAPL	2014-12-10	 111.95	 102.67	Stable	Stable	match
AAPL	2015-03-19	 127.50	 114.80	Up	Stable	miss
AAPL	2015-06-23	 127.03	 122.44	Up	Up	match
AAPL	2015-09-25	 114.71	 115.33	Stable	Stable	match
AAPL	2015-12-30	 107.32	 108.10	Stable	Stable	match
AAPL	2016-04-07	 108.54	 105.87	Stable	Stable	match
AAPL	2016-07-12	  97.42	  95.54	Down	Down	match
AAPL	2016-10-13	 116.98	 114.32	Stable	Stable	match
AAPL	2017-01-19	 119.78	 117.42	Up	Stable	miss
AAPL	2017-04-26	 143.68	 125.36	Up	Up	match
AAPL	2017-07-31	 148.73	 141.79	Up	Up	match
AAPL	2017-11-01	 166.89	 154.49	Up	Up	match
IBM	2013-05-15	 203.32	 206.35	Up	Up	match
IBM	2013-08-19	 184.23	 162.46	Up	Stable	miss
IBM	2013-11-20	 185.19	 185.94	Up	Up	match
IBM	2014-02-28	 185.17	 183.24	Up	Up	match
IBM	2014-06-04	 184.51	 186.45	Up	Up	match
IBM	2014-09-08	 190.14	 191.04	Up	Up	match
IBM	2014-12-10	 160.51	 165.77	Stable	Stable	match
IBM	2015-03-19	 159.81	 160.05	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.72	Stable	Stable	match
IBM	2015-09-25	 145.42	 152.31	Down	Down	match
IBM	2015-12-30	 139.34	 141.51	Down	Down	match
IBM	2016-04-07	 148.25	 145.98	Down	Down	match
IBM	2016-07-12	 157.04	 152.59	Stable	Down	miss
IBM	2016-10-13	 153.72	 157.55	Down	Stable	miss
IBM	2017-01-19	 166.81	 166.73	Stable	Stable	match
IBM	2017-04-26	 160.06	 167.25	Stable	Stable	match
IBM	2017-07-31	 144.67	 148.36	Down	Down	match
IBM	2017-11-01	 154.03	 152.35	Down	Down	match
HPQ	2016-04-07	  11.99	  11.31	Down	Down	match
HPQ	2016-07-12	  13.72	  12.60	Down	Down	match
HPQ	2016-10-13	  15.15	  14.79	Stable	Stable	match
HPQ	2017-01-19	  14.86	  14.87	Stable	Stable	match
HPQ	2017-04-26	  18.63	  17.61	Stable	Stable	match
HPQ	2017-07-31	  19.10	  18.85	Up	Up	match
HPQ	2017-11-01	  21.47	  20.44	Up	Up	match
