Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-05-15	  61.26	  64.92	Down	Down	match
AAPL	2013-08-19	  72.53	  70.16	Down	Down	match
AAPL	2013-11-20	  73.57	  74.63	Down	Down	match
AAPL	2014-02-28	  75.18	  74.85	Down	Down	match
AAPL	2014-06-04	  92.12	  90.25	Down	Down	match
AAPL	2014-09-08	  98.36	 100.37	Stable	Stable	match
AAPL	2014-12-10	 111.95	 114.59	Stable	Stable	match
AAPL	2015-03-19	 127.50	 125.70	Up	Up	match
AAPL	2015-06-23	 127.03	 127.40	Up	Up	match
AAPL	2015-09-25	 114.71	 114.28	Stable	Stable	match
AAPL	2015-12-30	 107.32	 107.89	Stable	Stable	match
AAPL	2016-04-07	 108.54	 110.17	Stable	Stable	match
AAPL	2016-07-12	  97.42	  96.02	Down	Down	match
AAPL	2016-10-13	 116.98	 115.53	Stable	Stable	match
AAPL	2017-01-19	 119.78	 119.61	Up	Stable	miss
AAPL	2017-04-26	 143.68	 142.71	Up	Up	match
AAPL	2017-07-31	 148.73	 151.67	Up	Up	match
AAPL	2017-11-01	 166.89	 162.53	Up	Up	match
IBM	2013-05-15	 203.32	 203.64	Up	Up	match
IBM	2013-08-19	 184.23	 187.23	Up	Up	match
IBM	2013-11-20	 185.19	 183.73	Up	Stable	miss
IBM	2014-02-28	 185.17	 183.76	Up	Stable	miss
IBM	2014-06-04	 184.51	 184.25	Up	Up	match
IBM	2014-09-08	 190.14	 191.54	Up	Up	match
IBM	2014-12-10	 160.51	 163.34	Stable	Stable	match
IBM	2015-03-19	 159.81	 157.22	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.40	Stable	Stable	match
IBM	2015-09-25	 145.42	 144.70	Down	Down	match
IBM	2015-12-30	 139.34	 138.42	Down	Down	match
IBM	2016-04-07	 148.25	 151.21	Down	Down	match
IBM	2016-07-12	 157.04	 153.29	Stable	Down	miss
IBM	2016-10-13	 153.72	 155.73	Down	Stable	miss
IBM	2017-01-19	 166.81	 167.55	Stable	Stable	match
IBM	2017-04-26	 160.06	 161.10	Stable	Stable	match
IBM	2017-07-31	 144.67	 145.38	Down	Down	match
IBM	2017-11-01	 154.03	 153.84	Down	Down	match
HPQ	2016-04-07	  11.99	  12.18	Stable	Stable	match
HPQ	2016-07-12	  13.72	  12.81	Up	Stable	miss
HPQ	2016-10-13	  15.15	  15.51	Up	Up	match
HPQ	2017-01-19	  14.86	  14.73	Up	Up	match
HPQ	2017-04-26	  18.63	  18.47	Up	Up	match
HPQ	2017-07-31	  19.10	  19.26	Up	Up	match
HPQ	2017-11-01	  21.47	  21.53	Up	Up	match
