Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  70.83	Down	Down	match
AAPL	2014-01-16	  79.18	  74.07	Down	Down	match
AAPL	2014-05-02	  84.65	  76.33	Down	Down	match
AAPL	2014-06-19	  91.86	  80.62	Stable	Down	miss
AAPL	2014-06-24	  90.28	  81.70	Stable	Down	miss
AAPL	2014-06-25	  90.36	  83.86	Stable	Down	miss
AAPL	2014-08-04	  95.59	  91.18	Stable	Stable	match
AAPL	2014-09-08	  98.36	  94.66	Stable	Stable	match
AAPL	2014-11-17	 113.99	 103.52	Up	Stable	miss
AAPL	2015-06-01	 130.53	 125.06	Up	Up	match
AAPL	2016-03-22	 106.72	  98.70	Stable	Stable	match
AAPL	2016-09-09	 103.13	 102.95	Stable	Stable	match
AAPL	2016-11-25	 111.79	 117.09	Up	Up	match
AAPL	2017-02-07	 131.53	 112.82	Up	Stable	miss
AAPL	2017-04-24	 143.64	 141.53	Up	Up	match
AAPL	2017-11-02	 168.11	 158.88	Up	Up	match
IBM	2013-11-05	 177.85	 184.08	Stable	Up	miss
IBM	2014-01-16	 188.76	 176.82	Up	Stable	miss
IBM	2014-05-02	 191.44	 189.38	Up	Up	match
IBM	2014-06-19	 182.82	 193.27	Up	Up	match
IBM	2014-06-24	 180.88	 194.21	Stable	Up	miss
IBM	2014-06-25	 180.72	 195.13	Stable	Up	miss
IBM	2014-08-04	 189.64	 183.35	Up	Up	match
IBM	2014-09-08	 190.14	 190.61	Up	Up	match
IBM	2014-11-17	 164.16	 171.91	Stable	Stable	match
IBM	2015-06-01	 170.18	 169.35	Stable	Stable	match
IBM	2016-03-22	 148.10	 126.89	Down	Down	match
IBM	2016-09-09	 155.69	 161.29	Down	Stable	miss
IBM	2016-11-25	 163.14	 155.87	Stable	Down	miss
IBM	2017-02-07	 178.46	 161.09	Stable	Stable	match
IBM	2017-04-24	 160.75	 174.88	Stable	Stable	match
IBM	2017-11-02	 153.35	 144.61	Down	Down	match
HPQ	2016-03-22	  12.26	  10.95	Stable	Stable	match
HPQ	2016-09-09	  14.07	  14.14	Up	Up	match
HPQ	2016-11-25	  15.18	  15.12	Up	Up	match
HPQ	2017-02-07	  15.43	  14.99	Up	Up	match
HPQ	2017-04-24	  18.54	  17.36	Up	Up	match
HPQ	2017-11-02	  21.44	  19.78	Up	Up	match
