Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  63.03	Down	Down	match
AAPL	2014-01-16	  79.18	  74.17	Down	Down	match
AAPL	2014-05-02	  84.65	  76.55	Down	Down	match
AAPL	2014-06-19	  91.86	  75.34	Stable	Down	miss
AAPL	2014-06-24	  90.28	  75.57	Stable	Down	miss
AAPL	2014-06-25	  90.36	  75.64	Stable	Down	miss
AAPL	2014-08-04	  95.59	  63.23	Stable	Down	miss
AAPL	2014-09-08	  98.36	  74.99	Stable	Down	miss
AAPL	2014-11-17	 113.99	  78.13	Up	Down	miss
AAPL	2015-06-01	 130.53	  97.71	Up	Stable	miss
AAPL	2016-03-22	 106.72	 104.21	Stable	Stable	match
AAPL	2016-09-09	 103.13	 104.60	Stable	Stable	match
AAPL	2016-11-25	 111.79	 105.49	Up	Stable	miss
AAPL	2017-02-07	 131.53	 117.90	Up	Up	match
AAPL	2017-04-24	 143.64	 121.33	Up	Up	match
AAPL	2017-11-02	 168.11	 132.13	Up	Up	match
IBM	2013-11-05	 177.85	 206.80	Stable	Up	miss
IBM	2014-01-16	 188.76	 188.46	Up	Up	match
IBM	2014-05-02	 191.44	 202.30	Up	Up	match
IBM	2014-06-19	 182.82	 186.75	Up	Up	match
IBM	2014-06-24	 180.88	 181.05	Stable	Stable	match
IBM	2014-06-25	 180.72	 186.64	Stable	Up	miss
IBM	2014-08-04	 189.64	 195.41	Up	Up	match
IBM	2014-09-08	 190.14	 190.94	Up	Up	match
IBM	2014-11-17	 164.16	 178.93	Stable	Stable	match
IBM	2015-06-01	 170.18	 183.28	Stable	Up	miss
IBM	2016-03-22	 148.10	 183.03	Down	Up	miss
IBM	2016-09-09	 155.69	 161.39	Down	Stable	miss
IBM	2016-11-25	 163.14	 160.67	Stable	Stable	match
IBM	2017-02-07	 178.46	 169.88	Stable	Stable	match
IBM	2017-04-24	 160.75	 161.28	Stable	Stable	match
IBM	2017-11-02	 153.35	 159.01	Down	Down	match
HPQ	2016-03-22	  12.26	  12.88	Stable	Up	miss
HPQ	2016-09-09	  14.07	  13.74	Up	Up	match
HPQ	2016-11-25	  15.18	  14.48	Up	Up	match
HPQ	2017-02-07	  15.43	  14.89	Up	Up	match
HPQ	2017-04-24	  18.54	  14.68	Up	Up	match
HPQ	2017-11-02	  21.44	  13.85	Up	Up	match
