Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  71.78	Down	Down	match
AAPL	2014-01-16	  79.18	  76.90	Down	Down	match
AAPL	2014-05-02	  84.65	  80.48	Down	Down	match
AAPL	2014-06-19	  91.86	  85.99	Stable	Down	miss
AAPL	2014-06-24	  90.28	  86.28	Down	Down	match
AAPL	2014-06-25	  90.36	  85.68	Stable	Down	miss
AAPL	2014-08-04	  95.59	  89.42	Stable	Down	miss
AAPL	2014-09-08	  98.36	  94.25	Stable	Stable	match
AAPL	2014-11-17	 113.99	 100.04	Up	Stable	miss
AAPL	2015-06-01	 130.53	 124.33	Up	Up	match
AAPL	2016-03-22	 106.72	 103.42	Stable	Stable	match
AAPL	2016-09-09	 103.13	 104.98	Stable	Stable	match
AAPL	2016-11-25	 111.79	 111.09	Up	Stable	miss
AAPL	2017-02-07	 131.53	 122.48	Up	Up	match
AAPL	2017-04-24	 143.64	 132.86	Up	Up	match
AAPL	2017-11-02	 168.11	 157.69	Up	Up	match
IBM	2013-11-05	 177.85	 186.13	Stable	Up	miss
IBM	2014-01-16	 188.76	 185.12	Up	Up	match
IBM	2014-05-02	 191.44	 192.97	Up	Up	match
IBM	2014-06-19	 182.82	 186.89	Up	Up	match
IBM	2014-06-24	 180.88	 185.00	Up	Up	match
IBM	2014-06-25	 180.72	 185.96	Stable	Up	miss
IBM	2014-08-04	 189.64	 188.62	Up	Up	match
IBM	2014-09-08	 190.14	 191.06	Up	Up	match
IBM	2014-11-17	 164.16	 170.74	Stable	Stable	match
IBM	2015-06-01	 170.18	 172.52	Stable	Stable	match
IBM	2016-03-22	 148.10	 148.35	Down	Down	match
IBM	2016-09-09	 155.69	 160.53	Down	Down	match
IBM	2016-11-25	 163.14	 159.27	Stable	Down	miss
IBM	2017-02-07	 178.46	 170.94	Stable	Stable	match
IBM	2017-04-24	 160.75	 166.55	Down	Stable	miss
IBM	2017-11-02	 153.35	 151.66	Down	Down	match
HPQ	2016-03-22	  12.26	  11.87	Up	Stable	miss
HPQ	2016-09-09	  14.07	  14.30	Up	Up	match
HPQ	2016-11-25	  15.18	  14.94	Up	Up	match
HPQ	2017-02-07	  15.43	  15.17	Up	Up	match
HPQ	2017-04-24	  18.54	  17.29	Up	Up	match
HPQ	2017-11-02	  21.44	  19.64	Up	Up	match
