Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  75.10	Down	Down	match
AAPL	2014-01-16	  79.18	  79.52	Down	Down	match
AAPL	2014-05-02	  84.65	  84.42	Down	Down	match
AAPL	2014-06-19	  91.86	  92.11	Stable	Stable	match
AAPL	2014-06-24	  90.28	  90.76	Down	Stable	miss
AAPL	2014-06-25	  90.36	  90.21	Down	Down	match
AAPL	2014-08-04	  95.59	  96.08	Stable	Stable	match
AAPL	2014-09-08	  98.36	  98.90	Stable	Stable	match
AAPL	2014-11-17	 113.99	  87.47	Up	Down	miss
AAPL	2015-06-01	 130.53	 130.21	Up	Up	match
AAPL	2016-03-22	 106.72	 106.07	Stable	Stable	match
AAPL	2016-09-09	 103.13	 105.53	Stable	Stable	match
AAPL	2016-11-25	 111.79	 111.15	Stable	Stable	match
AAPL	2017-02-07	 131.53	 130.27	Up	Up	match
AAPL	2017-04-24	 143.64	 114.11	Up	Up	match
AAPL	2017-11-02	 168.11	 166.82	Up	Up	match
IBM	2013-11-05	 177.85	 180.63	Stable	Stable	match
IBM	2014-01-16	 188.76	 187.87	Up	Up	match
IBM	2014-05-02	 191.44	 193.41	Up	Up	match
IBM	2014-06-19	 182.82	 183.75	Up	Up	match
IBM	2014-06-24	 180.88	 182.34	Stable	Up	miss
IBM	2014-06-25	 180.72	 181.13	Stable	Stable	match
IBM	2014-08-04	 189.64	 189.00	Up	Up	match
IBM	2014-09-08	 190.14	 190.88	Up	Up	match
IBM	2014-11-17	 164.16	 164.53	Down	Down	match
IBM	2015-06-01	 170.18	 169.71	Stable	Stable	match
IBM	2016-03-22	 148.10	 148.66	Down	Down	match
IBM	2016-09-09	 155.69	 158.80	Down	Down	match
IBM	2016-11-25	 163.14	 161.82	Down	Down	match
IBM	2017-02-07	 178.46	 175.77	Stable	Stable	match
IBM	2017-04-24	 160.75	 160.36	Down	Down	match
IBM	2017-11-02	 153.35	 154.06	Down	Down	match
HPQ	2016-03-22	  12.26	  12.19	Down	Down	match
HPQ	2016-09-09	  14.07	  14.59	Down	Down	match
HPQ	2016-11-25	  15.18	  14.85	Stable	Down	miss
HPQ	2017-02-07	  15.43	  15.25	Stable	Stable	match
HPQ	2017-04-24	  18.54	  18.27	Up	Up	match
HPQ	2017-11-02	  21.44	  21.46	Up	Up	match
