Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  74.60	Down	Down	match
AAPL	2014-01-16	  79.18	  77.40	Down	Down	match
AAPL	2014-05-02	  84.65	  84.00	Down	Down	match
AAPL	2014-06-19	  91.86	  92.01	Stable	Stable	match
AAPL	2014-06-24	  90.28	  91.57	Down	Stable	miss
AAPL	2014-06-25	  90.36	  91.21	Down	Stable	miss
AAPL	2014-08-04	  95.59	  97.46	Stable	Stable	match
AAPL	2014-09-08	  98.36	 100.37	Stable	Stable	match
AAPL	2014-11-17	 113.99	 111.36	Up	Stable	miss
AAPL	2015-06-01	 130.53	 131.25	Up	Up	match
AAPL	2016-03-22	 106.72	 105.64	Stable	Stable	match
AAPL	2016-09-09	 103.13	 107.21	Stable	Stable	match
AAPL	2016-11-25	 111.79	 110.95	Stable	Stable	match
AAPL	2017-02-07	 131.53	 127.60	Up	Up	match
AAPL	2017-04-24	 143.64	 141.68	Up	Up	match
AAPL	2017-11-02	 168.11	 164.62	Up	Up	match
IBM	2013-11-05	 177.85	 180.20	Stable	Stable	match
IBM	2014-01-16	 188.76	 186.49	Up	Up	match
IBM	2014-05-02	 191.44	 193.58	Up	Up	match
IBM	2014-06-19	 182.82	 182.40	Up	Up	match
IBM	2014-06-24	 180.88	 182.47	Stable	Up	miss
IBM	2014-06-25	 180.72	 182.20	Stable	Up	miss
IBM	2014-08-04	 189.64	 193.03	Up	Up	match
IBM	2014-09-08	 190.14	 191.54	Up	Up	match
IBM	2014-11-17	 164.16	 163.13	Down	Down	match
IBM	2015-06-01	 170.18	 171.14	Stable	Stable	match
IBM	2016-03-22	 148.10	 146.10	Down	Down	match
IBM	2016-09-09	 155.69	 160.02	Down	Down	match
IBM	2016-11-25	 163.14	 161.52	Down	Down	match
IBM	2017-02-07	 178.46	 175.01	Stable	Stable	match
IBM	2017-04-24	 160.75	 165.10	Down	Stable	miss
IBM	2017-11-02	 153.35	 153.95	Down	Down	match
HPQ	2016-03-22	  12.26	  11.83	Down	Down	match
HPQ	2016-09-09	  14.07	  14.59	Down	Down	match
HPQ	2016-11-25	  15.18	  15.72	Stable	Up	miss
HPQ	2017-02-07	  15.43	  15.16	Stable	Stable	match
HPQ	2017-04-24	  18.54	  18.32	Up	Up	match
HPQ	2017-11-02	  21.44	  21.49	Up	Up	match
