Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  71.87	Down	Down	match
AAPL	2014-01-16	  79.18	  76.87	Down	Down	match
AAPL	2014-05-02	  84.65	  80.26	Down	Down	match
AAPL	2014-06-19	  91.86	  86.49	Stable	Down	miss
AAPL	2014-06-24	  90.28	  86.89	Down	Down	match
AAPL	2014-06-25	  90.36	  85.91	Down	Down	match
AAPL	2014-08-04	  95.59	  91.56	Stable	Stable	match
AAPL	2014-09-08	  98.36	  95.61	Stable	Stable	match
AAPL	2014-11-17	 113.99	  99.32	Up	Stable	miss
AAPL	2015-06-01	 130.53	 125.63	Up	Up	match
AAPL	2016-03-22	 106.72	 103.31	Stable	Stable	match
AAPL	2016-09-09	 103.13	 104.76	Stable	Stable	match
AAPL	2016-11-25	 111.79	 111.24	Up	Up	match
AAPL	2017-02-07	 131.53	 122.52	Up	Up	match
AAPL	2017-04-24	 143.64	 131.89	Up	Up	match
AAPL	2017-11-02	 168.11	 158.58	Up	Up	match
IBM	2013-11-05	 177.85	 182.91	Stable	Up	miss
IBM	2014-01-16	 188.76	 185.49	Up	Up	match
IBM	2014-05-02	 191.44	 192.59	Up	Up	match
IBM	2014-06-19	 182.82	 185.78	Up	Up	match
IBM	2014-06-24	 180.88	 184.36	Stable	Up	miss
IBM	2014-06-25	 180.72	 184.56	Stable	Up	miss
IBM	2014-08-04	 189.64	 189.20	Up	Up	match
IBM	2014-09-08	 190.14	 191.10	Up	Up	match
IBM	2014-11-17	 164.16	 169.07	Down	Stable	miss
IBM	2015-06-01	 170.18	 171.16	Stable	Stable	match
IBM	2016-03-22	 148.10	 145.67	Down	Down	match
IBM	2016-09-09	 155.69	 160.01	Down	Down	match
IBM	2016-11-25	 163.14	 159.86	Down	Down	match
IBM	2017-02-07	 178.46	 172.41	Stable	Stable	match
IBM	2017-04-24	 160.75	 165.98	Down	Down	match
IBM	2017-11-02	 153.35	 151.53	Down	Down	match
HPQ	2016-03-22	  12.26	  11.94	Down	Down	match
HPQ	2016-09-09	  14.07	  14.28	Down	Down	match
HPQ	2016-11-25	  15.18	  14.94	Stable	Stable	match
HPQ	2017-02-07	  15.43	  15.15	Stable	Stable	match
HPQ	2017-04-24	  18.54	  17.08	Up	Stable	miss
HPQ	2017-11-02	  21.44	  19.21	Up	Up	match
