Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-08-01	  39.08	  39.02	Down	Down	match
HCA	2013-11-01	  47.31	  47.75	Down	Down	match
HCA	2014-02-03	  48.46	  50.28	Down	Down	match
HCA	2014-05-01	  52.40	  52.09	Down	Down	match
HCA	2014-08-01	  65.49	  65.56	Down	Down	match
HCA	2014-11-03	  70.23	  69.42	Down	Down	match
HCA	2015-02-02	  70.18	  70.70	Stable	Stable	match
HCA	2015-05-01	  74.50	  73.71	Stable	Stable	match
HCA	2015-08-03	  92.88	  90.85	Up	Up	match
HCA	2015-11-02	  69.75	  68.71	Down	Down	match
HCA	2016-02-01	  71.02	  68.72	Stable	Down	miss
HCA	2016-05-02	  81.21	  81.80	Up	Up	match
HCA	2016-08-01	  75.52	  77.30	Stable	Up	miss
HCA	2016-11-01	  75.40	  76.58	Stable	Stable	match
HCA	2017-02-01	  81.96	  81.09	Up	Up	match
HCA	2017-05-01	  83.86	  84.14	Up	Up	match
HCA	2017-08-01	  79.28	  80.65	Up	Up	match
HCA	2017-11-01	  76.83	  75.88	Stable	Stable	match
ABT	2013-08-01	  36.84	  36.93	Down	Down	match
ABT	2013-11-01	  36.96	  36.95	Down	Down	match
ABT	2014-02-03	  35.85	  36.42	Down	Down	match
ABT	2014-05-01	  38.67	  39.14	Down	Stable	miss
ABT	2014-08-01	  42.39	  42.25	Stable	Stable	match
ABT	2014-11-03	  43.29	  43.68	Stable	Stable	match
ABT	2015-02-02	  45.23	  45.09	Stable	Stable	match
ABT	2015-05-01	  46.69	  46.90	Stable	Stable	match
ABT	2015-08-03	  50.50	  50.74	Up	Up	match
ABT	2015-11-02	  45.43	  45.30	Stable	Stable	match
ABT	2016-02-01	  38.45	  37.94	Down	Down	match
ABT	2016-05-02	  38.85	  38.67	Down	Down	match
ABT	2016-08-01	  45.29	  44.06	Stable	Stable	match
ABT	2016-11-01	  39.05	  38.84	Down	Down	match
ABT	2017-02-01	  42.33	  41.73	Stable	Stable	match
ABT	2017-05-01	  43.48	  43.83	Stable	Stable	match
ABT	2017-08-01	  49.26	  49.54	Stable	Up	miss
ABT	2017-11-01	  54.00	  54.58	Up	Up	match
LLY	2013-08-01	  53.50	  52.48	Down	Down	match
LLY	2013-11-01	  50.38	  49.34	Down	Down	match
LLY	2014-02-03	  52.66	  53.23	Down	Down	match
LLY	2014-05-01	  59.52	  59.41	Down	Down	match
LLY	2014-08-01	  61.63	  61.18	Down	Down	match
LLY	2014-11-03	  66.54	  66.53	Down	Down	match
LLY	2015-02-02	  71.69	  71.41	Stable	Stable	match
LLY	2015-05-01	  73.12	  72.01	Stable	Stable	match
LLY	2015-08-03	  84.14	  84.61	Up	Up	match
LLY	2015-11-02	  82.04	  82.18	Up	Up	match
LLY	2016-02-01	  78.40	  79.60	Up	Up	match
LLY	2016-05-02	  76.75	  75.44	Stable	Stable	match
LLY	2016-08-01	  83.18	  82.29	Up	Up	match
LLY	2016-11-01	  72.98	  73.47	Stable	Stable	match
LLY	2017-02-01	  77.60	  77.15	Stable	Stable	match
LLY	2017-05-01	  81.82	  81.81	Up	Up	match
LLY	2017-08-01	  82.31	  83.05	Up	Up	match
LLY	2017-11-01	  82.89	  82.30	Up	Up	match
PFE	2013-08-01	  29.11	  28.08	Down	Down	match
PFE	2013-11-01	  31.17	  29.98	Stable	Stable	match
PFE	2014-02-03	  30.60	  30.49	Stable	Stable	match
PFE	2014-05-01	  31.15	  31.76	Stable	Stable	match
PFE	2014-08-01	  28.86	  28.81	Down	Down	match
