Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-08-01	  39.08	  36.80	Down	Down	match
HCA	2013-11-01	  47.31	  40.86	Down	Down	match
HCA	2014-02-03	  48.46	  45.81	Down	Down	match
HCA	2014-05-01	  52.40	  48.22	Down	Down	match
HCA	2014-08-01	  65.49	  52.10	Down	Down	match
HCA	2014-11-03	  70.23	  48.97	Stable	Down	miss
HCA	2015-02-02	  70.18	  39.63	Stable	Down	miss
HCA	2015-05-01	  74.50	  67.29	Up	Down	miss
HCA	2015-08-03	  92.88	  72.97	Up	Stable	miss
HCA	2015-11-02	  69.75	  66.98	Stable	Down	miss
HCA	2016-02-01	  71.02	  67.35	Stable	Down	miss
HCA	2016-05-02	  81.21	  77.21	Up	Up	match
HCA	2016-08-01	  75.52	  78.45	Up	Up	match
HCA	2016-11-01	  75.40	  79.25	Up	Up	match
HCA	2017-02-01	  81.96	  79.72	Up	Up	match
HCA	2017-05-01	  83.86	  81.27	Up	Up	match
HCA	2017-08-01	  79.28	  82.45	Up	Up	match
HCA	2017-11-01	  76.83	  74.14	Up	Stable	miss
ABT	2013-08-01	  36.84	  36.37	Down	Down	match
ABT	2013-11-01	  36.96	  36.83	Down	Down	match
ABT	2014-02-03	  35.85	  36.82	Down	Down	match
ABT	2014-05-01	  38.67	  38.33	Down	Down	match
ABT	2014-08-01	  42.39	  35.08	Stable	Down	miss
ABT	2014-11-03	  43.29	  35.36	Stable	Down	miss
ABT	2015-02-02	  45.23	  42.08	Stable	Stable	match
ABT	2015-05-01	  46.69	  43.60	Stable	Stable	match
ABT	2015-08-03	  50.50	  38.60	Up	Down	miss
ABT	2015-11-02	  45.43	  43.08	Stable	Stable	match
ABT	2016-02-01	  38.45	  36.67	Down	Down	match
ABT	2016-05-02	  38.85	  43.14	Down	Stable	miss
ABT	2016-08-01	  45.29	  42.97	Stable	Stable	match
ABT	2016-11-01	  39.05	  39.28	Down	Down	match
ABT	2017-02-01	  42.33	  41.05	Stable	Stable	match
ABT	2017-05-01	  43.48	  43.03	Stable	Stable	match
ABT	2017-08-01	  49.26	  45.72	Up	Stable	miss
ABT	2017-11-01	  54.00	  46.83	Up	Stable	miss
LLY	2013-08-01	  53.50	  54.97	Down	Down	match
LLY	2013-11-01	  50.38	  54.20	Down	Down	match
LLY	2014-02-03	  52.66	  53.74	Down	Down	match
LLY	2014-05-01	  59.52	  50.70	Stable	Down	miss
LLY	2014-08-01	  61.63	  58.86	Stable	Stable	match
LLY	2014-11-03	  66.54	  61.07	Stable	Stable	match
LLY	2015-02-02	  71.69	  64.14	Stable	Stable	match
LLY	2015-05-01	  73.12	  66.67	Stable	Stable	match
LLY	2015-08-03	  84.14	  71.15	Up	Stable	miss
LLY	2015-11-02	  82.04	  58.81	Up	Stable	miss
LLY	2016-02-01	  78.40	  76.80	Up	Up	match
LLY	2016-05-02	  76.75	  77.26	Stable	Up	miss
LLY	2016-08-01	  83.18	  77.99	Up	Up	match
LLY	2016-11-01	  72.98	  72.63	Stable	Stable	match
LLY	2017-02-01	  77.60	  72.89	Stable	Stable	match
LLY	2017-05-01	  81.82	  80.08	Up	Up	match
LLY	2017-08-01	  82.31	  80.86	Up	Up	match
LLY	2017-11-01	  82.89	  81.68	Up	Up	match
PFE	2013-08-01	  29.11	  27.72	Down	Down	match
PFE	2013-11-01	  31.17	  28.39	Stable	Down	miss
PFE	2014-02-03	  30.60	  30.63	Down	Down	match
PFE	2014-05-01	  31.15	  30.44	Down	Down	match
PFE	2014-08-01	  28.86	  29.19	Down	Down	match
PFE	2014-11-03	  30.19	  29.12	Down	Down	match
PFE	2015-02-02	  31.65	  31.25	Stable	Stable	match
PFE	2015-08-03	  36.15	  32.91	Up	Up	match
PFE	2015-11-02	  35.06	  33.23	Up	Up	match
PFE	2016-02-01	  30.17	  30.18	Down	Down	match
PFE	2016-05-02	  32.80	  33.21	Stable	Up	miss
PFE	2016-08-01	  37.31	  33.64	Up	Up	match
PFE	2016-11-01	  31.07	  32.59	Down	Stable	miss
PFE	2017-02-01	  31.67	  31.59	Down	Down	match
PFE	2017-05-01	  33.78	  33.95	Up	Up	match
PFE	2017-08-01	  33.08	  32.77	Stable	Stable	match
PFE	2017-11-01	  35.26	  34.21	Up	Up	match
ZTS	2013-08-01	  30.16	  32.87	Down	Down	match
ZTS	2013-11-01	  31.84	  32.51	Down	Down	match
ZTS	2014-02-03	  30.37	  30.74	Down	Down	match
ZTS	2014-05-01	  30.31	  31.46	Down	Down	match
ZTS	2014-08-01	  32.74	  32.80	Down	Down	match
ZTS	2014-11-03	  37.72	  32.12	Down	Down	match
ZTS	2015-02-02	  43.38	  33.46	Stable	Down	miss
ZTS	2015-05-01	  44.61	  40.22	Stable	Down	miss
ZTS	2015-08-03	  48.48	  42.70	Up	Stable	miss
ZTS	2015-11-02	  44.24	  43.60	Stable	Stable	match
ZTS	2016-02-01	  42.96	  34.71	Stable	Down	miss
ZTS	2016-05-02	  48.03	  44.88	Stable	Stable	match
ZTS	2016-08-01	  50.40	  45.78	Up	Stable	miss
ZTS	2016-11-01	  47.25	  47.03	Stable	Stable	match
ZTS	2017-02-01	  55.32	  48.10	Up	Stable	miss
ZTS	2017-05-01	  56.28	  49.27	Up	Up	match
ZTS	2017-08-01	  62.12	  51.45	Up	Up	match
ZTS	2017-11-01	  64.51	  53.47	Up	Up	match
WMT	2013-08-01	  78.22	  73.06	Up	Up	match
WMT	2013-11-01	  77.07	  76.40	Up	Up	match
WMT	2014-02-03	  72.66	  74.95	Up	Up	match
WMT	2014-05-01	  79.70	  78.33	Up	Up	match
WMT	2014-08-01	  73.54	  75.11	Up	Up	match
WMT	2014-11-03	  76.28	  75.13	Up	Up	match
WMT	2015-02-02	  85.71	  73.55	Up	Up	match
WMT	2015-05-01	  78.60	  77.72	Up	Up	match
WMT	2015-08-03	  72.18	  73.51	Stable	Stable	match
WMT	2015-11-02	  57.61	  76.21	Down	Up	miss
WMT	2016-02-01	  67.50	  74.94	Stable	Up	miss
WMT	2016-05-02	  67.59	  74.37	Stable	Up	miss
WMT	2016-08-01	  73.78	  74.12	Stable	Stable	match
WMT	2016-11-01	  69.30	  71.16	Stable	Stable	match
WMT	2017-02-01	  66.23	  67.53	Stable	Stable	match
WMT	2017-05-01	  75.23	  76.18	Stable	Up	miss
WMT	2017-08-01	  80.50	  79.60	Up	Up	match
WMT	2017-11-01	  87.94	  80.16	Up	Up	match
MNST	2013-08-01	  20.84	  16.73	Down	Down	match
MNST	2013-11-01	  18.90	  20.10	Down	Down	match
MNST	2014-02-03	  22.31	  19.25	Down	Down	match
MNST	2014-05-01	  22.33	  22.31	Down	Down	match
MNST	2014-08-01	  21.74	  18.17	Down	Down	match
MNST	2014-11-03	  33.74	  17.91	Stable	Down	miss
MNST	2015-02-02	  39.18	  29.78	Stable	Down	miss
MNST	2015-08-03	  51.94	  37.82	Up	Stable	miss
MNST	2015-11-02	  44.99	  40.37	Stable	Stable	match
MNST	2016-02-01	  45.81	  42.73	Stable	Stable	match
MNST	2016-05-02	  49.31	  43.65	Up	Stable	miss
MNST	2016-08-01	  53.69	  45.64	Up	Stable	miss
MNST	2016-11-01	  47.88	  47.10	Up	Up	match
MNST	2017-02-01	  41.82	  40.74	Stable	Stable	match
MNST	2017-05-01	  44.56	  41.24	Stable	Stable	match
MNST	2017-08-01	  53.12	  48.83	Up	Up	match
MNST	2017-11-01	  57.80	  50.20	Up	Up	match
MDLZ	2013-08-01	  31.71	  28.38	Down	Down	match
MDLZ	2013-11-01	  33.59	  30.40	Down	Down	match
MDLZ	2014-02-03	  32.08	  29.26	Down	Down	match
MDLZ	2014-05-01	  35.63	  34.14	Stable	Down	miss
MDLZ	2014-08-01	  36.33	  34.20	Stable	Down	miss
MDLZ	2014-11-03	  35.41	  34.46	Stable	Down	miss
MDLZ	2015-02-02	  35.76	  35.05	Stable	Stable	match
MDLZ	2015-05-01	  38.65	  36.95	Stable	Stable	match
MDLZ	2015-08-03	  45.49	  38.18	Up	Stable	miss
MDLZ	2015-11-02	  46.44	  35.61	Up	Stable	miss
MDLZ	2016-02-01	  42.73	  40.87	Up	Stable	miss
MDLZ	2016-05-02	  44.31	  41.24	Up	Stable	miss
MDLZ	2016-08-01	  43.48	  42.06	Up	Stable	miss
MDLZ	2016-11-01	  44.40	  42.53	Up	Stable	miss
MDLZ	2017-02-01	  43.89	  42.97	Up	Stable	miss
MDLZ	2017-05-01	  44.06	  43.38	Stable	Stable	match
MDLZ	2017-08-01	  43.62	  43.82	Stable	Stable	match
MDLZ	2017-11-01	  41.27	  41.10	Stable	Stable	match
KO	2013-08-01	  40.57	  39.12	Down	Down	match
KO	2013-11-01	  39.61	  39.22	Down	Down	match
KO	2014-02-03	  37.20	  38.55	Down	Down	match
KO	2014-05-01	  40.78	  40.25	Down	Down	match
KO	2014-08-01	  39.40	  40.54	Down	Down	match
KO	2014-11-03	  41.81	  40.18	Stable	Down	miss
KO	2015-02-02	  41.59	  42.16	Stable	Stable	match
KO	2015-05-01	  40.91	  40.58	Down	Down	match
KO	2015-08-03	  41.54	  40.58	Down	Down	match
KO	2015-11-02	  42.24	  42.09	Stable	Stable	match
KO	2016-02-01	  43.00	  42.28	Stable	Stable	match
KO	2016-05-02	  44.98	  42.89	Up	Stable	miss
KO	2016-08-01	  43.45	  43.37	Stable	Stable	match
KO	2016-11-01	  42.12	  42.33	Stable	Stable	match
KO	2017-02-01	  41.26	  41.43	Down	Down	match
KO	2017-05-01	  43.22	  43.39	Stable	Stable	match
KO	2017-08-01	  45.59	  43.67	Up	Stable	miss
KO	2017-11-01	  45.80	  44.05	Up	Stable	miss
KHC	2015-11-02	  78.27	  78.32	Down	Down	match
KHC	2016-02-01	  77.01	  77.17	Down	Down	match
KHC	2016-05-02	  79.52	  77.79	Stable	Down	miss
KHC	2016-08-01	  85.97	  77.48	Stable	Down	miss
KHC	2016-11-01	  88.37	  85.79	Up	Stable	miss
KHC	2017-02-01	  88.41	  77.77	Up	Down	miss
KHC	2017-05-01	  89.47	  88.68	Up	Up	match
KHC	2017-08-01	  86.67	  85.79	Stable	Stable	match
KHC	2017-11-01	  77.70	  79.69	Down	Down	match
