Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-08-01	  39.08	  38.92	Down	Down	match
HCA	2013-11-01	  47.31	  47.06	Down	Down	match
HCA	2014-02-03	  48.46	  50.22	Down	Down	match
HCA	2014-05-01	  52.40	  51.95	Down	Down	match
HCA	2014-08-01	  65.49	  48.46	Down	Down	match
HCA	2014-11-03	  70.23	  69.99	Stable	Stable	match
HCA	2015-02-02	  70.18	  70.73	Stable	Stable	match
HCA	2015-05-01	  74.50	  74.20	Stable	Stable	match
HCA	2015-08-03	  92.88	  92.94	Up	Up	match
HCA	2015-11-02	  69.75	  68.89	Stable	Stable	match
HCA	2016-02-01	  71.02	  69.65	Stable	Stable	match
HCA	2016-05-02	  81.21	  80.58	Up	Up	match
HCA	2016-08-01	  75.52	  77.16	Stable	Up	miss
HCA	2016-11-01	  75.40	  76.56	Stable	Stable	match
HCA	2017-02-01	  81.96	  80.12	Up	Up	match
HCA	2017-05-01	  83.86	  84.06	Up	Up	match
HCA	2017-08-01	  79.28	  80.34	Up	Up	match
HCA	2017-11-01	  76.83	  75.79	Up	Stable	miss
ABT	2013-08-01	  36.84	  36.57	Down	Down	match
ABT	2013-11-01	  36.96	  36.48	Down	Down	match
ABT	2014-02-03	  35.85	  36.64	Down	Down	match
ABT	2014-05-01	  38.67	  38.69	Down	Stable	miss
ABT	2014-08-01	  42.39	  42.00	Stable	Stable	match
ABT	2014-11-03	  43.29	  43.54	Stable	Stable	match
ABT	2015-02-02	  45.23	  44.71	Stable	Stable	match
ABT	2015-05-01	  46.69	  46.45	Up	Up	match
ABT	2015-08-03	  50.50	  50.66	Up	Up	match
ABT	2015-11-02	  45.43	  44.81	Up	Stable	miss
ABT	2016-02-01	  38.45	  37.97	Down	Down	match
ABT	2016-05-02	  38.85	  38.98	Stable	Stable	match
ABT	2016-08-01	  45.29	  44.76	Up	Stable	miss
ABT	2016-11-01	  39.05	  39.31	Stable	Stable	match
ABT	2017-02-01	  42.33	  41.72	Stable	Stable	match
ABT	2017-05-01	  43.48	  43.61	Stable	Stable	match
ABT	2017-08-01	  49.26	  49.14	Up	Up	match
ABT	2017-11-01	  54.00	  54.23	Up	Up	match
LLY	2013-08-01	  53.50	  53.14	Down	Down	match
LLY	2013-11-01	  50.38	  49.90	Down	Down	match
LLY	2014-02-03	  52.66	  53.98	Down	Down	match
LLY	2014-05-01	  59.52	  59.03	Down	Down	match
LLY	2014-08-01	  61.63	  61.02	Down	Down	match
LLY	2014-11-03	  66.54	  66.30	Stable	Stable	match
LLY	2015-02-02	  71.69	  71.95	Stable	Stable	match
LLY	2015-05-01	  73.12	  71.81	Stable	Stable	match
LLY	2015-08-03	  84.14	  84.45	Up	Up	match
LLY	2015-11-02	  82.04	  81.47	Up	Stable	miss
LLY	2016-02-01	  78.40	  79.25	Stable	Stable	match
LLY	2016-05-02	  76.75	  75.75	Stable	Stable	match
LLY	2016-08-01	  83.18	  82.77	Up	Up	match
LLY	2016-11-01	  72.98	  74.14	Stable	Stable	match
LLY	2017-02-01	  77.60	  76.68	Stable	Stable	match
LLY	2017-05-01	  81.82	  81.95	Up	Up	match
LLY	2017-08-01	  82.31	  82.58	Up	Up	match
LLY	2017-11-01	  82.89	  81.89	Up	Up	match
PFE	2013-08-01	  29.11	  29.19	Down	Down	match
PFE	2013-11-01	  31.17	  30.62	Stable	Stable	match
PFE	2014-02-03	  30.60	  30.37	Down	Down	match
PFE	2014-05-01	  31.15	  31.25	Stable	Stable	match
PFE	2014-08-01	  28.86	  28.74	Down	Down	match
PFE	2014-11-03	  30.19	  29.97	Down	Down	match
PFE	2015-02-02	  31.65	  31.23	Stable	Stable	match
PFE	2015-05-01	  34.08	  33.90	Up	Up	match
PFE	2015-08-03	  36.15	  36.04	Up	Up	match
PFE	2015-11-02	  35.06	  33.67	Up	Stable	miss
PFE	2016-02-01	  30.17	  30.61	Down	Stable	miss
PFE	2016-05-02	  32.80	  32.71	Stable	Stable	match
PFE	2016-08-01	  37.31	  36.83	Up	Up	match
PFE	2016-11-01	  31.07	  31.73	Stable	Stable	match
PFE	2017-02-01	  31.67	  31.74	Stable	Stable	match
PFE	2017-05-01	  33.78	  33.92	Up	Up	match
PFE	2017-08-01	  33.08	  33.18	Stable	Stable	match
PFE	2017-11-01	  35.26	  35.01	Up	Up	match
ZTS	2013-08-01	  30.16	  29.99	Down	Down	match
ZTS	2013-11-01	  31.84	  31.68	Down	Down	match
ZTS	2014-02-03	  30.37	  30.46	Down	Down	match
ZTS	2014-05-01	  30.31	  30.31	Down	Down	match
ZTS	2014-08-01	  32.74	  32.84	Down	Stable	miss
ZTS	2014-11-03	  37.72	  37.13	Stable	Stable	match
ZTS	2015-02-02	  43.38	  42.70	Stable	Stable	match
ZTS	2015-05-01	  44.61	  44.50	Stable	Stable	match
ZTS	2015-08-03	  48.48	  48.83	Up	Up	match
ZTS	2015-11-02	  44.24	  43.11	Stable	Stable	match
ZTS	2016-02-01	  42.96	  43.20	Stable	Stable	match
ZTS	2016-05-02	  48.03	  47.00	Stable	Stable	match
ZTS	2016-08-01	  50.40	  50.34	Up	Up	match
ZTS	2016-11-01	  47.25	  47.85	Stable	Stable	match
ZTS	2017-02-01	  55.32	  54.81	Up	Up	match
ZTS	2017-05-01	  56.28	  56.07	Up	Up	match
ZTS	2017-08-01	  62.12	  62.44	Up	Up	match
ZTS	2017-11-01	  64.51	  63.75	Up	Up	match
WMT	2013-08-01	  78.22	  77.87	Up	Stable	miss
WMT	2013-11-01	  77.07	  76.70	Stable	Stable	match
WMT	2014-02-03	  72.66	  74.70	Stable	Stable	match
WMT	2014-05-01	  79.70	  79.60	Up	Up	match
WMT	2014-08-01	  73.54	  73.49	Stable	Stable	match
WMT	2014-11-03	  76.28	  76.28	Stable	Stable	match
WMT	2015-02-02	  85.71	  84.90	Up	Up	match
WMT	2015-05-01	  78.60	  78.07	Up	Stable	miss
WMT	2015-08-03	  72.18	  72.06	Stable	Stable	match
WMT	2015-11-02	  57.61	  76.48	Down	Stable	miss
WMT	2016-02-01	  67.50	  66.39	Down	Down	match
WMT	2016-05-02	  67.59	  66.90	Down	Down	match
WMT	2016-08-01	  73.78	  72.89	Stable	Stable	match
WMT	2016-11-01	  69.30	  69.91	Down	Stable	miss
WMT	2017-02-01	  66.23	  66.73	Down	Down	match
WMT	2017-05-01	  75.23	  75.00	Stable	Stable	match
WMT	2017-08-01	  80.50	  79.89	Up	Up	match
WMT	2017-11-01	  87.94	  87.35	Up	Up	match
MNST	2013-08-01	  20.84	  20.29	Down	Down	match
MNST	2013-11-01	  18.90	  19.06	Down	Down	match
