Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-08-01	  39.08	  37.02	Down	Down	match
HCA	2013-11-01	  47.31	  42.23	Down	Down	match
HCA	2014-02-03	  48.46	  47.25	Down	Down	match
HCA	2014-05-01	  52.40	  49.02	Down	Down	match
HCA	2014-08-01	  65.49	  57.65	Down	Down	match
HCA	2014-11-03	  70.23	  68.44	Stable	Stable	match
HCA	2015-02-02	  70.18	  69.20	Stable	Stable	match
HCA	2015-05-01	  74.50	  74.60	Stable	Stable	match
HCA	2015-08-03	  92.88	  83.64	Up	Up	match
HCA	2015-11-02	  69.75	  82.60	Stable	Up	miss
HCA	2016-02-01	  71.02	  66.20	Stable	Stable	match
HCA	2016-05-02	  81.21	  80.05	Up	Up	match
HCA	2016-08-01	  75.52	  77.99	Stable	Up	miss
HCA	2016-11-01	  75.40	  78.21	Stable	Up	miss
HCA	2017-02-01	  81.96	  75.02	Up	Stable	miss
HCA	2017-05-01	  83.86	  83.48	Up	Up	match
HCA	2017-08-01	  79.28	  85.81	Up	Up	match
HCA	2017-11-01	  76.83	  78.14	Up	Up	match
ABT	2013-08-01	  36.84	  35.95	Down	Down	match
ABT	2013-11-01	  36.96	  35.37	Down	Down	match
ABT	2014-02-03	  35.85	  37.48	Down	Down	match
ABT	2014-05-01	  38.67	  38.73	Down	Stable	miss
ABT	2014-08-01	  42.39	  41.82	Stable	Stable	match
ABT	2014-11-03	  43.29	  42.73	Stable	Stable	match
ABT	2015-02-02	  45.23	  44.59	Stable	Stable	match
ABT	2015-05-01	  46.69	  47.20	Up	Up	match
ABT	2015-08-03	  50.50	  49.58	Up	Up	match
ABT	2015-11-02	  45.43	  47.66	Up	Up	match
ABT	2016-02-01	  38.45	  41.84	Down	Stable	miss
ABT	2016-05-02	  38.85	  39.56	Stable	Stable	match
ABT	2016-08-01	  45.29	  41.76	Up	Stable	miss
ABT	2016-11-01	  39.05	  41.01	Stable	Stable	match
ABT	2017-02-01	  42.33	  39.46	Stable	Stable	match
ABT	2017-05-01	  43.48	  42.66	Stable	Stable	match
ABT	2017-08-01	  49.26	  47.10	Up	Up	match
ABT	2017-11-01	  54.00	  53.68	Up	Up	match
LLY	2013-08-01	  53.50	  51.03	Down	Down	match
LLY	2013-11-01	  50.38	  49.64	Down	Down	match
LLY	2014-02-03	  52.66	  50.97	Down	Down	match
LLY	2014-05-01	  59.52	  60.00	Down	Down	match
LLY	2014-08-01	  61.63	  62.05	Down	Stable	miss
LLY	2014-11-03	  66.54	  64.83	Stable	Stable	match
LLY	2015-02-02	  71.69	  69.09	Stable	Stable	match
LLY	2015-05-01	  73.12	  73.86	Stable	Stable	match
LLY	2015-08-03	  84.14	  77.22	Up	Stable	miss
LLY	2015-11-02	  82.04	  81.94	Up	Up	match
LLY	2016-02-01	  78.40	  82.73	Stable	Up	miss
LLY	2016-05-02	  76.75	  74.06	Stable	Stable	match
LLY	2016-08-01	  83.18	  76.00	Up	Stable	miss
LLY	2016-11-01	  72.98	  79.39	Stable	Stable	match
LLY	2017-02-01	  77.60	  76.06	Stable	Stable	match
LLY	2017-05-01	  81.82	  83.45	Up	Up	match
LLY	2017-08-01	  82.31	  83.77	Up	Up	match
LLY	2017-11-01	  82.89	  82.36	Up	Up	match
PFE	2013-08-01	  29.11	  28.95	Down	Down	match
PFE	2013-11-01	  31.17	  29.15	Stable	Down	miss
PFE	2014-02-03	  30.60	  31.15	Down	Stable	miss
PFE	2014-05-01	  31.15	  31.74	Stable	Stable	match
