Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-08-01	  39.08	  38.35	Down	Down	match
HCA	2013-11-01	  47.31	  38.65	Down	Down	match
HCA	2014-02-03	  48.46	  46.37	Down	Down	match
HCA	2014-05-01	  52.40	  49.42	Down	Down	match
HCA	2014-08-01	  65.49	  54.81	Down	Down	match
HCA	2014-11-03	  70.23	  66.83	Stable	Down	miss
HCA	2015-02-02	  70.18	  68.11	Stable	Down	miss
HCA	2015-05-01	  74.50	  76.92	Stable	Up	miss
HCA	2015-08-03	  92.88	  82.31	Up	Up	match
HCA	2015-11-02	  69.75	  80.01	Stable	Up	miss
HCA	2016-02-01	  71.02	  66.41	Stable	Down	miss
HCA	2016-05-02	  81.21	  75.40	Up	Stable	miss
HCA	2016-08-01	  75.52	  78.79	Stable	Up	miss
HCA	2016-11-01	  75.40	  75.02	Stable	Stable	match
HCA	2017-02-01	  81.96	  73.92	Up	Stable	miss
HCA	2017-05-01	  83.86	  83.68	Up	Up	match
HCA	2017-08-01	  79.28	  85.40	Up	Up	match
HCA	2017-11-01	  76.83	  77.71	Up	Up	match
ABT	2013-08-01	  36.84	  35.99	Down	Down	match
ABT	2013-11-01	  36.96	  35.09	Down	Down	match
ABT	2014-02-03	  35.85	  37.54	Down	Down	match
ABT	2014-05-01	  38.67	  39.39	Down	Stable	miss
ABT	2014-08-01	  42.39	  40.20	Stable	Stable	match
ABT	2014-11-03	  43.29	  42.76	Stable	Stable	match
ABT	2015-02-02	  45.23	  44.04	Up	Stable	miss
ABT	2015-05-01	  46.69	  46.95	Up	Up	match
ABT	2015-08-03	  50.50	  49.44	Up	Up	match
ABT	2015-11-02	  45.43	  50.39	Up	Up	match
ABT	2016-02-01	  38.45	  43.30	Down	Stable	miss
ABT	2016-05-02	  38.85	  40.37	Down	Stable	miss
ABT	2016-08-01	  45.29	  37.90	Up	Down	miss
ABT	2016-11-01	  39.05	  43.31	Down	Stable	miss
ABT	2017-02-01	  42.33	  40.85	Stable	Stable	match
ABT	2017-05-01	  43.48	  44.11	Stable	Stable	match
ABT	2017-08-01	  49.26	  45.61	Up	Up	match
ABT	2017-11-01	  54.00	  51.88	Up	Up	match
LLY	2013-08-01	  53.50	  50.78	Down	Down	match
LLY	2013-11-01	  50.38	  50.83	Down	Down	match
LLY	2014-02-03	  52.66	  50.83	Down	Down	match
LLY	2014-05-01	  59.52	  59.18	Down	Down	match
LLY	2014-08-01	  61.63	  60.42	Down	Down	match
LLY	2014-11-03	  66.54	  63.62	Down	Down	match
LLY	2015-02-02	  71.69	  68.41	Stable	Down	miss
LLY	2015-05-01	  73.12	  72.82	Stable	Stable	match
LLY	2015-08-03	  84.14	  77.22	Up	Stable	miss
LLY	2015-11-02	  82.04	  79.98	Up	Stable	miss
LLY	2016-02-01	  78.40	  82.82	Stable	Up	miss
LLY	2016-05-02	  76.75	  73.96	Stable	Stable	match
LLY	2016-08-01	  83.18	  78.27	Up	Stable	miss
LLY	2016-11-01	  72.98	  80.36	Stable	Up	miss
