Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-05-15	  40.20	  39.10	Down	Down	match
HCA	2013-08-19	  38.05	  37.93	Down	Down	match
HCA	2013-11-20	  44.20	  44.01	Down	Down	match
HCA	2014-02-28	  51.20	  47.91	Down	Down	match
HCA	2014-06-04	  54.77	  52.21	Down	Down	match
HCA	2014-09-08	  70.23	  56.16	Stable	Down	miss
HCA	2014-12-10	  72.60	  68.71	Stable	Stable	match
HCA	2015-03-19	  75.42	  71.27	Stable	Stable	match
HCA	2015-06-23	  83.96	  80.62	Up	Up	match
HCA	2015-09-25	  79.45	  81.00	Up	Up	match
HCA	2015-12-30	  68.44	  67.61	Down	Down	match
HCA	2016-04-07	  78.84	  76.22	Up	Stable	miss
HCA	2016-07-12	  78.40	  77.66	Stable	Stable	match
HCA	2016-10-13	  80.29	  75.17	Up	Stable	miss
HCA	2017-01-19	  78.62	  78.03	Stable	Stable	match
HCA	2017-04-26	  83.54	  84.31	Up	Up	match
HCA	2017-07-31	  80.34	  82.43	Up	Up	match
HCA	2017-11-01	  76.83	  76.43	Stable	Stable	match
ABT	2013-05-15	  37.66	  36.34	Down	Down	match
ABT	2013-08-19	  34.88	  35.29	Down	Down	match
ABT	2013-11-20	  38.18	  37.57	Down	Down	match
ABT	2014-02-28	  39.78	  38.96	Down	Down	match
ABT	2014-06-04	  39.75	  39.25	Down	Down	match
ABT	2014-09-08	  42.81	  40.82	Stable	Stable	match
ABT	2014-12-10	  44.37	  44.04	Up	Stable	miss
ABT	2015-03-19	  47.44	  45.90	Up	Up	match
ABT	2015-06-23	  49.88	  47.88	Up	Up	match
ABT	2015-09-25	  40.86	  43.43	Stable	Stable	match
ABT	2015-12-30	  45.27	  44.59	Up	Up	match
ABT	2016-04-07	  42.61	  41.08	Stable	Stable	match
ABT	2016-07-12	  42.48	  41.23	Stable	Stable	match
ABT	2016-10-13	  40.98	  42.17	Stable	Stable	match
ABT	2017-01-19	  40.40	  40.32	Down	Down	match
ABT	2017-04-26	  43.80	  43.96	Stable	Stable	match
ABT	2017-07-31	  49.18	  48.12	Up	Up	match
ABT	2017-11-01	  54.00	  52.70	Up	Up	match
LLY	2013-05-15	  56.72	  55.18	Down	Down	match
LLY	2013-08-19	  52.79	  53.11	Down	Down	match
LLY	2013-11-20	  50.67	  51.58	Down	Down	match
LLY	2014-02-28	  59.61	  56.15	Down	Down	match
LLY	2014-06-04	  59.22	  58.76	Down	Down	match
LLY	2014-09-08	  65.00	  63.09	Down	Down	match
LLY	2014-12-10	  71.05	  68.62	Stable	Stable	match
LLY	2015-03-19	  74.22	  68.92	Stable	Stable	match
LLY	2015-06-23	  82.67	  75.32	Up	Stable	miss
LLY	2015-09-25	  84.06	  83.88	Up	Up	match
LLY	2015-12-30	  86.20	  82.91	Up	Up	match
LLY	2016-04-07	  74.59	  75.19	Stable	Stable	match
LLY	2016-07-12	  79.67	  77.48	Stable	Stable	match
LLY	2016-10-13	  80.00	  80.56	Stable	Stable	match
LLY	2017-01-19	  76.84	  75.15	Stable	Stable	match
LLY	2017-04-26	  80.96	  81.41	Up	Up	match
LLY	2017-07-31	  82.66	  82.35	Up	Up	match
LLY	2017-11-01	  82.89	  82.90	Up	Up	match
PFE	2013-05-15	  29.56	  28.55	Down	Down	match
PFE	2013-08-19	  28.46	  28.48	Down	Down	match
PFE	2013-11-20	  31.92	  30.60	Stable	Down	miss
PFE	2014-02-28	  32.11	  30.93	Stable	Down	miss
PFE	2014-06-04	  29.64	  29.93	Down	Down	match
PFE	2014-09-08	  29.40	  29.42	Down	Down	match
PFE	2014-12-10	  31.86	  31.26	Down	Down	match
PFE	2015-03-19	  34.15	  33.48	Up	Up	match
PFE	2015-06-23	  34.50	  33.90	Up	Up	match
PFE	2015-09-25	  31.89	  33.46	Stable	Up	miss
PFE	2015-12-30	  32.75	  32.77	Stable	Stable	match
PFE	2016-04-07	  32.76	  31.13	Stable	Down	miss
PFE	2016-07-12	  36.24	  35.12	Up	Up	match
PFE	2016-10-13	  32.76	  33.75	Stable	Up	miss
PFE	2017-01-19	  31.70	  32.33	Down	Stable	miss
PFE	2017-04-26	  33.85	  33.98	Up	Up	match
PFE	2017-07-31	  33.16	  33.05	Up	Stable	miss
PFE	2017-11-01	  35.26	  35.17	Up	Up	match
ZTS	2013-05-15	  32.79	  27.32	Down	Down	match
ZTS	2013-08-19	  29.87	  31.15	Down	Down	match
ZTS	2013-11-20	  31.37	  31.74	Down	Down	match
ZTS	2014-02-28	  31.02	  30.80	Down	Down	match
ZTS	2014-06-04	  31.37	  30.86	Down	Down	match
ZTS	2014-09-08	  36.28	  34.44	Down	Down	match
ZTS	2014-12-10	  42.77	  39.05	Stable	Stable	match
ZTS	2015-03-19	  47.41	  38.41	Stable	Stable	match
ZTS	2015-06-23	  50.47	  48.01	Up	Stable	miss
ZTS	2015-09-25	  42.51	  44.21	Stable	Stable	match
ZTS	2015-12-30	  48.26	  46.81	Stable	Stable	match
ZTS	2016-04-07	  47.19	  44.81	Stable	Stable	match
ZTS	2016-07-12	  48.87	  47.49	Stable	Stable	match
ZTS	2016-10-13	  51.02	  50.53	Up	Up	match
ZTS	2017-01-19	  53.50	  51.97	Up	Up	match
ZTS	2017-04-26	  55.57	  53.38	Up	Up	match
ZTS	2017-07-31	  62.52	  60.55	Up	Up	match
ZTS	2017-11-01	  64.51	  62.16	Up	Up	match
