Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-05-15	  40.20	  40.02	Down	Down	match
HCA	2013-08-19	  38.05	  37.21	Down	Down	match
HCA	2013-11-20	  44.20	  43.58	Down	Down	match
HCA	2014-02-28	  51.20	  50.56	Down	Down	match
HCA	2014-06-04	  54.77	  53.62	Down	Down	match
HCA	2014-09-08	  70.23	  69.22	Stable	Stable	match
HCA	2014-12-10	  72.60	  73.13	Stable	Stable	match
HCA	2015-03-19	  75.42	  74.74	Stable	Stable	match
HCA	2015-06-23	  83.96	  84.46	Up	Up	match
HCA	2015-09-25	  79.45	  82.13	Stable	Up	miss
HCA	2015-12-30	  68.44	  68.95	Stable	Stable	match
HCA	2016-04-07	  78.84	  79.50	Stable	Stable	match
HCA	2016-07-12	  78.40	  78.62	Stable	Stable	match
HCA	2016-10-13	  80.29	  77.37	Up	Stable	miss
HCA	2017-01-19	  78.62	  79.60	Stable	Stable	match
HCA	2017-04-26	  83.54	  85.81	Up	Up	match
HCA	2017-07-31	  80.34	  80.63	Up	Up	match
HCA	2017-11-01	  76.83	  75.88	Stable	Stable	match
ABT	2013-05-15	  37.66	  36.77	Down	Down	match
ABT	2013-08-19	  34.88	  34.20	Down	Down	match
ABT	2013-11-20	  38.18	  38.33	Down	Down	match
ABT	2014-02-28	  39.78	  39.96	Down	Down	match
ABT	2014-06-04	  39.75	  39.73	Down	Down	match
ABT	2014-09-08	  42.81	  43.02	Stable	Stable	match
ABT	2014-12-10	  44.37	  45.23	Up	Up	match
ABT	2015-03-19	  47.44	  47.04	Up	Up	match
ABT	2015-06-23	  49.88	  49.71	Up	Up	match
ABT	2015-09-25	  40.86	  41.68	Stable	Stable	match
ABT	2015-12-30	  45.27	  45.38	Up	Up	match
ABT	2016-04-07	  42.61	  42.73	Stable	Stable	match
ABT	2016-07-12	  42.48	  42.33	Stable	Stable	match
ABT	2016-10-13	  40.98	  41.18	Stable	Stable	match
ABT	2017-01-19	  40.40	  40.84	Down	Stable	miss
ABT	2017-04-26	  43.80	  43.99	Stable	Stable	match
ABT	2017-07-31	  49.18	  49.59	Up	Up	match
ABT	2017-11-01	  54.00	  54.58	Up	Up	match
LLY	2013-05-15	  56.72	  56.01	Down	Down	match
LLY	2013-08-19	  52.79	  52.34	Down	Down	match
LLY	2013-11-20	  50.67	  50.73	Down	Down	match
LLY	2014-02-28	  59.61	  59.66	Down	Down	match
LLY	2014-06-04	  59.22	  59.38	Down	Down	match
LLY	2014-09-08	  65.00	  64.81	Down	Down	match
LLY	2014-12-10	  71.05	  71.85	Stable	Stable	match
LLY	2015-03-19	  74.22	  72.85	Stable	Stable	match
LLY	2015-06-23	  82.67	  83.50	Up	Up	match
