Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-05-15	  40.20	  40.60	Down	Down	match
HCA	2013-08-19	  38.05	  38.57	Down	Down	match
HCA	2013-11-20	  44.20	  44.93	Down	Down	match
HCA	2014-02-28	  51.20	  50.39	Down	Down	match
HCA	2014-06-04	  54.77	  53.45	Down	Down	match
HCA	2014-09-08	  70.23	  69.29	Stable	Stable	match
HCA	2014-12-10	  72.60	  73.07	Stable	Stable	match
HCA	2015-03-19	  75.42	  73.11	Stable	Stable	match
HCA	2015-06-23	  83.96	  83.93	Up	Up	match
HCA	2015-09-25	  79.45	  82.70	Stable	Up	miss
HCA	2015-12-30	  68.44	  68.47	Stable	Stable	match
HCA	2016-04-07	  78.84	  78.66	Stable	Stable	match
HCA	2016-07-12	  78.40	  77.13	Stable	Stable	match
HCA	2016-10-13	  80.29	  75.49	Up	Stable	miss
HCA	2017-01-19	  78.62	  79.70	Stable	Stable	match
HCA	2017-04-26	  83.54	  84.23	Up	Up	match
HCA	2017-07-31	  80.34	  82.06	Up	Up	match
HCA	2017-11-01	  76.83	  76.92	Stable	Stable	match
ABT	2013-05-15	  37.66	  36.41	Down	Down	match
ABT	2013-08-19	  34.88	  35.49	Down	Down	match
ABT	2013-11-20	  38.18	  38.05	Down	Down	match
ABT	2014-02-28	  39.78	  39.25	Down	Down	match
ABT	2014-06-04	  39.75	  39.78	Down	Down	match
ABT	2014-09-08	  42.81	  42.62	Stable	Stable	match
ABT	2014-12-10	  44.37	  45.52	Up	Up	match
ABT	2015-03-19	  47.44	  47.29	Up	Up	match
ABT	2015-06-23	  49.88	  49.38	Up	Up	match
ABT	2015-09-25	  40.86	  42.65	Stable	Stable	match
ABT	2015-12-30	  45.27	  45.11	Up	Up	match
ABT	2016-04-07	  42.61	  42.29	Stable	Stable	match
ABT	2016-07-12	  42.48	  41.13	Stable	Stable	match
ABT	2016-10-13	  40.98	  42.32	Stable	Stable	match
ABT	2017-01-19	  40.40	  40.88	Down	Stable	miss
