Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  47.66	Down	Down	match
HCA	2014-01-16	  51.22	  51.02	Down	Down	match
HCA	2014-05-02	  51.88	  52.35	Down	Down	match
HCA	2014-06-19	  56.49	  55.77	Stable	Down	miss
HCA	2014-06-24	  56.54	  57.97	Stable	Stable	match
HCA	2014-06-25	  56.85	  56.50	Stable	Stable	match
HCA	2014-08-04	  65.83	  57.47	Stable	Stable	match
HCA	2014-09-08	  70.23	  69.23	Stable	Stable	match
HCA	2014-11-17	  65.73	  62.89	Stable	Stable	match
HCA	2015-06-01	  82.39	  81.76	Up	Up	match
HCA	2016-03-22	  77.16	  75.52	Up	Up	match
HCA	2016-09-09	  75.94	  77.96	Up	Up	match
HCA	2016-11-25	  71.39	  71.07	Stable	Stable	match
HCA	2017-02-07	  82.59	  82.41	Up	Up	match
HCA	2017-04-24	  84.26	  83.40	Up	Up	match
HCA	2017-11-02	  76.43	  76.94	Up	Up	match
ABT	2013-11-05	  37.36	  36.90	Down	Down	match
ABT	2014-01-16	  39.54	  39.43	Down	Down	match
ABT	2014-05-02	  38.56	  38.62	Down	Down	match
ABT	2014-06-19	  41.00	  40.36	Stable	Stable	match
ABT	2014-06-24	  40.45	  40.66	Stable	Stable	match
ABT	2014-06-25	  40.70	  40.36	Stable	Stable	match
ABT	2014-08-04	  42.39	  42.37	Up	Stable	miss
ABT	2014-09-08	  42.81	  42.92	Up	Up	match
ABT	2014-11-17	  43.71	  43.76	Up	Up	match
ABT	2015-06-01	  48.94	  48.62	Up	Up	match
ABT	2016-03-22	  41.03	  40.82	Stable	Stable	match
ABT	2016-09-09	  41.01	  41.86	Stable	Stable	match
ABT	2016-11-25	  39.16	  39.05	Down	Down	match
ABT	2017-02-07	  42.89	  42.36	Stable	Stable	match
ABT	2017-04-24	  44.13	  43.49	Up	Stable	miss
ABT	2017-11-02	  54.37	  54.00	Up	Up	match
LLY	2013-11-05	  50.37	  50.48	Down	Down	match
LLY	2014-01-16	  55.30	  53.39	Down	Down	match
LLY	2014-05-02	  59.08	  59.46	Down	Down	match
LLY	2014-06-19	  59.85	  59.93	Stable	Stable	match
LLY	2014-06-24	  61.89	  62.01	Stable	Stable	match
LLY	2014-06-25	  63.00	  61.83	Stable	Stable	match
LLY	2014-08-04	  61.63	  61.59	Stable	Stable	match
LLY	2014-09-08	  65.00	  64.68	Stable	Stable	match
LLY	2014-11-17	  67.29	  67.30	Stable	Stable	match
LLY	2015-06-01	  79.00	  78.85	Up	Up	match
LLY	2016-03-22	  71.92	  70.46	Stable	Stable	match
LLY	2016-09-09	  78.24	  79.69	Up	Up	match
LLY	2016-11-25	  69.12	  69.73	Stable	Stable	match
LLY	2017-02-07	  77.70	  77.66	Up	Up	match
LLY	2017-04-24	  83.42	  81.78	Up	Up	match
LLY	2017-11-02	  83.13	  82.82	Up	Up	match
PFE	2013-11-05	  31.24	  31.19	Up	Up	match
PFE	2014-01-16	  31.17	  31.14	Stable	Stable	match
PFE	2014-05-02	  30.75	  31.12	Stable	Stable	match
PFE	2014-06-19	  29.59	  29.71	Stable	Stable	match
PFE	2014-06-24	  29.30	  29.46	Down	Down	match
PFE	2014-06-25	  29.80	  29.31	Stable	Down	miss
PFE	2014-08-04	  28.75	  28.90	Down	Down	match
PFE	2014-09-08	  29.40	  29.66	Down	Stable	miss
PFE	2014-11-17	  30.32	  30.34	Stable	Stable	match
PFE	2015-06-01	  34.56	  34.73	Up	Up	match
PFE	2016-03-22	  30.38	  30.14	Stable	Stable	match
PFE	2016-09-09	  34.10	  34.69	Up	Up	match
PFE	2016-11-25	  31.69	  31.45	Stable	Stable	match
PFE	2017-02-07	  32.08	  32.25	Stable	Stable	match
PFE	2017-04-24	  33.74	  33.61	Up	Up	match
PFE	2017-11-02	  35.46	  35.24	Up	Up	match
ZTS	2013-11-05	  31.69	  31.94	Down	Stable	miss
ZTS	2014-01-16	  32.00	  31.82	Stable	Stable	match
ZTS	2014-05-02	  30.64	  30.36	Down	Down	match
ZTS	2014-06-19	  32.55	  32.79	Stable	Stable	match
ZTS	2014-06-24	  32.37	  32.55	Down	Stable	miss
ZTS	2014-06-25	  32.37	  32.29	Down	Down	match
ZTS	2014-08-04	  33.24	  32.68	Stable	Stable	match
ZTS	2014-09-08	  36.28	  35.95	Stable	Stable	match
ZTS	2014-11-17	  44.23	  32.58	Stable	Stable	match
ZTS	2015-06-01	  49.78	  49.69	Up	Up	match
ZTS	2016-03-22	  42.75	  41.61	Stable	Stable	match
ZTS	2016-09-09	  50.39	  51.30	Up	Up	match
ZTS	2016-11-25	  50.18	  50.06	Stable	Stable	match
ZTS	2017-02-07	  55.98	  55.74	Up	Up	match
ZTS	2017-04-24	  54.99	  54.14	Up	Up	match
ZTS	2017-11-02	  67.31	  64.42	Up	Up	match
WMT	2013-11-05	  77.42	  77.26	Up	Up	match
WMT	2014-01-16	  76.76	  77.61	Up	Up	match
WMT	2014-05-02	  79.12	  79.60	Up	Up	match
WMT	2014-06-19	  75.87	  75.79	Stable	Stable	match
WMT	2014-06-24	  75.97	  75.82	Stable	Stable	match
WMT	2014-06-25	  75.62	  76.00	Stable	Stable	match
WMT	2014-08-04	  73.54	  73.65	Stable	Stable	match
WMT	2014-09-08	  76.53	  77.46	Stable	Up	miss
WMT	2014-11-17	  83.57	  82.75	Up	Up	match
WMT	2015-06-01	  74.73	  74.39	Stable	Stable	match
WMT	2016-03-22	  67.87	  68.00	Down	Down	match
WMT	2016-09-09	  70.30	  71.75	Down	Stable	miss
WMT	2016-11-25	  71.23	  70.70	Down	Down	match
WMT	2017-02-07	  66.89	  66.49	Down	Down	match
WMT	2017-04-24	  74.78	  74.70	Stable	Stable	match
WMT	2017-11-02	  88.80	  87.98	Up	Up	match
MNST	2013-11-05	  19.17	  18.88	Down	Down	match
MNST	2014-01-16	  23.18	  22.99	Stable	Down	miss
MNST	2014-05-02	  22.31	  22.30	Down	Down	match
MNST	2014-06-19	  24.25	  23.76	Stable	Stable	match
MNST	2014-06-24	  23.74	  24.38	Stable	Stable	match
MNST	2014-06-25	  23.48	  23.70	Stable	Stable	match
MNST	2014-08-04	  21.85	  21.74	Down	Down	match
MNST	2014-09-08	  29.97	  29.66	Stable	Stable	match
MNST	2014-11-17	  36.69	  35.93	Stable	Stable	match
MNST	2015-06-01	  42.39	  42.51	Stable	Up	miss
MNST	2016-03-22	  44.87	  44.97	Up	Up	match
MNST	2016-09-09	  49.18	  50.64	Up	Up	match
MNST	2016-11-25	  44.85	  44.76	Up	Up	match
MNST	2017-02-07	  43.08	  42.81	Stable	Stable	match
MNST	2017-04-24	  45.47	  45.36	Up	Up	match
MNST	2017-11-02	  57.45	  57.70	Up	Up	match
MDLZ	2013-11-05	  33.44	  33.54	Down	Down	match
MDLZ	2014-01-16	  35.70	  35.66	Down	Down	match
MDLZ	2014-05-02	  35.48	  35.58	Down	Down	match
MDLZ	2014-06-19	  37.50	  37.52	Stable	Stable	match
MDLZ	2014-06-24	  37.14	  37.19	Stable	Stable	match
MDLZ	2014-06-25	  37.11	  37.10	Stable	Stable	match
MDLZ	2014-08-04	  36.45	  36.30	Stable	Down	miss
MDLZ	2014-09-08	  35.32	  35.67	Down	Down	match
MDLZ	2014-11-17	  38.37	  38.09	Stable	Stable	match
MDLZ	2015-06-01	  40.69	  41.51	Up	Up	match
MDLZ	2016-03-22	  39.91	  40.69	Up	Up	match
MDLZ	2016-09-09	  42.09	  43.61	Up	Up	match
MDLZ	2016-11-25	  43.28	  42.54	Up	Up	match
MDLZ	2017-02-07	  43.93	  43.94	Up	Up	match
MDLZ	2017-04-24	  45.39	  44.74	Up	Up	match
MDLZ	2017-11-02	  41.16	  41.39	Stable	Up	miss
KO	2013-11-05	  39.50	  39.53	Down	Down	match
KO	2014-01-16	  39.71	  39.75	Down	Down	match
KO	2014-05-02	  40.95	  40.76	Stable	Down	miss
KO	2014-06-19	  41.79	  41.49	Stable	Stable	match
KO	2014-06-24	  41.85	  41.66	Up	Stable	miss
KO	2014-06-25	  41.96	  41.78	Up	Stable	miss
KO	2014-08-04	  39.40	  39.41	Down	Down	match
KO	2014-09-08	  41.78	  41.79	Stable	Stable	match
KO	2014-11-17	  42.92	  42.68	Up	Up	match
KO	2015-06-01	  40.94	  41.00	Down	Stable	miss
KO	2016-03-22	  45.50	  45.60	Up	Up	match
KO	2016-09-09	  42.27	  43.62	Stable	Up	miss
KO	2016-11-25	  41.53	  41.19	Stable	Down	miss
KO	2017-02-07	  41.90	  41.60	Stable	Down	miss
KO	2017-04-24	  43.28	  43.08	Up	Up	match
KO	2017-11-02	  45.88	  45.78	Up	Up	match
KHC	2016-03-22	  76.44	  76.27	Up	Up	match
KHC	2016-09-09	  85.97	  89.07	Up	Up	match
KHC	2016-11-25	  82.95	  82.40	Up	Up	match
