Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  44.52	Down	Down	match
HCA	2014-01-16	  51.22	  48.57	Down	Down	match
HCA	2014-05-02	  51.88	  50.70	Down	Down	match
HCA	2014-06-19	  56.49	  53.55	Stable	Down	miss
HCA	2014-06-24	  56.54	  54.41	Stable	Down	miss
HCA	2014-06-25	  56.85	  54.04	Stable	Down	miss
HCA	2014-08-04	  65.83	  57.80	Stable	Stable	match
HCA	2014-09-08	  70.23	  64.12	Stable	Stable	match
HCA	2014-11-17	  65.73	  61.65	Stable	Stable	match
HCA	2015-06-01	  82.39	  77.90	Up	Up	match
HCA	2016-03-22	  77.16	  73.56	Up	Stable	miss
HCA	2016-09-09	  75.94	  76.72	Up	Up	match
HCA	2016-11-25	  71.39	  72.19	Stable	Stable	match
HCA	2017-02-07	  82.59	  79.82	Up	Up	match
HCA	2017-04-24	  84.26	  83.67	Up	Up	match
HCA	2017-11-02	  76.43	  76.70	Up	Up	match
ABT	2013-11-05	  37.36	  36.69	Down	Down	match
ABT	2014-01-16	  39.54	  38.32	Down	Down	match
ABT	2014-05-02	  38.56	  38.70	Down	Down	match
ABT	2014-06-19	  41.00	  39.71	Stable	Down	miss
ABT	2014-06-24	  40.45	  39.86	Stable	Down	miss
ABT	2014-06-25	  40.70	  39.71	Stable	Down	miss
ABT	2014-08-04	  42.39	  41.35	Up	Stable	miss
ABT	2014-09-08	  42.81	  41.05	Up	Stable	miss
ABT	2014-11-17	  43.71	  42.13	Up	Up	match
ABT	2015-06-01	  48.94	  46.85	Up	Up	match
ABT	2016-03-22	  41.03	  40.16	Stable	Down	miss
ABT	2016-09-09	  41.01	  42.59	Stable	Stable	match
ABT	2016-11-25	  39.16	  39.52	Down	Down	match
ABT	2017-02-07	  42.89	  41.62	Stable	Stable	match
ABT	2017-04-24	  44.13	  43.80	Up	Up	match
ABT	2017-11-02	  54.37	  52.49	Up	Up	match
LLY	2013-11-05	  50.37	  50.81	Down	Down	match
LLY	2014-01-16	  55.30	  52.62	Down	Down	match
LLY	2014-05-02	  59.08	  58.53	Down	Down	match
LLY	2014-06-19	  59.85	  59.35	Stable	Down	miss
LLY	2014-06-24	  61.89	  59.00	Stable	Down	miss
LLY	2014-06-25	  63.00	  60.30	Stable	Stable	match
LLY	2014-08-04	  61.63	  61.16	Stable	Stable	match
LLY	2014-09-08	  65.00	  63.09	Stable	Stable	match
LLY	2014-11-17	  67.29	  64.27	Stable	Stable	match
LLY	2015-06-01	  79.00	  74.09	Up	Up	match
LLY	2016-03-22	  71.92	  73.42	Stable	Up	miss
LLY	2016-09-09	  78.24	  79.85	Up	Up	match
LLY	2016-11-25	  69.12	  73.64	Stable	Up	miss
LLY	2017-02-07	  77.70	  74.79	Up	Up	match
LLY	2017-04-24	  83.42	  82.06	Up	Up	match
LLY	2017-11-02	  83.13	  83.00	Up	Up	match
PFE	2013-11-05	  31.24	  30.21	Up	Stable	miss
PFE	2014-01-16	  31.17	  31.08	Stable	Stable	match
PFE	2014-05-02	  30.75	  31.29	Stable	Stable	match
PFE	2014-06-19	  29.59	  30.39	Stable	Stable	match
PFE	2014-06-24	  29.30	  29.75	Down	Stable	miss
PFE	2014-06-25	  29.80	  29.46	Stable	Down	miss
PFE	2014-08-04	  28.75	  29.52	Down	Down	match
PFE	2014-09-08	  29.40	  29.42	Down	Down	match
PFE	2014-11-17	  30.32	  30.10	Stable	Stable	match
PFE	2015-06-01	  34.56	  33.80	Up	Up	match
PFE	2016-03-22	  30.38	  29.93	Stable	Stable	match
PFE	2016-09-09	  34.10	  34.86	Up	Up	match
PFE	2016-11-25	  31.69	  31.97	Stable	Stable	match
PFE	2017-02-07	  32.08	  31.78	Stable	Stable	match
PFE	2017-04-24	  33.74	  33.96	Up	Up	match
PFE	2017-11-02	  35.46	  35.17	Up	Up	match
ZTS	2013-11-05	  31.69	  32.08	Down	Stable	miss
ZTS	2014-01-16	  32.00	  32.07	Stable	Stable	match
ZTS	2014-05-02	  30.64	  30.30	Down	Down	match
ZTS	2014-06-19	  32.55	  31.95	Stable	Down	miss
ZTS	2014-06-24	  32.37	  32.03	Down	Down	match
ZTS	2014-06-25	  32.37	  32.00	Down	Down	match
ZTS	2014-08-04	  33.24	  32.43	Stable	Stable	match
ZTS	2014-09-08	  36.28	  34.44	Stable	Stable	match
ZTS	2014-11-17	  44.23	  37.02	Stable	Stable	match
ZTS	2015-06-01	  49.78	  45.79	Up	Stable	miss
ZTS	2016-03-22	  42.75	  41.96	Stable	Stable	match
ZTS	2016-09-09	  50.39	  49.85	Up	Stable	miss
ZTS	2016-11-25	  50.18	  49.72	Stable	Stable	match
ZTS	2017-02-07	  55.98	  53.35	Up	Up	match
ZTS	2017-04-24	  54.99	  53.00	Up	Up	match
ZTS	2017-11-02	  67.31	  62.30	Up	Up	match
WMT	2013-11-05	  77.42	  76.40	Up	Up	match
WMT	2014-01-16	  76.76	  77.70	Up	Up	match
WMT	2014-05-02	  79.12	  78.11	Up	Up	match
WMT	2014-06-19	  75.87	  76.35	Stable	Stable	match
WMT	2014-06-24	  75.97	  76.07	Stable	Stable	match
WMT	2014-06-25	  75.62	  76.40	Stable	Stable	match
WMT	2014-08-04	  73.54	  75.10	Stable	Stable	match
WMT	2014-09-08	  76.53	  76.49	Stable	Stable	match
WMT	2014-11-17	  83.57	  79.29	Up	Up	match
WMT	2015-06-01	  74.73	  76.33	Stable	Stable	match
