Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  48.72	Down	Down	match
HCA	2014-01-16	  51.22	  50.52	Down	Down	match
HCA	2014-05-02	  51.88	  51.96	Down	Down	match
HCA	2014-06-19	  56.49	  56.39	Down	Down	match
HCA	2014-06-24	  56.54	  58.41	Down	Down	match
HCA	2014-06-25	  56.85	  56.27	Down	Down	match
HCA	2014-08-04	  65.83	  65.67	Down	Down	match
HCA	2014-09-08	  70.23	  69.22	Stable	Stable	match
HCA	2014-11-17	  65.73	  64.27	Down	Down	match
HCA	2015-06-01	  82.39	  82.59	Up	Up	match
HCA	2016-03-22	  77.16	  74.66	Up	Stable	miss
HCA	2016-09-09	  75.94	  79.52	Stable	Up	miss
HCA	2016-11-25	  71.39	  70.75	Stable	Stable	match
HCA	2017-02-07	  82.59	  82.48	Up	Up	match
HCA	2017-04-24	  84.26	  83.45	Up	Up	match
HCA	2017-11-02	  76.43	  76.76	Stable	Stable	match
ABT	2013-11-05	  37.36	  36.98	Down	Down	match
ABT	2014-01-16	  39.54	  39.75	Down	Down	match
ABT	2014-05-02	  38.56	  38.42	Down	Down	match
ABT	2014-06-19	  41.00	  40.59	Stable	Down	miss
ABT	2014-06-24	  40.45	  40.72	Down	Stable	miss
ABT	2014-06-25	  40.70	  40.71	Stable	Stable	match
ABT	2014-08-04	  42.39	  42.70	Stable	Stable	match
ABT	2014-09-08	  42.81	  43.02	Stable	Stable	match
ABT	2014-11-17	  43.71	  43.82	Up	Up	match
ABT	2015-06-01	  48.94	  48.68	Up	Up	match
ABT	2016-03-22	  41.03	  40.58	Stable	Down	miss
ABT	2016-09-09	  41.01	  41.99	Down	Stable	miss
ABT	2016-11-25	  39.16	  38.64	Down	Down	match
ABT	2017-02-07	  42.89	  42.47	Stable	Stable	match
ABT	2017-04-24	  44.13	  43.62	Stable	Stable	match
ABT	2017-11-02	  54.37	  54.25	Up	Up	match
LLY	2013-11-05	  50.37	  50.19	Down	Down	match
LLY	2014-01-16	  55.30	  53.58	Down	Down	match
LLY	2014-05-02	  59.08	  59.90	Down	Down	match
LLY	2014-06-19	  59.85	  60.15	Down	Down	match
LLY	2014-06-24	  61.89	  61.71	Stable	Stable	match
LLY	2014-06-25	  63.00	  61.91	Stable	Stable	match
LLY	2014-08-04	  61.63	  61.89	Stable	Stable	match
LLY	2014-09-08	  65.00	  64.81	Stable	Stable	match
LLY	2014-11-17	  67.29	  66.93	Up	Stable	miss
LLY	2015-06-01	  79.00	  78.09	Up	Up	match
LLY	2016-03-22	  71.92	  69.89	Up	Up	match
LLY	2016-09-09	  78.24	  79.96	Up	Up	match
LLY	2016-11-25	  69.12	  68.11	Up	Stable	miss
LLY	2017-02-07	  77.70	  77.68	Up	Up	match
LLY	2017-04-24	  83.42	  81.77	Up	Up	match
LLY	2017-11-02	  83.13	  82.61	Up	Up	match
PFE	2013-11-05	  31.24	  30.92	Up	Up	match
PFE	2014-01-16	  31.17	  31.67	Up	Up	match
PFE	2014-05-02	  30.75	  31.02	Stable	Stable	match
PFE	2014-06-19	  29.59	  29.92	Down	Down	match
PFE	2014-06-24	  29.30	  29.60	Down	Down	match
PFE	2014-06-25	  29.80	  29.28	Down	Down	match
PFE	2014-08-04	  28.75	  29.18	Down	Down	match
PFE	2014-09-08	  29.40	  29.68	Down	Down	match
PFE	2014-11-17	  30.32	  30.02	Stable	Stable	match
PFE	2015-06-01	  34.56	  34.36	Up	Up	match
PFE	2016-03-22	  30.38	  29.84	Stable	Down	miss
PFE	2016-09-09	  34.10	  34.69	Up	Up	match
PFE	2016-11-25	  31.69	  31.45	Stable	Stable	match
PFE	2017-02-07	  32.08	  31.98	Up	Stable	miss
PFE	2017-04-24	  33.74	  33.82	Up	Up	match
PFE	2017-11-02	  35.46	  35.36	Up	Up	match
ZTS	2013-11-05	  31.69	  31.98	Stable	Stable	match
ZTS	2014-01-16	  32.00	  31.97	Stable	Stable	match
ZTS	2014-05-02	  30.64	  30.04	Stable	Stable	match
ZTS	2014-06-19	  32.55	  32.86	Stable	Stable	match
ZTS	2014-06-24	  32.37	  32.33	Stable	Stable	match
ZTS	2014-06-25	  32.37	  32.35	Stable	Stable	match
