Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  38.30	Down	Down	match
HCA	2014-01-16	  51.22	  45.14	Down	Down	match
HCA	2014-05-02	  51.88	  48.27	Down	Down	match
HCA	2014-06-19	  56.49	  49.83	Down	Down	match
HCA	2014-06-24	  56.54	  46.86	Down	Down	match
HCA	2014-06-25	  56.85	  50.11	Down	Down	match
HCA	2014-08-04	  65.83	  48.46	Stable	Down	miss
HCA	2014-09-08	  70.23	  46.80	Stable	Down	miss
HCA	2014-11-17	  65.73	  38.76	Stable	Down	miss
HCA	2015-06-01	  82.39	  68.65	Up	Stable	miss
HCA	2016-03-22	  77.16	  76.50	Up	Up	match
HCA	2016-09-09	  75.94	  70.00	Stable	Stable	match
HCA	2016-11-25	  71.39	  70.67	Stable	Stable	match
HCA	2017-02-07	  82.59	  79.81	Up	Up	match
HCA	2017-04-24	  84.26	  81.17	Up	Up	match
HCA	2017-11-02	  76.43	  74.15	Stable	Stable	match
ABT	2013-11-05	  37.36	  36.85	Down	Down	match
ABT	2014-01-16	  39.54	  36.75	Down	Down	match
ABT	2014-05-02	  38.56	  38.34	Down	Down	match
ABT	2014-06-19	  41.00	  38.76	Stable	Down	miss
ABT	2014-06-24	  40.45	  38.82	Stable	Down	miss
ABT	2014-06-25	  40.70	  37.78	Stable	Down	miss
ABT	2014-08-04	  42.39	  39.52	Up	Down	miss
ABT	2014-09-08	  42.81	  36.52	Up	Down	miss
ABT	2014-11-17	  43.71	  35.39	Up	Down	miss
ABT	2015-06-01	  48.94	  39.98	Up	Down	miss
ABT	2016-03-22	  41.03	  41.12	Stable	Stable	match
ABT	2016-09-09	  41.01	  41.14	Stable	Stable	match
ABT	2016-11-25	  39.16	  39.27	Down	Down	match
ABT	2017-02-07	  42.89	  42.87	Stable	Stable	match
ABT	2017-04-24	  44.13	  43.02	Up	Stable	miss
ABT	2017-11-02	  54.37	  46.85	Up	Up	match
LLY	2013-11-05	  50.37	  52.07	Down	Down	match
LLY	2014-01-16	  55.30	  54.95	Down	Down	match
LLY	2014-05-02	  59.08	  55.11	Down	Down	match
LLY	2014-06-19	  59.85	  57.60	Down	Down	match
LLY	2014-06-24	  61.89	  51.00	Down	Down	match
LLY	2014-06-25	  63.00	  57.74	Stable	Down	miss
LLY	2014-08-04	  61.63	  58.88	Down	Down	match
LLY	2014-09-08	  65.00	  59.55	Stable	Down	miss
LLY	2014-11-17	  67.29	  54.33	Stable	Down	miss
LLY	2015-06-01	  79.00	  67.47	Up	Stable	miss
LLY	2016-03-22	  71.92	  70.67	Up	Stable	miss
LLY	2016-09-09	  78.24	  78.44	Up	Up	match
LLY	2016-11-25	  69.12	  72.75	Stable	Up	miss
LLY	2017-02-07	  77.70	  72.92	Up	Stable	miss
LLY	2017-04-24	  83.42	  80.02	Up	Up	match
LLY	2017-11-02	  83.13	  81.69	Up	Up	match
PFE	2013-11-05	  31.24	  28.82	Up	Down	miss
PFE	2014-01-16	  31.17	  30.56	Up	Stable	miss
PFE	2014-05-02	  30.75	  31.24	Stable	Stable	match
PFE	2014-06-19	  29.59	  30.38	Down	Down	match
PFE	2014-06-24	  29.30	  29.15	Down	Down	match
PFE	2014-06-25	  29.80	  29.15	Down	Down	match
PFE	2014-08-04	  28.75	  29.19	Down	Down	match
PFE	2014-09-08	  29.40	  29.14	Down	Down	match
PFE	2014-11-17	  30.32	  30.26	Stable	Stable	match
PFE	2015-06-01	  34.56	  31.39	Up	Stable	miss
PFE	2016-03-22	  30.38	  30.13	Down	Down	match
PFE	2016-09-09	  34.10	  33.81	Up	Up	match
PFE	2016-11-25	  31.69	  31.56	Stable	Stable	match
PFE	2017-02-07	  32.08	  31.59	Stable	Stable	match
PFE	2017-04-24	  33.74	  33.94	Up	Up	match
PFE	2017-11-02	  35.46	  34.21	Up	Up	match
ZTS	2013-11-05	  31.69	  33.21	Down	Stable	miss
ZTS	2014-01-16	  32.00	  33.05	Down	Stable	miss
ZTS	2014-05-02	  30.64	  31.45	Down	Down	match
ZTS	2014-06-19	  32.55	  32.72	Down	Down	match
ZTS	2014-06-24	  32.37	  32.73	Down	Down	match
ZTS	2014-06-25	  32.37	  32.73	Down	Down	match
ZTS	2014-08-04	  33.24	  32.81	Down	Down	match
ZTS	2014-09-08	  36.28	  33.10	Stable	Down	miss
ZTS	2014-11-17	  44.23	  31.29	Stable	Down	miss
ZTS	2015-06-01	  49.78	  32.74	Stable	Down	miss
ZTS	2016-03-22	  42.75	  40.84	Stable	Stable	match
ZTS	2016-09-09	  50.39	  46.37	Stable	Stable	match
ZTS	2016-11-25	  50.18	  47.25	Stable	Stable	match
ZTS	2017-02-07	  55.98	  48.21	Up	Stable	miss
ZTS	2017-04-24	  54.99	  49.16	Up	Stable	miss
ZTS	2017-11-02	  67.31	  53.51	Up	Up	match
WMT	2013-11-05	  77.42	  77.69	Up	Up	match
WMT	2014-01-16	  76.76	  77.20	Up	Up	match
WMT	2014-05-02	  79.12	  78.34	Up	Up	match
WMT	2014-06-19	  75.87	  75.08	Stable	Stable	match
WMT	2014-06-24	  75.97	  77.09	Stable	Stable	match
WMT	2014-06-25	  75.62	  77.09	Stable	Stable	match
WMT	2014-08-04	  73.54	  75.10	Stable	Stable	match
WMT	2014-09-08	  76.53	  75.06	Stable	Stable	match
WMT	2014-11-17	  83.57	  78.23	Up	Up	match
WMT	2015-06-01	  74.73	  76.03	Stable	Stable	match
WMT	2016-03-22	  67.87	  77.50	Down	Stable	miss
WMT	2016-09-09	  70.30	  74.08	Down	Stable	miss
WMT	2016-11-25	  71.23	  71.11	Down	Down	match
WMT	2017-02-07	  66.89	  67.50	Down	Down	match
WMT	2017-04-24	  74.78	  73.50	Down	Down	match
WMT	2017-11-02	  88.80	  80.18	Up	Stable	miss
MNST	2013-11-05	  19.17	  17.13	Down	Down	match
MNST	2014-01-16	  23.18	  17.35	Down	Down	match
MNST	2014-05-02	  22.31	  19.01	Down	Down	match
MNST	2014-06-19	  24.25	  22.65	Down	Down	match
MNST	2014-06-24	  23.74	  22.70	Down	Down	match
MNST	2014-06-25	  23.48	  22.72	Down	Down	match
MNST	2014-08-04	  21.85	  19.48	Down	Down	match
MNST	2014-09-08	  29.97	  22.18	Down	Down	match
MNST	2014-11-17	  36.69	  17.82	Down	Down	match
MNST	2015-06-01	  42.39	  35.61	Stable	Down	miss
MNST	2016-03-22	  44.87	  43.24	Up	Stable	miss
MNST	2016-09-09	  49.18	  46.46	Up	Up	match
MNST	2016-11-25	  44.85	  40.37	Stable	Stable	match
MNST	2017-02-07	  43.08	  40.76	Stable	Stable	match
MNST	2017-04-24	  45.47	  41.20	Stable	Stable	match
MNST	2017-11-02	  57.45	  50.23	Up	Up	match
MDLZ	2013-11-05	  33.44	  31.12	Down	Down	match
MDLZ	2014-01-16	  35.70	  30.31	Down	Down	match
MDLZ	2014-05-02	  35.48	  34.16	Down	Down	match
MDLZ	2014-06-19	  37.50	  33.65	Stable	Down	miss
MDLZ	2014-06-24	  37.14	  33.70	Stable	Down	miss
MDLZ	2014-06-25	  37.11	  35.20	Stable	Down	miss
MDLZ	2014-08-04	  36.45	  34.21	Down	Down	match
MDLZ	2014-09-08	  35.32	  35.99	Down	Down	match
MDLZ	2014-11-17	  38.37	  36.14	Stable	Down	miss
MDLZ	2015-06-01	  40.69	  37.27	Stable	Stable	match
MDLZ	2016-03-22	  39.91	  41.04	Stable	Stable	match
MDLZ	2016-09-09	  42.09	  42.29	Stable	Up	miss
MDLZ	2016-11-25	  43.28	  42.64	Up	Up	match
MDLZ	2017-02-07	  43.93	  42.99	Up	Up	match
MDLZ	2017-04-24	  45.39	  43.34	Up	Up	match
MDLZ	2017-11-02	  41.16	  41.10	Stable	Stable	match
KO	2014-01-16	  39.71	  38.59	Stable	Stable	match
KO	2014-05-02	  40.95	  40.26	Stable	Stable	match
KO	2014-06-19	  41.79	  40.36	Up	Stable	miss
KO	2014-06-24	  41.85	  40.38	Up	Stable	miss
KO	2014-06-25	  41.96	  41.12	Up	Stable	miss
KO	2014-08-04	  39.40	  40.53	Stable	Stable	match
KO	2014-09-08	  41.78	  39.97	Up	Stable	miss
KO	2014-11-17	  42.92	  41.74	Up	Up	match
KO	2015-06-01	  40.94	  40.59	Stable	Stable	match
KO	2016-03-22	  45.50	  42.52	Up	Up	match
