Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  42.51	Down	Down	match
HCA	2014-01-16	  51.22	  47.57	Down	Down	match
HCA	2014-05-02	  51.88	  49.84	Down	Down	match
HCA	2014-06-19	  56.49	  52.30	Down	Down	match
HCA	2014-06-24	  56.54	  52.48	Down	Down	match
HCA	2014-06-25	  56.85	  51.22	Down	Down	match
HCA	2014-08-04	  65.83	  58.27	Down	Down	match
HCA	2014-09-08	  70.23	  67.85	Stable	Down	miss
HCA	2014-11-17	  65.73	  70.17	Down	Stable	miss
HCA	2015-06-01	  82.39	  76.69	Up	Stable	miss
HCA	2016-03-22	  77.16	  70.51	Up	Stable	miss
HCA	2016-09-09	  75.94	  77.81	Stable	Stable	match
HCA	2016-11-25	  71.39	  73.31	Stable	Stable	match
HCA	2017-02-07	  82.59	  77.03	Up	Stable	miss
HCA	2017-04-24	  84.26	  85.22	Up	Up	match
HCA	2017-11-02	  76.43	  78.19	Stable	Stable	match
ABT	2013-11-05	  37.36	  36.66	Down	Down	match
ABT	2014-01-16	  39.54	  38.12	Down	Down	match
ABT	2014-05-02	  38.56	  38.76	Down	Down	match
ABT	2014-06-19	  41.00	  39.95	Stable	Down	miss
ABT	2014-06-24	  40.45	  39.78	Down	Down	match
ABT	2014-06-25	  40.70	  39.65	Stable	Down	miss
ABT	2014-08-04	  42.39	  40.85	Stable	Stable	match
ABT	2014-09-08	  42.81	  40.22	Stable	Down	miss
ABT	2014-11-17	  43.71	  42.54	Up	Stable	miss
ABT	2015-06-01	  48.94	  47.59	Up	Up	match
ABT	2016-03-22	  41.03	  39.01	Stable	Down	miss
ABT	2016-09-09	  41.01	  44.70	Down	Up	miss
ABT	2016-11-25	  39.16	  39.77	Down	Down	match
ABT	2017-02-07	  42.89	  40.25	Stable	Down	miss
ABT	2017-04-24	  44.13	  44.03	Stable	Stable	match
ABT	2017-11-02	  54.37	  53.95	Up	Up	match
LLY	2013-11-05	  50.37	  50.31	Down	Down	match
LLY	2014-01-16	  55.30	  50.50	Down	Down	match
LLY	2014-05-02	  59.08	  58.57	Down	Down	match
LLY	2014-06-19	  59.85	  59.72	Down	Down	match
LLY	2014-06-24	  61.89	  59.01	Stable	Down	miss
LLY	2014-06-25	  63.00	  59.74	Stable	Down	miss
LLY	2014-08-04	  61.63	  62.63	Stable	Stable	match
LLY	2014-09-08	  65.00	  62.87	Stable	Stable	match
LLY	2014-11-17	  67.29	  63.66	Up	Stable	miss
LLY	2015-06-01	  79.00	  72.27	Up	Up	match
LLY	2016-03-22	  71.92	  77.85	Up	Up	match
LLY	2016-09-09	  78.24	  80.82	Up	Up	match
LLY	2016-11-25	  69.12	  77.72	Up	Up	match
LLY	2017-02-07	  77.70	  72.50	Up	Up	match
LLY	2017-04-24	  83.42	  82.33	Up	Up	match
LLY	2017-11-02	  83.13	  82.55	Up	Up	match
PFE	2013-11-05	  31.24	  30.04	Up	Stable	miss
PFE	2014-01-16	  31.17	  31.20	Up	Up	match
PFE	2014-05-02	  30.75	  31.68	Stable	Up	miss
PFE	2014-06-19	  29.59	  30.71	Down	Stable	miss
PFE	2014-06-24	  29.30	  29.83	Down	Down	match
PFE	2014-06-25	  29.80	  29.82	Down	Down	match
PFE	2014-08-04	  28.75	  30.04	Down	Down	match
PFE	2014-09-08	  29.40	  29.20	Down	Down	match
PFE	2014-11-17	  30.32	  30.00	Stable	Stable	match
PFE	2015-06-01	  34.56	  34.09	Up	Up	match
PFE	2016-03-22	  30.38	  29.87	Stable	Down	miss
PFE	2016-09-09	  34.10	  35.81	Up	Up	match
PFE	2016-11-25	  31.69	  33.00	Stable	Up	miss
PFE	2017-02-07	  32.08	  32.02	Up	Stable	miss
PFE	2017-04-24	  33.74	  34.36	Up	Up	match
PFE	2017-11-02	  35.46	  36.00	Up	Up	match
ZTS	2013-11-05	  31.69	  32.14	Stable	Stable	match
ZTS	2014-01-16	  32.00	  31.93	Stable	Stable	match
ZTS	2014-05-02	  30.64	  29.17	Stable	Stable	match
ZTS	2014-06-19	  32.55	  30.32	Stable	Stable	match
ZTS	2014-06-24	  32.37	  31.23	Stable	Stable	match
ZTS	2014-06-25	  32.37	  31.83	Stable	Stable	match
ZTS	2014-08-04	  33.24	  31.40	Stable	Stable	match
ZTS	2014-09-08	  36.28	  34.07	Up	Stable	miss
ZTS	2014-11-17	  44.23	  36.23	Up	Up	match
ZTS	2015-06-01	  49.78	  46.84	Up	Up	match
ZTS	2016-03-22	  42.75	  41.76	Up	Up	match
ZTS	2016-09-09	  50.39	  49.24	Up	Up	match
ZTS	2016-11-25	  50.18	  50.96	Up	Up	match
ZTS	2017-02-07	  55.98	  52.85	Up	Up	match
ZTS	2017-04-24	  54.99	  53.28	Up	Up	match
ZTS	2017-11-02	  67.31	  65.35	Up	Up	match
WMT	2013-11-05	  77.42	  74.69	Up	Stable	miss
WMT	2014-01-16	  76.76	  77.59	Up	Up	match
WMT	2014-05-02	  79.12	  76.61	Up	Stable	miss
WMT	2014-06-19	  75.87	  77.74	Stable	Up	miss
WMT	2014-06-24	  75.97	  75.45	Stable	Stable	match
WMT	2014-06-25	  75.62	  75.78	Stable	Stable	match
WMT	2014-08-04	  73.54	  76.54	Stable	Stable	match
WMT	2014-09-08	  76.53	  76.80	Stable	Up	miss
WMT	2014-11-17	  83.57	  76.81	Up	Up	match
WMT	2015-06-01	  74.73	  78.75	Stable	Up	miss
WMT	2016-03-22	  67.87	  64.62	Down	Down	match
WMT	2016-09-09	  70.30	  73.68	Down	Down	match
WMT	2016-11-25	  71.23	  69.82	Down	Down	match
WMT	2017-02-07	  66.89	  69.35	Down	Down	match
WMT	2017-04-24	  74.78	  70.52	Down	Down	match
WMT	2017-11-02	  88.80	  85.03	Up	Up	match
MNST	2013-11-05	  19.17	  18.86	Down	Down	match
MNST	2014-01-16	  23.18	  20.97	Down	Down	match
MNST	2014-05-02	  22.31	  23.73	Down	Down	match
MNST	2014-06-19	  24.25	  22.78	Down	Down	match
MNST	2014-06-24	  23.74	  23.21	Down	Down	match
MNST	2014-06-25	  23.48	  22.85	Down	Down	match
MNST	2014-08-04	  21.85	  22.93	Down	Down	match
MNST	2014-09-08	  29.97	  28.92	Stable	Stable	match
MNST	2014-11-17	  36.69	  32.82	Stable	Stable	match
MNST	2015-06-01	  42.39	  45.17	Up	Up	match
MNST	2016-03-22	  44.87	  44.79	Up	Up	match
MNST	2016-09-09	  49.18	  52.71	Up	Up	match
MNST	2016-11-25	  44.85	  49.79	Up	Up	match
MNST	2017-02-07	  43.08	  44.75	Up	Up	match
MNST	2017-04-24	  45.47	  44.96	Up	Up	match
MNST	2017-11-02	  57.45	  55.82	Up	Up	match
MDLZ	2013-11-05	  33.44	  31.49	Down	Down	match
MDLZ	2014-01-16	  35.70	  34.11	Down	Down	match
MDLZ	2014-05-02	  35.48	  35.16	Down	Down	match
MDLZ	2014-06-19	  37.50	  36.00	Down	Down	match
MDLZ	2014-06-24	  37.14	  37.53	Down	Down	match
MDLZ	2014-06-25	  37.11	  37.28	Down	Down	match
MDLZ	2014-08-04	  36.45	  38.18	Down	Stable	miss
MDLZ	2014-09-08	  35.32	  37.24	Down	Down	match
MDLZ	2014-11-17	  38.37	  35.46	Stable	Down	miss
MDLZ	2015-06-01	  40.69	  37.07	Stable	Down	miss
MDLZ	2016-03-22	  39.91	  39.82	Stable	Stable	match
MDLZ	2016-09-09	  42.09	  44.66	Up	Up	match
MDLZ	2016-11-25	  43.28	  42.31	Up	Up	match
MDLZ	2017-02-07	  43.93	  44.02	Up	Up	match
MDLZ	2017-04-24	  45.39	  43.90	Up	Up	match
MDLZ	2017-11-02	  41.16	  42.11	Stable	Stable	match
KO	2013-11-05	  39.50	  38.83	Stable	Stable	match
KO	2014-01-16	  39.71	  39.57	Stable	Stable	match
KO	2014-05-02	  40.95	  38.92	Stable	Stable	match
KO	2014-06-19	  41.79	  40.94	Stable	Stable	match
KO	2014-06-24	  41.85	  40.78	Stable	Stable	match
KO	2014-06-25	  41.96	  40.68	Stable	Stable	match
KO	2014-08-04	  39.40	  40.82	Stable	Stable	match
KO	2014-09-08	  41.78	  41.15	Stable	Stable	match
KO	2014-11-17	  42.92	  42.16	Up	Up	match
KO	2015-06-01	  40.94	  40.73	Stable	Stable	match
KO	2016-03-22	  45.50	  43.34	Up	Up	match
KO	2016-09-09	  42.27	  43.61	Stable	Up	miss
KO	2016-11-25	  41.53	  42.77	Stable	Up	miss
KO	2017-02-07	  41.90	  41.45	Stable	Stable	match
KO	2017-04-24	  43.28	  41.80	Up	Stable	miss
KO	2017-11-02	  45.88	  45.45	Up	Up	match
KHC	2016-03-22	  76.44	  72.48	Down	Down	match
KHC	2016-09-09	  85.97	  88.24	Stable	Up	miss
KHC	2016-11-25	  82.95	  87.98	Stable	Up	miss
KHC	2017-02-07	  88.81	  86.33	Up	Stable	miss
KHC	2017-04-24	  92.56	  91.88	Up	Up	match
KHC	2017-11-02	  78.03	  78.95	Down	Down	match
