Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  47.24	Down	Down	match
HCA	2014-01-16	  51.22	  51.13	Down	Down	match
HCA	2014-05-02	  51.88	  52.37	Down	Down	match
HCA	2014-06-19	  56.49	  55.37	Down	Down	match
HCA	2014-06-24	  56.54	  56.70	Stable	Stable	match
HCA	2014-06-25	  56.85	  56.89	Stable	Stable	match
HCA	2014-08-04	  65.83	  65.16	Stable	Stable	match
HCA	2014-09-08	  70.23	  69.29	Stable	Stable	match
HCA	2014-11-17	  65.73	  64.86	Stable	Stable	match
HCA	2015-06-01	  82.39	  81.98	Up	Up	match
HCA	2016-03-22	  77.16	  74.47	Up	Stable	miss
HCA	2016-09-09	  75.94	  76.79	Up	Up	match
HCA	2016-11-25	  71.39	  72.22	Stable	Stable	match
HCA	2017-02-07	  82.59	  82.20	Up	Up	match
HCA	2017-04-24	  84.26	  84.63	Up	Up	match
HCA	2017-11-02	  76.43	  76.44	Up	Up	match
ABT	2013-11-05	  37.36	  36.94	Down	Down	match
ABT	2014-01-16	  39.54	  39.41	Down	Down	match
ABT	2014-05-02	  38.56	  38.47	Down	Down	match
ABT	2014-06-19	  41.00	  39.95	Stable	Stable	match
ABT	2014-06-24	  40.45	  40.56	Stable	Stable	match
ABT	2014-06-25	  40.70	  40.68	Stable	Stable	match
ABT	2014-08-04	  42.39	  42.61	Stable	Stable	match
ABT	2014-09-08	  42.81	  42.62	Up	Stable	miss
ABT	2014-11-17	  43.71	  44.19	Up	Up	match
ABT	2015-06-01	  48.94	  48.90	Up	Up	match
ABT	2016-03-22	  41.03	  40.38	Stable	Stable	match
ABT	2016-09-09	  41.01	  42.06	Stable	Stable	match
ABT	2016-11-25	  39.16	  39.41	Down	Down	match
ABT	2017-02-07	  42.89	  42.41	Up	Stable	miss
ABT	2017-04-24	  44.13	  43.57	Up	Up	match
ABT	2017-11-02	  54.37	  54.67	Up	Up	match
LLY	2013-11-05	  50.37	  50.00	Down	Down	match
LLY	2014-01-16	  55.30	  52.31	Down	Down	match
LLY	2014-05-02	  59.08	  59.14	Down	Down	match
LLY	2014-06-19	  59.85	  59.17	Down	Down	match
LLY	2014-06-24	  61.89	  60.64	Stable	Stable	match
LLY	2014-06-25	  63.00	  61.17	Stable	Stable	match
LLY	2014-08-04	  61.63	  62.29	Stable	Stable	match
LLY	2014-09-08	  65.00	  64.07	Stable	Stable	match
LLY	2014-11-17	  67.29	  67.72	Stable	Stable	match
LLY	2015-06-01	  79.00	  75.76	Up	Up	match
LLY	2016-03-22	  71.92	  70.80	Up	Stable	miss
