Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 300.32	Down	Down	match
AMZN	2013-11-01	 359.00	 284.52	Stable	Down	miss
AMZN	2014-02-03	 346.15	 364.74	Down	Stable	miss
AMZN	2014-05-01	 307.89	 304.16	Down	Down	match
AMZN	2014-08-01	 307.06	 313.37	Down	Down	match
AMZN	2014-11-03	 305.72	 306.35	Down	Down	match
AMZN	2015-02-02	 364.47	 353.94	Stable	Stable	match
AMZN	2015-05-01	 422.87	 420.35	Stable	Stable	match
AMZN	2015-08-03	 535.03	 364.39	Stable	Stable	match
AMZN	2015-11-02	 628.35	 415.63	Stable	Stable	match
AMZN	2016-02-01	 574.81	 586.52	Stable	Stable	match
AMZN	2016-05-02	 683.85	 658.67	Stable	Stable	match
AMZN	2016-08-01	 767.74	 757.73	Up	Stable	miss
AMZN	2016-11-01	 785.41	 788.98	Up	Up	match
AMZN	2017-02-01	 832.35	 822.79	Up	Up	match
AMZN	2017-05-01	 948.23	 924.42	Up	Up	match
AMZN	2017-08-01	 992.27	 987.20	Up	Up	match
AMZN	2017-11-01	1103.68	1104.23	Up	Up	match
CMG	2013-08-01	 413.81	 410.28	Stable	Stable	match
CMG	2013-11-01	 527.60	 381.29	Stable	Down	miss
CMG	2014-02-03	 543.20	 551.56	Stable	Stable	match
CMG	2014-05-01	 500.15	 498.13	Stable	Stable	match
CMG	2014-08-01	 675.14	 671.79	Up	Up	match
CMG	2014-11-03	 638.53	 637.19	Up	Up	match
CMG	2015-02-02	 712.55	 708.87	Up	Up	match
CMG	2015-05-01	 634.00	 621.24	Up	Stable	miss
CMG	2015-08-03	 743.04	 738.68	Up	Up	match
CMG	2015-11-02	 624.00	 641.16	Stable	Up	miss
CMG	2016-02-01	 472.64	 453.94	Stable	Stable	match
CMG	2016-05-02	 433.50	 421.73	Stable	Stable	match
CMG	2016-08-01	 414.08	 424.55	Down	Stable	miss
CMG	2016-11-01	 359.92	 361.24	Down	Down	match
CMG	2017-02-01	 420.23	 422.01	Down	Stable	miss
CMG	2017-05-01	 477.58	 472.63	Stable	Stable	match
CMG	2017-08-01	 347.24	 344.63	Down	Down	match
CMG	2017-11-01	 270.20	 272.52	Down	Down	match
NKE	2013-08-01	  32.98	  31.42	Down	Down	match
NKE	2013-11-01	  38.03	  37.85	Down	Down	match
NKE	2014-02-03	  35.44	  36.41	Down	Down	match
NKE	2014-05-01	  36.46	  36.46	Down	Down	match
NKE	2014-08-01	  39.41	  38.54	Stable	Down	miss
NKE	2014-11-03	  46.73	  46.40	Stable	Stable	match
NKE	2015-02-02	  45.96	  46.21	Stable	Stable	match
NKE	2015-05-01	  50.39	  49.48	Stable	Stable	match
NKE	2015-08-03	  57.41	  57.57	Up	Up	match
NKE	2015-11-02	  65.59	  65.51	Up	Up	match
NKE	2016-02-01	  63.16	  61.96	Up	Up	match
NKE	2016-05-02	  59.59	  59.09	Up	Up	match
NKE	2016-08-01	  55.41	  55.62	Stable	Up	miss
NKE	2016-11-01	  49.62	  50.29	Stable	Stable	match
NKE	2017-02-01	  53.02	  52.97	Stable	Stable	match
NKE	2017-05-01	  54.99	  55.41	Stable	Stable	match
NKE	2017-08-01	  59.84	  58.90	Up	Up	match
NKE	2017-11-01	  55.07	  54.95	Stable	Stable	match
HD	2013-08-01	  78.64	  78.95	Stable	Stable	match
HD	2013-11-01	  76.99	  77.81	Down	Down	match
HD	2014-02-03	  75.09	  76.81	Down	Down	match
HD	2014-05-01	  79.33	  79.42	Down	Down	match
HD	2014-08-01	  79.75	  80.70	Down	Stable	miss
HD	2014-11-03	  96.09	  97.41	Stable	Stable	match
HD	2015-02-02	 104.43	 104.10	Stable	Stable	match
HD	2015-05-01	 109.55	 106.93	Stable	Stable	match
HD	2015-08-03	 116.89	 116.98	Stable	Stable	match
HD	2015-11-02	 124.41	 123.53	Stable	Stable	match
HD	2016-02-01	 126.51	 125.60	Stable	Stable	match
HD	2016-05-02	 136.05	 133.90	Up	Stable	miss
HD	2016-08-01	 138.77	 138.02	Up	Up	match
HD	2016-11-01	 119.89	 122.24	Stable	Stable	match
HD	2017-02-01	 137.44	 137.40	Stable	Stable	match
HD	2017-05-01	 154.21	 135.11	Up	Stable	miss
HD	2017-08-01	 150.50	 149.53	Up	Up	match
HD	2017-11-01	 165.38	 165.72	Up	Up	match
MMM	2013-08-01	 118.41	 117.31	Down	Down	match
MMM	2013-11-01	 125.90	 125.79	Down	Down	match
