Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-01	 359.00	 274.13	Stable	Down	miss
AMZN	2014-02-03	 346.15	 356.64	Down	Stable	miss
AMZN	2014-05-01	 307.89	 296.50	Down	Down	match
AMZN	2014-08-01	 307.06	 359.80	Down	Stable	miss
AMZN	2014-11-03	 305.72	 300.89	Down	Down	match
AMZN	2015-02-02	 364.47	 300.79	Stable	Down	miss
AMZN	2015-05-01	 422.87	 364.88	Stable	Stable	match
AMZN	2015-08-03	 535.03	 390.42	Stable	Stable	match
AMZN	2015-11-02	 628.35	 431.71	Stable	Stable	match
AMZN	2016-02-01	 574.81	 485.15	Stable	Stable	match
AMZN	2016-05-02	 683.85	 508.16	Stable	Stable	match
AMZN	2016-08-01	 767.74	 554.07	Up	Stable	miss
AMZN	2016-11-01	 785.41	 604.23	Up	Stable	miss
AMZN	2017-02-01	 832.35	 638.38	Up	Stable	miss
AMZN	2017-05-01	 948.23	 678.80	Up	Stable	miss
AMZN	2017-08-01	 992.27	 732.71	Up	Stable	miss
AMZN	2017-11-01	1103.68	 775.60	Up	Stable	miss
CMG	2013-08-01	 413.81	 326.57	Stable	Down	miss
CMG	2014-02-03	 543.20	 491.81	Stable	Stable	match
CMG	2014-05-01	 500.15	 358.97	Stable	Down	miss
CMG	2014-08-01	 675.14	 560.35	Up	Stable	miss
CMG	2014-11-03	 638.53	 544.82	Up	Stable	miss
CMG	2015-02-02	 712.55	 400.19	Up	Down	miss
CMG	2015-05-01	 634.00	 414.38	Up	Stable	miss
CMG	2015-08-03	 743.04	 663.32	Up	Up	match
CMG	2015-11-02	 624.00	 616.08	Stable	Stable	match
CMG	2016-02-01	 472.64	 438.60	Stable	Stable	match
CMG	2016-05-02	 433.50	 434.77	Stable	Stable	match
CMG	2016-08-01	 414.08	 425.20	Down	Stable	miss
CMG	2016-11-01	 359.92	 415.28	Down	Down	match
CMG	2017-02-01	 420.23	 405.83	Down	Down	match
CMG	2017-05-01	 477.58	 467.14	Stable	Stable	match
CMG	2017-08-01	 347.24	 398.52	Down	Down	match
CMG	2017-11-01	 270.20	 382.38	Down	Down	match
NKE	2013-08-01	  32.98	  28.43	Down	Down	match
NKE	2013-11-01	  38.03	  31.73	Down	Down	match
NKE	2014-02-03	  35.44	  31.75	Down	Down	match
NKE	2014-05-01	  36.46	  35.89	Down	Down	match
NKE	2014-08-01	  39.41	  36.52	Stable	Down	miss
NKE	2015-02-02	  45.96	  39.81	Stable	Stable	match
NKE	2015-05-01	  50.39	  44.88	Stable	Stable	match
NKE	2015-08-03	  57.41	  47.49	Up	Stable	miss
NKE	2015-11-02	  65.59	  32.97	Up	Down	miss
NKE	2016-02-01	  63.16	  53.93	Up	Stable	miss
NKE	2016-05-02	  59.59	  55.71	Up	Up	match
NKE	2016-08-01	  55.41	  56.49	Stable	Up	miss
NKE	2016-11-01	  49.62	  51.10	Stable	Stable	match
NKE	2017-02-01	  53.02	  51.32	Stable	Stable	match
NKE	2017-05-01	  54.99	  51.82	Stable	Stable	match
NKE	2017-08-01	  59.84	  57.83	Up	Up	match
NKE	2017-11-01	  55.07	  52.49	Stable	Stable	match
HD	2013-08-01	  78.64	  69.82	Stable	Down	miss
HD	2013-11-01	  76.99	  71.06	Down	Down	match
HD	2014-02-03	  75.09	  75.93	Down	Down	match
HD	2014-05-01	  79.33	  78.17	Down	Down	match
HD	2014-08-01	  79.75	  80.70	Down	Stable	miss
HD	2014-11-03	  96.09	  76.39	Stable	Down	miss
HD	2015-02-02	 104.43	  81.69	Stable	Stable	match
HD	2015-05-01	 109.55	  97.96	Stable	Stable	match
HD	2015-08-03	 116.89	 102.46	Stable	Stable	match
HD	2015-11-02	 124.41	 107.08	Stable	Stable	match
HD	2016-02-01	 126.51	 112.33	Stable	Stable	match
HD	2016-05-02	 136.05	 116.47	Up	Stable	miss
HD	2016-08-01	 138.77	 120.31	Up	Stable	miss
HD	2016-11-01	 119.89	 123.16	Stable	Stable	match
HD	2017-02-01	 137.44	 125.61	Stable	Stable	match
HD	2017-05-01	 154.21	 129.47	Up	Stable	miss
HD	2017-08-01	 150.50	 133.91	Up	Stable	miss
HD	2017-11-01	 165.38	 138.27	Up	Stable	miss
MMM	2013-11-01	 125.90	 112.09	Down	Down	match
MMM	2014-02-03	 123.90	 106.98	Down	Down	match
MMM	2014-05-01	 140.81	 109.23	Stable	Down	miss
MMM	2014-08-01	 140.75	 111.13	Down	Down	match
MMM	2014-11-03	 153.30	 140.76	Stable	Stable	match
MMM	2015-02-02	 164.42	 131.16	Stable	Down	miss
MMM	2015-05-01	 157.68	 126.47	Stable	Down	miss
MMM	2015-08-03	 150.12	 145.73	Stable	Stable	match
MMM	2015-11-02	 159.92	 156.48	Stable	Stable	match
