Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 288.58	Down	Down	match
AMZN	2013-11-01	 359.00	 304.18	Stable	Down	miss
AMZN	2014-02-03	 346.15	 391.61	Down	Stable	miss
AMZN	2014-05-01	 307.89	 344.49	Down	Down	match
AMZN	2014-08-01	 307.06	 337.05	Down	Down	match
AMZN	2014-11-03	 305.72	 319.72	Down	Down	match
AMZN	2015-02-02	 364.47	 305.88	Stable	Down	miss
AMZN	2015-05-01	 422.87	 381.87	Stable	Stable	match
AMZN	2015-08-03	 535.03	 444.20	Stable	Stable	match
AMZN	2015-11-02	 628.35	 539.44	Stable	Stable	match
AMZN	2016-02-01	 574.81	 630.13	Stable	Stable	match
AMZN	2016-05-02	 683.85	 626.46	Stable	Stable	match
AMZN	2016-08-01	 767.74	 709.52	Up	Stable	miss
AMZN	2016-11-01	 785.41	 827.35	Up	Up	match
AMZN	2017-02-01	 832.35	 778.28	Up	Up	match
AMZN	2017-05-01	 948.23	 898.38	Up	Up	match
AMZN	2017-08-01	 992.27	 976.78	Up	Up	match
AMZN	2017-11-01	1103.68	 992.52	Up	Up	match
CMG	2013-08-01	 413.81	 372.70	Stable	Down	miss
CMG	2013-11-01	 527.60	 448.25	Stable	Stable	match
CMG	2014-02-03	 543.20	 510.44	Stable	Stable	match
CMG	2014-05-01	 500.15	 538.49	Stable	Stable	match
CMG	2014-08-01	 675.14	 612.80	Up	Stable	miss
CMG	2014-11-03	 638.53	 640.84	Up	Up	match
CMG	2015-02-02	 712.55	 662.82	Up	Up	match
CMG	2015-05-01	 634.00	 660.65	Up	Up	match
CMG	2015-08-03	 743.04	 635.30	Up	Up	match
CMG	2015-11-02	 624.00	 706.40	Stable	Up	miss
CMG	2016-02-01	 472.64	 481.34	Stable	Stable	match
CMG	2016-05-02	 433.50	 489.39	Stable	Stable	match
CMG	2016-08-01	 414.08	 397.65	Down	Down	match
CMG	2016-11-01	 359.92	 426.90	Down	Stable	miss
CMG	2017-02-01	 420.23	 397.91	Down	Down	match
CMG	2017-05-01	 477.58	 445.90	Stable	Stable	match
CMG	2017-08-01	 347.24	 443.95	Down	Stable	miss
CMG	2017-11-01	 270.20	 321.85	Down	Down	match
NKE	2013-08-01	  32.98	  31.29	Down	Down	match
NKE	2013-11-01	  38.03	  37.66	Down	Down	match
NKE	2014-02-03	  35.44	  38.52	Down	Down	match
NKE	2014-05-01	  36.46	  37.90	Down	Down	match
NKE	2014-08-01	  39.41	  39.00	Stable	Down	miss
NKE	2014-11-03	  46.73	  44.24	Stable	Stable	match
NKE	2015-02-02	  45.96	  47.50	Stable	Stable	match
NKE	2015-05-01	  50.39	  48.33	Stable	Stable	match
NKE	2015-08-03	  57.41	  53.23	Up	Stable	miss
NKE	2015-11-02	  65.59	  65.57	Up	Up	match
NKE	2016-02-01	  63.16	  65.67	Up	Up	match
NKE	2016-05-02	  59.59	  61.27	Up	Up	match
NKE	2016-08-01	  55.41	  53.45	Stable	Stable	match
NKE	2016-11-01	  49.62	  53.41	Stable	Stable	match
NKE	2017-02-01	  53.02	  52.72	Stable	Stable	match
NKE	2017-05-01	  54.99	  56.69	Stable	Up	miss
NKE	2017-08-01	  59.84	  58.61	Up	Up	match
NKE	2017-11-01	  55.07	  52.84	Stable	Stable	match
HD	2013-08-01	  78.64	  77.39	Stable	Down	miss
HD	2013-11-01	  76.99	  75.41	Down	Down	match
HD	2014-02-03	  75.09	  80.32	Down	Stable	miss
HD	2014-05-01	  79.33	  79.00	Down	Down	match
HD	2014-08-01	  79.75	  80.63	Down	Stable	miss
HD	2014-11-03	  96.09	  89.12	Stable	Stable	match
HD	2015-02-02	 104.43	  99.38	Stable	Stable	match
HD	2015-05-01	 109.55	 114.79	Stable	Stable	match
HD	2015-08-03	 116.89	 113.46	Stable	Stable	match
HD	2015-11-02	 124.41	 121.59	Stable	Stable	match
HD	2016-02-01	 126.51	 124.42	Stable	Stable	match
HD	2016-05-02	 136.05	 134.40	Up	Stable	miss
HD	2016-08-01	 138.77	 133.27	Up	Stable	miss
HD	2016-11-01	 119.89	 130.00	Stable	Stable	match
HD	2017-02-01	 137.44	 134.35	Stable	Stable	match
HD	2017-05-01	 154.21	 147.37	Up	Up	match
HD	2017-08-01	 150.50	 148.88	Up	Up	match
HD	2017-11-01	 165.38	 164.05	Up	Up	match
MMM	2013-08-01	 118.41	 111.06	Down	Down	match
MMM	2013-11-01	 125.90	 120.87	Down	Down	match
MMM	2014-02-03	 123.90	 126.83	Down	Down	match
MMM	2014-05-01	 140.81	 134.28	Stable	Down	miss
MMM	2014-08-01	 140.75	 145.02	Down	Stable	miss
MMM	2014-11-03	 153.30	 144.83	Stable	Stable	match
MMM	2015-02-02	 164.42	 159.91	Stable	Stable	match
MMM	2015-05-01	 157.68	 167.71	Stable	Up	miss
MMM	2015-08-03	 150.12	 156.38	Stable	Stable	match
MMM	2015-11-02	 159.92	 147.51	Stable	Stable	match
MMM	2016-02-01	 148.73	 153.11	Stable	Stable	match
MMM	2016-05-02	 168.34	 158.80	Up	Stable	miss
MMM	2016-08-01	 178.29	 176.30	Up	Up	match
MMM	2016-11-01	 164.25	 173.52	Stable	Up	miss
MMM	2017-02-01	 175.17	 178.43	Up	Up	match
MMM	2017-05-01	 194.81	 191.44	Up	Up	match
MMM	2017-08-01	 207.65	 203.79	Up	Up	match
MMM	2017-11-01	 230.18	 207.77	Up	Up	match
GE	2013-08-01	  24.62	  23.33	Down	Down	match
GE	2013-11-01	  26.54	  23.85	Stable	Down	miss
GE	2014-02-03	  24.35	  25.97	Down	Stable	miss
GE	2014-05-01	  26.77	  25.86	Stable	Stable	match
GE	2014-08-01	  25.35	  26.84	Stable	Stable	match
GE	2014-11-03	  25.70	  25.73	Stable	Stable	match
GE	2015-02-02	  24.21	  26.10	Down	Stable	miss
GE	2015-05-01	  27.31	  24.93	Stable	Down	miss
