Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 244.27	Down	Down	match
AMZN	2013-11-01	 359.00	 314.79	Stable	Down	miss
AMZN	2014-02-03	 346.15	 374.91	Down	Stable	miss
AMZN	2014-05-01	 307.89	 314.12	Down	Down	match
AMZN	2014-08-01	 307.06	 329.87	Down	Down	match
AMZN	2014-11-03	 305.72	 310.18	Down	Down	match
AMZN	2015-02-02	 364.47	 323.10	Stable	Down	miss
AMZN	2015-05-01	 422.87	 401.49	Stable	Stable	match
AMZN	2015-08-03	 535.03	 448.50	Stable	Stable	match
AMZN	2015-11-02	 628.35	 525.12	Stable	Stable	match
AMZN	2016-02-01	 574.81	 590.48	Stable	Stable	match
AMZN	2016-05-02	 683.85	 611.49	Stable	Stable	match
AMZN	2016-08-01	 767.74	 706.02	Up	Stable	miss
AMZN	2016-11-01	 785.41	 763.11	Up	Stable	miss
AMZN	2017-02-01	 832.35	 777.59	Up	Up	match
AMZN	2017-05-01	 948.23	 867.32	Up	Up	match
AMZN	2017-08-01	 992.27	 947.29	Up	Up	match
AMZN	2017-11-01	1103.68	1003.38	Up	Up	match
CMG	2013-08-01	 413.81	 381.66	Stable	Down	miss
CMG	2013-11-01	 527.60	 383.03	Stable	Down	miss
CMG	2014-02-03	 543.20	 521.33	Stable	Stable	match
CMG	2014-05-01	 500.15	 491.58	Stable	Stable	match
CMG	2014-08-01	 675.14	 635.06	Up	Up	match
CMG	2014-11-03	 638.53	 629.78	Up	Up	match
CMG	2015-02-02	 712.55	 642.89	Up	Up	match
CMG	2015-05-01	 634.00	 602.26	Up	Stable	miss
CMG	2015-08-03	 743.04	 690.22	Up	Up	match
CMG	2015-11-02	 624.00	 663.65	Stable	Up	miss
CMG	2016-02-01	 472.64	 469.60	Stable	Stable	match
CMG	2016-05-02	 433.50	 442.20	Stable	Stable	match
CMG	2016-08-01	 414.08	 421.12	Down	Stable	miss
CMG	2016-11-01	 359.92	 392.14	Down	Down	match
CMG	2017-02-01	 420.23	 410.52	Down	Down	match
CMG	2017-05-01	 477.58	 459.12	Stable	Stable	match
CMG	2017-08-01	 347.24	 381.74	Down	Down	match
CMG	2017-11-01	 270.20	 308.21	Down	Down	match
NKE	2013-08-01	  32.98	  31.04	Down	Down	match
NKE	2013-11-01	  38.03	  36.22	Down	Down	match
NKE	2014-02-03	  35.44	  36.54	Down	Down	match
NKE	2014-05-01	  36.46	  36.81	Down	Down	match
NKE	2014-08-01	  39.41	  38.46	Stable	Down	miss
NKE	2014-11-03	  46.73	  37.04	Stable	Down	miss
NKE	2015-02-02	  45.96	  45.76	Stable	Stable	match
NKE	2015-05-01	  50.39	  48.46	Stable	Stable	match
NKE	2015-08-03	  57.41	  54.09	Up	Stable	miss
NKE	2015-11-02	  65.59	  59.11	Up	Up	match
NKE	2016-02-01	  63.16	  61.55	Up	Up	match
NKE	2016-05-02	  59.59	  59.45	Up	Up	match
NKE	2016-08-01	  55.41	  55.19	Stable	Stable	match
NKE	2016-11-01	  49.62	  51.90	Stable	Stable	match
NKE	2017-02-01	  53.02	  52.47	Stable	Stable	match
NKE	2017-05-01	  54.99	  55.11	Stable	Stable	match
NKE	2017-08-01	  59.84	  58.01	Up	Up	match
NKE	2017-11-01	  55.07	  54.09	Stable	Stable	match
HD	2013-08-01	  78.64	  76.45	Stable	Down	miss
HD	2013-11-01	  76.99	  75.56	Down	Down	match
HD	2014-02-03	  75.09	  78.26	Down	Down	match
HD	2014-05-01	  79.33	  79.55	Down	Down	match
HD	2014-08-01	  79.75	  80.66	Down	Stable	miss
HD	2014-11-03	  96.09	  91.62	Stable	Stable	match
