Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 305.03	Down	Down	match
AMZN	2013-11-01	 359.00	 361.87	Down	Down	match
AMZN	2014-02-03	 346.15	 385.32	Down	Down	match
AMZN	2014-05-01	 307.89	 308.41	Down	Down	match
AMZN	2014-08-01	 307.06	 319.98	Down	Down	match
AMZN	2014-11-03	 305.72	 296.84	Down	Down	match
AMZN	2015-02-02	 364.47	 317.33	Down	Down	match
AMZN	2015-05-01	 422.87	 432.82	Stable	Stable	match
AMZN	2015-08-03	 535.03	 531.87	Stable	Stable	match
AMZN	2015-11-02	 628.35	 617.83	Stable	Stable	match
AMZN	2016-02-01	 574.81	 600.70	Stable	Stable	match
AMZN	2016-05-02	 683.85	 622.25	Stable	Stable	match
AMZN	2016-08-01	 767.74	 744.66	Up	Up	match
AMZN	2016-11-01	 785.41	 808.45	Up	Up	match
AMZN	2017-02-01	 832.35	 833.06	Up	Up	match
AMZN	2017-05-01	 948.23	 913.54	Up	Up	match
AMZN	2017-08-01	 992.27	1029.30	Up	Up	match
AMZN	2017-11-01	1103.68	1052.48	Up	Up	match
CMG	2013-08-01	 413.81	 406.84	Down	Down	match
CMG	2013-11-01	 527.60	 526.92	Stable	Stable	match
CMG	2014-02-03	 543.20	 502.32	Stable	Stable	match
CMG	2014-05-01	 500.15	 495.25	Stable	Stable	match
CMG	2014-08-01	 675.14	 676.06	Up	Up	match
CMG	2014-11-03	 638.53	 638.70	Up	Up	match
CMG	2015-02-02	 712.55	 716.22	Up	Up	match
CMG	2015-05-01	 634.00	 634.45	Up	Up	match
CMG	2015-08-03	 743.04	 737.41	Up	Up	match
CMG	2015-11-02	 624.00	 651.91	Up	Up	match
CMG	2016-02-01	 472.64	 447.80	Stable	Stable	match
CMG	2016-05-02	 433.50	 430.12	Stable	Stable	match
CMG	2016-08-01	 414.08	 430.59	Down	Stable	miss
CMG	2016-11-01	 359.92	 374.62	Down	Down	match
CMG	2017-02-01	 420.23	 418.85	Down	Down	match
CMG	2017-05-01	 477.58	 476.00	Stable	Stable	match
CMG	2017-08-01	 347.24	 346.67	Down	Down	match
CMG	2017-11-01	 270.20	 275.08	Down	Down	match
NKE	2013-08-01	  32.98	  31.35	Down	Down	match
NKE	2013-11-01	  38.03	  37.90	Down	Down	match
NKE	2014-02-03	  35.44	  36.32	Down	Down	match
NKE	2014-05-01	  36.46	  36.32	Down	Down	match
NKE	2014-08-01	  39.41	  39.10	Down	Down	match
NKE	2014-11-03	  46.73	  46.20	Down	Down	match
NKE	2015-02-02	  45.96	  47.13	Down	Down	match
NKE	2015-05-01	  50.39	  50.08	Stable	Stable	match
NKE	2015-08-03	  57.41	  57.04	Up	Up	match
NKE	2015-11-02	  65.59	  65.56	Up	Up	match
NKE	2016-02-01	  63.16	  60.92	Up	Up	match
NKE	2016-05-02	  59.59	  59.10	Up	Up	match
NKE	2016-08-01	  55.41	  56.05	Stable	Up	miss
NKE	2016-11-01	  49.62	  51.42	Stable	Stable	match
NKE	2017-02-01	  53.02	  53.34	Stable	Stable	match
NKE	2017-05-01	  54.99	  55.39	Stable	Stable	match
NKE	2017-08-01	  59.84	  58.72	Up	Up	match
NKE	2017-11-01	  55.07	  55.59	Stable	Up	miss
HD	2013-08-01	  78.64	  78.81	Down	Down	match
