Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 228.78	Down	Down	match
AMZN	2013-11-01	 359.00	 309.37	Down	Down	match
AMZN	2014-02-03	 346.15	 372.80	Down	Down	match
AMZN	2014-05-01	 307.89	 312.89	Down	Down	match
AMZN	2014-08-01	 307.06	 331.19	Down	Down	match
AMZN	2014-11-03	 305.72	 307.57	Down	Down	match
AMZN	2015-02-02	 364.47	 323.49	Down	Down	match
AMZN	2015-05-01	 422.87	 400.15	Stable	Stable	match
AMZN	2015-08-03	 535.03	 437.86	Stable	Stable	match
AMZN	2015-11-02	 628.35	 508.62	Stable	Stable	match
AMZN	2016-02-01	 574.81	 578.57	Stable	Stable	match
AMZN	2016-05-02	 683.85	 609.51	Stable	Stable	match
AMZN	2016-08-01	 767.74	 696.43	Up	Up	match
AMZN	2016-11-01	 785.41	 756.70	Up	Up	match
AMZN	2017-02-01	 832.35	 770.62	Up	Up	match
AMZN	2017-05-01	 948.23	 858.24	Up	Up	match
AMZN	2017-08-01	 992.27	 933.18	Up	Up	match
AMZN	2017-11-01	1103.68	 991.45	Up	Up	match
CMG	2013-08-01	 413.81	 393.73	Down	Down	match
CMG	2013-11-01	 527.60	 421.59	Stable	Down	miss
CMG	2014-02-03	 543.20	 527.39	Stable	Stable	match
CMG	2014-05-01	 500.15	 498.33	Stable	Stable	match
CMG	2014-08-01	 675.14	 650.18	Up	Up	match
CMG	2014-11-03	 638.53	 632.70	Up	Up	match
CMG	2015-02-02	 712.55	 676.67	Up	Up	match
CMG	2015-05-01	 634.00	 617.11	Up	Up	match
CMG	2015-08-03	 743.04	 709.12	Up	Up	match
CMG	2015-11-02	 624.00	 656.46	Up	Up	match
CMG	2016-02-01	 472.64	 459.47	Stable	Stable	match
CMG	2016-05-02	 433.50	 439.27	Stable	Stable	match
CMG	2016-08-01	 414.08	 419.69	Down	Down	match
CMG	2016-11-01	 359.92	 382.67	Down	Down	match
CMG	2017-02-01	 420.23	 414.58	Down	Down	match
CMG	2017-05-01	 477.58	 466.22	Stable	Stable	match
CMG	2017-08-01	 347.24	 371.69	Down	Down	match
CMG	2017-11-01	 270.20	 293.21	Down	Down	match
NKE	2013-08-01	  32.98	  30.59	Down	Down	match
NKE	2013-11-01	  38.03	  34.49	Down	Down	match
NKE	2014-02-03	  35.44	  35.99	Down	Down	match
NKE	2014-05-01	  36.46	  36.73	Down	Down	match
NKE	2014-08-01	  39.41	  38.04	Down	Down	match
NKE	2014-11-03	  46.73	  28.91	Stable	Down	miss
NKE	2015-02-02	  45.96	  44.75	Stable	Down	miss
NKE	2015-05-01	  50.39	  47.61	Stable	Stable	match
NKE	2015-08-03	  57.41	  52.20	Up	Stable	miss
NKE	2015-11-02	  65.59	  53.20	Up	Stable	miss
NKE	2016-02-01	  63.16	  60.32	Up	Up	match
NKE	2016-05-02	  59.59	  59.12	Up	Up	match
NKE	2016-08-01	  55.41	  55.31	Up	Up	match
NKE	2016-11-01	  49.62	  52.25	Stable	Stable	match
NKE	2017-02-01	  53.02	  51.91	Stable	Stable	match
NKE	2017-05-01	  54.99	  54.54	Stable	Stable	match
NKE	2017-08-01	  59.84	  57.34	Up	Up	match
NKE	2017-11-01	  55.07	  53.63	Up	Stable	miss
HD	2013-08-01	  78.64	  78.10	Down	Down	match
HD	2013-11-01	  76.99	  76.65	Down	Down	match
HD	2014-02-03	  75.09	  78.00	Down	Down	match
HD	2014-05-01	  79.33	  79.45	Down	Down	match
HD	2014-08-01	  79.75	  80.92	Down	Down	match
HD	2014-11-03	  96.09	  94.27	Down	Down	match
HD	2015-02-02	 104.43	 102.78	Stable	Stable	match
HD	2015-05-01	 109.55	 109.81	Stable	Stable	match
HD	2015-08-03	 116.89	 115.02	Stable	Stable	match
HD	2015-11-02	 124.41	 122.67	Up	Up	match
HD	2016-02-01	 126.51	 123.76	Up	Up	match
HD	2016-05-02	 136.05	 133.51	Up	Up	match
HD	2016-08-01	 138.77	 135.69	Up	Up	match
HD	2016-11-01	 119.89	 124.23	Stable	Up	miss
HD	2017-02-01	 137.44	 136.62	Up	Up	match
HD	2017-05-01	 154.21	 147.47	Up	Up	match
HD	2017-08-01	 150.50	 148.20	Up	Up	match
HD	2017-11-01	 165.38	 164.51	Up	Up	match
MMM	2013-08-01	 118.41	 101.54	Down	Down	match
MMM	2013-11-01	 125.90	 122.22	Down	Down	match
MMM	2014-02-03	 123.90	 125.37	Down	Down	match
MMM	2014-05-01	 140.81	 133.09	Down	Down	match
MMM	2014-08-01	 140.75	 139.65	Down	Down	match
MMM	2014-11-03	 153.30	 147.31	Stable	Down	miss
MMM	2015-02-02	 164.42	 157.52	Stable	Stable	match
MMM	2015-05-01	 157.68	 158.10	Stable	Stable	match
MMM	2015-08-03	 150.12	 153.03	Down	Stable	miss
MMM	2015-11-02	 159.92	 153.68	Stable	Stable	match
MMM	2016-02-01	 148.73	 150.73	Down	Down	match
MMM	2016-05-02	 168.34	 162.29	Stable	Stable	match
MMM	2016-08-01	 178.29	 175.79	Up	Up	match
MMM	2016-11-01	 164.25	 171.13	Stable	Stable	match
MMM	2017-02-01	 175.17	 174.90	Up	Up	match
MMM	2017-05-01	 194.81	 190.85	Up	Up	match
MMM	2017-08-01	 207.65	 200.37	Up	Up	match
MMM	2017-11-01	 230.18	 217.09	Up	Up	match
GE	2013-08-01	  24.62	  23.97	Down	Down	match
GE	2013-11-01	  26.54	  25.25	Stable	Down	miss
GE	2014-02-03	  24.35	  25.05	Down	Down	match
GE	2014-05-01	  26.77	  26.39	Stable	Stable	match
GE	2014-08-01	  25.35	  25.59	Down	Down	match
GE	2014-11-03	  25.70	  25.72	Stable	Stable	match
GE	2015-02-02	  24.21	  24.34	Down	Down	match
GE	2015-05-01	  27.31	  26.70	Stable	Stable	match
GE	2015-08-03	  25.87	  26.27	Stable	Stable	match
GE	2015-11-02	  29.40	  28.35	Up	Stable	miss
GE	2016-02-01	  28.64	  28.38	Up	Stable	miss
GE	2016-05-02	  30.89	  29.92	Up	Up	match
GE	2016-08-01	  31.15	  30.87	Up	Up	match
GE	2016-11-01	  28.88	  29.17	Up	Up	match
GE	2017-02-01	  29.69	  29.91	Up	Up	match
GE	2017-05-01	  28.94	  29.36	Up	Up	match
GE	2017-08-01	  25.44	  25.94	Down	Stable	miss
GE	2017-11-01	  20.02	  23.44	Down	Down	match
IBM	2013-08-01	 195.81	 200.51	Up	Up	match
IBM	2013-11-01	 179.23	 157.88	Up	Stable	miss
IBM	2014-02-03	 172.90	 182.38	Up	Up	match
IBM	2014-05-01	 193.53	 192.43	Up	Up	match
IBM	2014-08-01	 189.15	 191.47	Up	Up	match
IBM	2014-11-03	 164.36	 172.05	Stable	Stable	match
IBM	2015-02-02	 154.66	 157.75	Stable	Stable	match
IBM	2015-05-01	 173.67	 147.03	Up	Down	miss
IBM	2015-08-03	 158.71	 162.45	Stable	Stable	match
IBM	2015-11-02	 140.37	 145.33	Down	Down	match
IBM	2016-02-01	 124.83	 130.31	Down	Down	match
IBM	2016-05-02	 145.27	 147.26	Down	Down	match
IBM	2016-08-01	 161.45	 157.66	Stable	Stable	match
IBM	2016-11-01	 152.79	 153.06	Down	Down	match
IBM	2017-02-01	 174.29	 174.68	Up	Up	match
IBM	2017-05-01	 158.84	 163.06	Stable	Stable	match
IBM	2017-08-01	 145.16	 146.89	Down	Down	match
IBM	2017-11-01	 154.03	 153.81	Stable	Stable	match
INTC	2013-08-01	  23.20	  23.19	Down	Down	match
INTC	2013-11-01	  24.32	  24.19	Down	Down	match
INTC	2014-02-03	  23.95	  24.64	Down	Down	match
INTC	2014-05-01	  26.45	  26.35	Down	Down	match
INTC	2014-08-01	  33.74	  25.84	Stable	Down	miss
INTC	2014-11-03	  34.31	  33.37	Up	Stable	miss
INTC	2015-02-02	  33.65	  33.77	Stable	Stable	match
INTC	2015-05-01	  33.42	  32.75	Stable	Stable	match
INTC	2015-08-03	  29.05	  29.87	Stable	Stable	match
INTC	2015-11-02	  34.11	  31.81	Stable	Stable	match
INTC	2016-02-01	  30.82	  30.75	Stable	Stable	match
INTC	2016-05-02	  30.61	  30.72	Stable	Stable	match
INTC	2016-08-01	  34.85	  34.08	Up	Stable	miss
INTC	2016-11-01	  34.52	  35.19	Up	Up	match
INTC	2017-02-01	  36.52	  36.51	Up	Up	match
INTC	2017-05-01	  36.31	  36.13	Up	Up	match
INTC	2017-08-01	  36.43	  35.21	Up	Up	match
INTC	2017-11-01	  46.71	  39.27	Up	Up	match
PKG	2013-08-01	  55.08	  52.12	Down	Down	match
PKG	2013-11-01	  62.61	  58.46	Down	Down	match
PKG	2014-02-03	  62.36	  62.80	Down	Down	match
PKG	2014-05-01	  66.26	  67.94	Stable	Stable	match
PKG	2014-08-01	  66.49	  67.75	Stable	Stable	match
PKG	2014-11-03	  71.77	  68.37	Stable	Stable	match
PKG	2015-02-02	  75.34	  77.30	Up	Up	match
PKG	2015-05-01	  69.87	  72.26	Stable	Stable	match
PKG	2015-08-03	  70.04	  68.57	Stable	Stable	match
PKG	2015-11-02	  69.15	  66.63	Stable	Stable	match
PKG	2016-02-01	  51.01	  58.56	Down	Down	match
PKG	2016-05-02	  66.12	  60.87	Down	Down	match
PKG	2016-08-01	  74.43	  71.72	Stable	Stable	match
PKG	2016-11-01	  80.33	  79.63	Up	Up	match
PKG	2017-02-01	  93.10	  88.70	Up	Up	match
PKG	2017-05-01	  98.63	  95.15	Up	Up	match
PKG	2017-08-01	 110.05	 105.72	Up	Up	match
PKG	2017-11-01	 116.57	 115.94	Up	Up	match
MON	2013-08-01	  97.37	 102.46	Down	Stable	miss
MON	2013-11-01	 105.15	 103.85	Stable	Stable	match
MON	2014-02-03	 104.63	 108.75	Stable	Stable	match
MON	2014-05-01	 110.24	 111.43	Stable	Stable	match
MON	2014-08-01	 114.91	 115.67	Up	Up	match
MON	2014-11-03	 113.93	 114.10	Up	Up	match
MON	2015-02-02	 118.88	 118.15	Up	Up	match
MON	2015-05-01	 118.44	 115.71	Up	Up	match
MON	2015-08-03	 102.28	 106.10	Stable	Stable	match
MON	2015-11-02	  93.15	  96.26	Down	Down	match
MON	2016-02-01	  90.13	  93.44	Down	Down	match
MON	2016-05-02	  95.65	  92.52	Down	Down	match
MON	2016-08-01	 105.80	 106.11	Stable	Stable	match
MON	2016-11-01	 100.69	 102.91	Down	Stable	miss
MON	2017-02-01	 108.46	 107.39	Stable	Stable	match
MON	2017-05-01	 116.87	 114.48	Up	Up	match
MON	2017-08-01	 117.84	 117.41	Up	Up	match
MON	2017-11-01	 121.14	 121.21	Up	Up	match
