Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 264.95	Down	Down	match
AMZN	2013-08-19	 285.57	 284.57	Down	Down	match
AMZN	2013-11-20	 362.57	 332.25	Stable	Down	miss
AMZN	2014-02-28	 362.10	 361.49	Stable	Down	miss
AMZN	2014-06-04	 306.78	 305.18	Down	Down	match
AMZN	2014-09-08	 342.34	 336.84	Down	Down	match
AMZN	2014-12-10	 305.84	 316.78	Down	Down	match
AMZN	2015-03-19	 373.24	 367.31	Stable	Stable	match
AMZN	2015-06-23	 445.99	 419.96	Stable	Stable	match
AMZN	2015-09-25	 524.25	 506.73	Stable	Stable	match
AMZN	2015-12-30	 689.07	 597.89	Stable	Stable	match
AMZN	2016-04-07	 591.43	 576.75	Stable	Stable	match
AMZN	2016-07-12	 748.21	 702.60	Up	Stable	miss
AMZN	2016-10-13	 829.28	 768.50	Up	Up	match
AMZN	2017-01-19	 809.04	 762.70	Up	Up	match
AMZN	2017-04-26	 909.29	 853.36	Up	Up	match
AMZN	2017-07-31	 987.78	 961.09	Up	Up	match
AMZN	2017-11-01	1103.68	1003.38	Up	Up	match
CMG	2013-05-15	 374.97	 351.97	Down	Down	match
CMG	2013-08-19	 403.60	 328.35	Stable	Down	miss
CMG	2013-11-20	 531.66	 396.68	Stable	Stable	match
CMG	2014-02-28	 565.21	 539.15	Stable	Stable	match
CMG	2014-06-04	 558.84	 543.83	Stable	Stable	match
CMG	2014-09-08	 678.37	 650.16	Up	Up	match
CMG	2014-12-10	 650.04	 651.78	Up	Up	match
CMG	2015-03-19	 680.67	 673.72	Up	Up	match
CMG	2015-06-23	 615.40	 614.66	Up	Up	match
CMG	2015-09-25	 730.28	 722.62	Up	Up	match
CMG	2015-12-30	 485.79	 538.51	Stable	Stable	match
CMG	2016-04-07	 450.60	 477.31	Stable	Stable	match
CMG	2016-07-12	 408.34	 414.43	Stable	Stable	match
CMG	2016-10-13	 409.81	 417.52	Down	Stable	miss
CMG	2017-01-19	 405.20	 403.00	Down	Down	match
CMG	2017-04-26	 482.99	 456.73	Stable	Stable	match
CMG	2017-07-31	 343.77	 387.47	Down	Down	match
CMG	2017-11-01	 270.20	 308.21	Down	Down	match
NKE	2013-05-15	  32.91	  31.05	Down	Down	match
NKE	2013-08-19	  32.35	  31.64	Down	Down	match
NKE	2013-11-20	  38.92	  36.62	Down	Down	match
NKE	2014-02-28	  39.15	  36.92	Down	Down	match
NKE	2014-06-04	  38.06	  37.38	Down	Down	match
NKE	2014-09-08	  41.20	  39.73	Down	Down	match
NKE	2014-12-10	  48.83	  38.73	Stable	Down	miss
NKE	2015-03-19	  49.16	  47.55	Stable	Stable	match
NKE	2015-06-23	  53.60	  51.30	Stable	Stable	match
NKE	2015-09-25	  62.50	  55.35	Up	Up	match
NKE	2015-12-30	  63.25	  61.91	Up	Up	match
NKE	2016-04-07	  60.30	  59.93	Up	Up	match
NKE	2016-07-12	  58.06	  56.21	Up	Up	match
NKE	2016-10-13	  52.03	  53.14	Stable	Stable	match
NKE	2017-01-19	  52.93	  52.02	Stable	Stable	match
NKE	2017-04-26	  55.16	  54.99	Up	Stable	miss
NKE	2017-07-31	  59.05	  57.71	Up	Up	match
NKE	2017-11-01	  55.07	  54.09	Stable	Stable	match
HD	2013-05-15	  77.88	  74.95	Down	Down	match
HD	2013-08-19	  75.21	  76.38	Down	Down	match
HD	2013-11-20	  79.75	  76.84	Down	Down	match
HD	2014-02-28	  82.03	  79.38	Down	Down	match
HD	2014-06-04	  80.54	  79.97	Down	Down	match
HD	2014-09-08	  90.82	  85.76	Down	Down	match
HD	2014-12-10	  98.94	  94.01	Stable	Stable	match
HD	2015-03-19	 115.16	 106.51	Stable	Stable	match
HD	2015-06-23	 113.18	 110.32	Stable	Stable	match
HD	2015-09-25	 116.74	 113.90	Stable	Stable	match
HD	2015-12-30	 133.35	 126.79	Up	Stable	miss
HD	2016-04-07	 133.87	 128.37	Up	Stable	miss
HD	2016-07-12	 134.84	 131.37	Up	Stable	miss
HD	2016-10-13	 126.29	 126.73	Stable	Stable	match
HD	2017-01-19	 135.39	 133.89	Stable	Stable	match
HD	2017-04-26	 154.22	 146.21	Up	Up	match
HD	2017-07-31	 149.60	 148.06	Up	Up	match
HD	2017-11-01	 165.38	 160.36	Up	Up	match
MMM	2013-05-15	 111.50	 107.96	Down	Down	match
MMM	2013-08-19	 115.61	 113.87	Down	Down	match
MMM	2013-11-20	 129.18	 124.76	Down	Down	match
MMM	2014-02-28	 134.73	 132.48	Down	Down	match
MMM	2014-06-04	 142.26	 139.87	Down	Down	match
MMM	2014-09-08	 144.89	 143.18	Stable	Stable	match
MMM	2014-12-10	 158.24	 153.61	Stable	Stable	match
MMM	2015-03-19	 165.66	 162.93	Stable	Stable	match
MMM	2015-06-23	 159.84	 159.40	Stable	Stable	match
MMM	2015-09-25	 139.56	 141.34	Down	Down	match
MMM	2015-12-30	 151.91	 152.17	Stable	Stable	match
MMM	2016-04-07	 167.16	 160.96	Stable	Stable	match
MMM	2016-07-12	 179.16	 171.80	Up	Up	match
MMM	2016-10-13	 170.02	 172.51	Up	Up	match
MMM	2017-01-19	 178.68	 176.19	Up	Up	match
MMM	2017-04-26	 195.00	 188.12	Up	Up	match
MMM	2017-07-31	 201.17	 197.69	Up	Up	match
MMM	2017-11-01	 230.18	 209.44	Up	Up	match
GE	2013-05-15	  23.24	  22.90	Down	Down	match
GE	2013-08-19	  23.85	  23.89	Down	Down	match
GE	2013-11-20	  26.96	  26.01	Stable	Stable	match
GE	2014-02-28	  25.47	  25.51	Stable	Stable	match
GE	2014-06-04	  26.55	  26.41	Stable	Stable	match
GE	2014-09-08	  26.08	  26.05	Stable	Stable	match
GE	2014-12-10	  25.27	  25.96	Stable	Stable	match
GE	2015-03-19	  25.33	  25.21	Stable	Down	miss
GE	2015-06-23	  27.55	  27.29	Stable	Stable	match
GE	2015-09-25	  24.92	  25.27	Down	Down	match
GE	2015-12-30	  31.05	  29.28	Up	Up	match
GE	2016-04-07	  30.63	  30.03	Up	Up	match
GE	2016-07-12	  32.26	  31.05	Up	Up	match
GE	2016-10-13	  28.77	  29.52	Stable	Up	miss
GE	2017-01-19	  31.21	  31.16	Up	Up	match
GE	2017-04-26	  29.26	  29.66	Up	Up	match
GE	2017-07-31	  25.61	  26.25	Down	Down	match
GE	2017-11-01	  20.02	  23.78	Down	Down	match
IBM	2013-05-15	 203.32	 206.89	Up	Up	match
IBM	2013-08-19	 184.23	 192.09	Up	Up	match
IBM	2013-11-20	 185.19	 188.57	Up	Up	match
IBM	2014-02-28	 185.17	 183.37	Up	Up	match
IBM	2014-06-04	 184.51	 186.18	Stable	Up	miss
IBM	2014-09-08	 190.14	 191.06	Up	Up	match
IBM	2014-12-10	 160.51	 166.02	Stable	Stable	match
IBM	2015-03-19	 159.81	 160.32	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.81	Stable	Stable	match
IBM	2015-09-25	 145.42	 152.08	Down	Stable	miss
IBM	2015-12-30	 139.34	 141.83	Down	Down	match
IBM	2016-04-07	 148.25	 144.14	Down	Down	match
IBM	2016-07-12	 157.04	 154.76	Stable	Stable	match
IBM	2016-10-13	 153.72	 157.56	Stable	Stable	match
IBM	2017-01-19	 166.81	 167.02	Stable	Stable	match
IBM	2017-04-26	 160.06	 166.90	Stable	Stable	match
IBM	2017-07-31	 144.67	 148.31	Down	Down	match
IBM	2017-11-01	 154.03	 152.78	Down	Down	match
INTC	2013-05-15	  24.20	  22.91	Down	Down	match
INTC	2013-08-19	  22.28	  22.19	Down	Down	match
INTC	2013-11-20	  24.56	  24.28	Down	Down	match
INTC	2014-02-28	  24.76	  24.76	Down	Down	match
INTC	2014-06-04	  27.60	  26.29	Down	Down	match
INTC	2014-09-08	  35.33	  31.58	Up	Stable	miss
INTC	2014-12-10	  36.42	  35.47	Up	Up	match
INTC	2015-03-19	  30.74	  30.85	Stable	Stable	match
INTC	2015-06-23	  32.09	  31.80	Stable	Stable	match
INTC	2015-09-25	  28.81	  28.10	Down	Down	match
INTC	2015-12-30	  34.99	  34.39	Stable	Stable	match
INTC	2016-04-07	  31.55	  31.38	Stable	Stable	match
INTC	2016-07-12	  34.94	  33.27	Stable	Stable	match
INTC	2016-10-13	  36.97	  36.20	Up	Up	match
INTC	2017-01-19	  36.57	  36.07	Up	Up	match
INTC	2017-04-26	  36.93	  36.06	Up	Stable	miss
INTC	2017-07-31	  35.47	  34.79	Stable	Stable	match
INTC	2017-11-01	  46.71	  38.98	Up	Up	match
PKG	2013-05-15	  50.08	  46.32	Down	Down	match
PKG	2013-08-19	  53.11	  50.75	Down	Down	match
