Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 263.23	Down	Down	match
AMZN	2013-08-19	 285.57	 283.90	Down	Down	match
AMZN	2013-11-20	 362.57	 372.08	Stable	Stable	match
AMZN	2014-02-28	 362.10	 361.38	Stable	Stable	match
AMZN	2014-06-04	 306.78	 307.30	Down	Down	match
AMZN	2014-09-08	 342.34	 349.64	Down	Down	match
AMZN	2014-12-10	 305.84	 312.99	Down	Down	match
AMZN	2015-03-19	 373.24	 375.14	Stable	Stable	match
AMZN	2015-06-23	 445.99	 436.09	Stable	Stable	match
AMZN	2015-09-25	 524.25	 529.06	Stable	Stable	match
AMZN	2015-12-30	 689.07	 689.12	Stable	Stable	match
AMZN	2016-04-07	 591.43	 594.89	Stable	Stable	match
AMZN	2016-07-12	 748.21	 759.34	Up	Up	match
AMZN	2016-10-13	 829.28	 833.52	Up	Up	match
AMZN	2017-01-19	 809.04	 802.87	Up	Up	match
AMZN	2017-04-26	 909.29	 910.87	Up	Up	match
AMZN	2017-07-31	 987.78	1020.68	Up	Up	match
AMZN	2017-11-01	1103.68	1106.20	Up	Up	match
CMG	2013-05-15	 374.97	 378.29	Down	Down	match
CMG	2013-08-19	 403.60	 399.69	Stable	Down	miss
CMG	2013-11-20	 531.66	 537.32	Stable	Stable	match
CMG	2014-02-28	 565.21	 559.51	Stable	Stable	match
CMG	2014-06-04	 558.84	 542.73	Stable	Stable	match
CMG	2014-09-08	 678.37	 682.65	Up	Up	match
CMG	2014-12-10	 650.04	 654.77	Up	Up	match
CMG	2015-03-19	 680.67	 673.07	Up	Up	match
CMG	2015-06-23	 615.40	 616.93	Up	Up	match
CMG	2015-09-25	 730.28	 725.64	Up	Up	match
CMG	2015-12-30	 485.79	 489.25	Stable	Stable	match
CMG	2016-04-07	 450.60	 453.38	Stable	Stable	match
CMG	2016-07-12	 408.34	 405.55	Down	Down	match
CMG	2016-10-13	 409.81	 417.96	Down	Stable	miss
CMG	2017-01-19	 405.20	 409.66	Down	Down	match
CMG	2017-04-26	 482.99	 474.16	Stable	Stable	match
CMG	2017-07-31	 343.77	 351.48	Down	Down	match
CMG	2017-11-01	 270.20	 272.29	Down	Down	match
NKE	2013-05-15	  32.91	  33.34	Down	Down	match
NKE	2013-08-19	  32.35	  30.60	Down	Down	match
NKE	2013-11-20	  38.92	  38.15	Down	Down	match
NKE	2014-02-28	  39.15	  38.67	Down	Down	match
NKE	2014-06-04	  38.06	  37.23	Down	Down	match
NKE	2014-09-08	  41.20	  40.30	Down	Down	match
NKE	2014-12-10	  48.83	  47.68	Stable	Stable	match
NKE	2015-03-19	  49.16	  48.16	Stable	Stable	match
NKE	2015-06-23	  53.60	  53.28	Stable	Stable	match
NKE	2015-09-25	  62.50	  56.62	Up	Up	match
NKE	2015-12-30	  63.25	  62.85	Up	Up	match
NKE	2016-04-07	  60.30	  60.30	Up	Up	match
NKE	2016-07-12	  58.06	  56.87	Up	Up	match
NKE	2016-10-13	  52.03	  52.02	Stable	Stable	match
NKE	2017-01-19	  52.93	  53.13	Stable	Stable	match
NKE	2017-04-26	  55.16	  55.45	Stable	Stable	match
NKE	2017-07-31	  59.05	  58.94	Up	Up	match
NKE	2017-11-01	  55.07	  55.33	Stable	Stable	match
HD	2013-05-15	  77.88	  76.25	Down	Down	match
HD	2013-08-19	  75.21	  73.40	Down	Down	match
HD	2013-11-20	  79.75	  78.15	Down	Down	match
HD	2014-02-28	  82.03	  81.22	Down	Down	match
HD	2014-06-04	  80.54	  80.31	Down	Down	match
HD	2014-09-08	  90.82	  90.98	Down	Down	match
HD	2014-12-10	  98.94	  98.51	Stable	Stable	match
HD	2015-03-19	 115.16	 115.53	Stable	Stable	match
HD	2015-06-23	 113.18	 113.20	Stable	Stable	match
HD	2015-09-25	 116.74	 114.68	Stable	Stable	match
HD	2015-12-30	 133.35	 132.65	Up	Up	match
HD	2016-04-07	 133.87	 135.74	Up	Up	match
HD	2016-07-12	 134.84	 135.84	Up	Up	match
HD	2016-10-13	 126.29	 126.88	Stable	Stable	match
HD	2017-01-19	 135.39	 136.76	Up	Up	match
HD	2017-04-26	 154.22	 155.09	Up	Up	match
HD	2017-07-31	 149.60	 149.53	Up	Up	match
HD	2017-11-01	 165.38	 166.21	Up	Up	match
MMM	2013-05-15	 111.50	 110.13	Down	Down	match
MMM	2013-08-19	 115.61	 114.71	Down	Down	match
MMM	2013-11-20	 129.18	 128.81	Down	Down	match
MMM	2014-02-28	 134.73	 134.29	Down	Down	match
MMM	2014-06-04	 142.26	 141.16	Down	Down	match
MMM	2014-09-08	 144.89	 144.14	Down	Down	match
MMM	2014-12-10	 158.24	 160.77	Stable	Stable	match
MMM	2015-03-19	 165.66	 164.58	Stable	Stable	match
MMM	2015-06-23	 159.84	 159.43	Stable	Stable	match
MMM	2015-09-25	 139.56	 136.90	Down	Down	match
MMM	2015-12-30	 151.91	 151.90	Stable	Stable	match
MMM	2016-04-07	 167.16	 165.63	Stable	Stable	match
MMM	2016-07-12	 179.16	 178.26	Up	Up	match
MMM	2016-10-13	 170.02	 170.47	Stable	Stable	match
MMM	2017-01-19	 178.68	 179.37	Up	Up	match
MMM	2017-04-26	 195.00	 194.93	Up	Up	match
MMM	2017-07-31	 201.17	 199.89	Up	Up	match
MMM	2017-11-01	 230.18	 232.42	Up	Up	match
GE	2013-05-15	  23.24	  22.94	Down	Down	match
GE	2013-08-19	  23.85	  24.07	Down	Down	match
GE	2013-11-20	  26.96	  27.46	Stable	Up	miss
GE	2014-02-28	  25.47	  25.75	Stable	Stable	match
GE	2014-06-04	  26.55	  26.86	Stable	Stable	match
GE	2014-09-08	  26.08	  26.35	Stable	Stable	match
GE	2014-12-10	  25.27	  25.62	Stable	Stable	match
GE	2015-03-19	  25.33	  25.41	Down	Stable	miss
GE	2015-06-23	  27.55	  27.28	Stable	Stable	match
GE	2015-09-25	  24.92	  24.83	Down	Down	match
GE	2015-12-30	  31.05	  31.08	Up	Up	match
GE	2016-04-07	  30.63	  31.00	Up	Up	match
GE	2016-07-12	  32.26	  32.37	Up	Up	match
GE	2016-10-13	  28.77	  29.02	Up	Up	match
GE	2017-01-19	  31.21	  31.43	Up	Up	match
GE	2017-04-26	  29.26	  29.50	Up	Up	match
GE	2017-07-31	  25.61	  25.68	Down	Down	match
GE	2017-11-01	  20.02	  20.22	Down	Down	match
IBM	2013-05-15	 203.32	 201.68	Up	Up	match
IBM	2013-08-19	 184.23	 185.45	Up	Up	match
IBM	2013-11-20	 185.19	 186.74	Up	Up	match
IBM	2014-02-28	 185.17	 184.72	Up	Up	match
IBM	2014-06-04	 184.51	 183.62	Up	Up	match
IBM	2014-09-08	 190.14	 191.30	Up	Up	match
IBM	2014-12-10	 160.51	 162.67	Stable	Stable	match
IBM	2015-03-19	 159.81	 157.66	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.59	Stable	Stable	match
IBM	2015-09-25	 145.42	 144.09	Down	Down	match
IBM	2015-12-30	 139.34	 138.91	Down	Down	match
IBM	2016-04-07	 148.25	 151.24	Down	Down	match
IBM	2016-07-12	 157.04	 156.72	Stable	Stable	match
IBM	2016-10-13	 153.72	 155.98	Down	Down	match
IBM	2017-01-19	 166.81	 168.72	Stable	Stable	match
IBM	2017-04-26	 160.06	 160.42	Stable	Stable	match
IBM	2017-07-31	 144.67	 146.12	Down	Down	match
IBM	2017-11-01	 154.03	 155.43	Down	Down	match
INTC	2013-05-15	  24.20	  23.84	Down	Down	match
INTC	2013-08-19	  22.28	  21.36	Down	Down	match
INTC	2013-11-20	  24.56	  24.36	Down	Down	match
INTC	2014-02-28	  24.76	  24.20	Down	Down	match
INTC	2014-06-04	  27.60	  27.21	Down	Down	match
INTC	2014-09-08	  35.33	  34.64	Up	Stable	miss
INTC	2014-12-10	  36.42	  36.59	Up	Up	match
INTC	2015-03-19	  30.74	  30.53	Stable	Stable	match
INTC	2015-06-23	  32.09	  32.09	Stable	Stable	match
INTC	2015-09-25	  28.81	  28.28	Down	Down	match
INTC	2015-12-30	  34.99	  35.50	Stable	Up	miss
INTC	2016-04-07	  31.55	  32.28	Stable	Stable	match
INTC	2016-07-12	  34.94	  34.73	Stable	Stable	match
INTC	2016-10-13	  36.97	  37.31	Up	Up	match
INTC	2017-01-19	  36.57	  37.03	Up	Up	match
INTC	2017-04-26	  36.93	  36.94	Up	Up	match
INTC	2017-07-31	  35.47	  35.25	Stable	Stable	match
INTC	2017-11-01	  46.71	  45.18	Up	Up	match
PKG	2013-05-15	  50.08	  49.85	Down	Down	match
PKG	2013-08-19	  53.11	  49.78	Down	Down	match
PKG	2013-11-20	  61.06	  59.97	Down	Down	match
PKG	2014-02-28	  72.89	  70.57	Stable	Stable	match
PKG	2014-06-04	  69.77	  68.72	Stable	Stable	match
PKG	2014-09-08	  70.10	  70.28	Stable	Stable	match
PKG	2014-12-10	  76.21	  76.16	Stable	Stable	match
PKG	2015-03-19	  79.04	  78.89	Up	Up	match
PKG	2015-06-23	  66.80	  67.22	Stable	Stable	match
PKG	2015-09-25	  61.30	  60.74	Down	Down	match
PKG	2015-12-30	  64.00	  63.52	Down	Down	match
PKG	2016-04-07	  58.99	  60.04	Down	Down	match
PKG	2016-07-12	  70.64	  70.97	Stable	Stable	match
PKG	2016-10-13	  81.35	  82.83	Up	Up	match
PKG	2017-01-19	  85.76	  87.70	Up	Up	match
PKG	2017-04-26	  94.54	  95.11	Up	Up	match
PKG	2017-07-31	 109.48	 112.63	Up	Up	match
PKG	2017-11-01	 116.57	 115.96	Up	Up	match
MON	2013-05-15	 109.22	 108.49	Stable	Stable	match
MON	2013-08-19	  95.28	  94.04	Down	Down	match
MON	2013-11-20	 109.90	 110.58	Stable	Stable	match
MON	2014-02-28	 110.02	 109.25	Stable	Stable	match
MON	2014-06-04	 121.30	 120.29	Up	Up	match
MON	2014-09-08	 114.67	 114.00	Up	Up	match
MON	2014-12-10	 119.35	 119.15	Up	Up	match
MON	2015-03-19	 115.38	 116.32	Up	Up	match
MON	2015-06-23	 112.78	 113.69	Stable	Stable	match
MON	2015-09-25	  84.51	  82.20	Down	Down	match
MON	2015-12-30	  98.89	  99.34	Down	Down	match
MON	2016-04-07	  86.10	  87.61	Down	Down	match
MON	2016-07-12	 102.33	 103.89	Down	Down	match
MON	2016-10-13	 102.54	 103.09	Down	Down	match
MON	2017-01-19	 108.12	 109.13	Down	Down	match
MON	2017-04-26	 116.74	 117.36	Up	Up	match
MON	2017-07-31	 116.82	 117.74	Stable	Up	miss
MON	2017-11-01	 121.14	 121.97	Up	Up	match
