Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 263.06	Down	Down	match
AMZN	2013-08-19	 285.57	 290.66	Down	Down	match
AMZN	2013-11-20	 362.57	 364.78	Stable	Stable	match
AMZN	2014-02-28	 362.10	 355.36	Stable	Stable	match
AMZN	2014-06-04	 306.78	 310.50	Down	Down	match
AMZN	2014-09-08	 342.34	 342.55	Down	Down	match
AMZN	2014-12-10	 305.84	 313.04	Down	Down	match
AMZN	2015-03-19	 373.24	 373.05	Stable	Stable	match
AMZN	2015-06-23	 445.99	 433.13	Stable	Stable	match
AMZN	2015-09-25	 524.25	 539.37	Stable	Stable	match
AMZN	2015-12-30	 689.07	 671.76	Stable	Stable	match
AMZN	2016-04-07	 591.43	 594.71	Stable	Stable	match
AMZN	2016-07-12	 748.21	 740.37	Up	Up	match
AMZN	2016-10-13	 829.28	 837.58	Up	Up	match
AMZN	2017-01-19	 809.04	 809.40	Up	Up	match
AMZN	2017-04-26	 909.29	 902.96	Up	Up	match
AMZN	2017-07-31	 987.78	1039.53	Up	Up	match
AMZN	2017-11-01	1103.68	1052.48	Up	Up	match
CMG	2013-05-15	 374.97	 369.39	Down	Down	match
CMG	2013-08-19	 403.60	 403.47	Stable	Stable	match
CMG	2013-11-20	 531.66	 540.83	Stable	Stable	match
CMG	2014-02-28	 565.21	 554.95	Stable	Stable	match
CMG	2014-06-04	 558.84	 546.58	Stable	Stable	match
CMG	2014-09-08	 678.37	 680.03	Up	Up	match
CMG	2014-12-10	 650.04	 657.99	Up	Up	match
CMG	2015-03-19	 680.67	 673.81	Up	Up	match
CMG	2015-06-23	 615.40	 609.64	Up	Up	match
CMG	2015-09-25	 730.28	 730.08	Up	Up	match
CMG	2015-12-30	 485.79	 494.13	Stable	Stable	match
CMG	2016-04-07	 450.60	 463.89	Stable	Stable	match
CMG	2016-07-12	 408.34	 398.22	Down	Down	match
CMG	2016-10-13	 409.81	 426.76	Down	Stable	miss
CMG	2017-01-19	 405.20	 409.93	Down	Down	match
CMG	2017-04-26	 482.99	 475.00	Stable	Stable	match
CMG	2017-07-31	 343.77	 345.91	Down	Down	match
CMG	2017-11-01	 270.20	 275.08	Down	Down	match
NKE	2013-05-15	  32.91	  32.30	Down	Down	match
NKE	2013-08-19	  32.35	  32.38	Down	Down	match
NKE	2013-11-20	  38.92	  39.21	Down	Down	match
NKE	2014-02-28	  39.15	  38.89	Down	Down	match
NKE	2014-06-04	  38.06	  38.18	Down	Down	match
NKE	2014-09-08	  41.20	  39.86	Down	Down	match
NKE	2014-12-10	  48.83	  49.16	Stable	Stable	match
NKE	2015-03-19	  49.16	  48.33	Stable	Stable	match
NKE	2015-06-23	  53.60	  52.86	Stable	Stable	match
NKE	2015-09-25	  62.50	  57.78	Up	Up	match
NKE	2015-12-30	  63.25	  64.31	Up	Up	match
NKE	2016-04-07	  60.30	  60.60	Up	Up	match
NKE	2016-07-12	  58.06	  56.09	Up	Up	match
NKE	2016-10-13	  52.03	  51.97	Stable	Stable	match
NKE	2017-01-19	  52.93	  52.99	Stable	Stable	match
NKE	2017-04-26	  55.16	  55.81	Stable	Stable	match
NKE	2017-07-31	  59.05	  58.70	Up	Up	match
NKE	2017-11-01	  55.07	  55.59	Stable	Stable	match
HD	2013-05-15	  77.88	  76.26	Down	Down	match
HD	2013-08-19	  75.21	  77.32	Down	Down	match
HD	2013-11-20	  79.75	  79.32	Down	Down	match
HD	2014-02-28	  82.03	  80.05	Down	Down	match
HD	2014-06-04	  80.54	  80.26	Down	Down	match
HD	2014-09-08	  90.82	  91.04	Down	Down	match
HD	2014-12-10	  98.94	  99.45	Stable	Stable	match
HD	2015-03-19	 115.16	 115.82	Stable	Stable	match
HD	2015-06-23	 113.18	 111.61	Stable	Stable	match
HD	2015-09-25	 116.74	 116.00	Stable	Stable	match
HD	2015-12-30	 133.35	 132.85	Up	Up	match
HD	2016-04-07	 133.87	 134.63	Up	Up	match
HD	2016-07-12	 134.84	 132.31	Up	Up	match
HD	2016-10-13	 126.29	 127.66	Stable	Stable	match
HD	2017-01-19	 135.39	 135.58	Up	Up	match
HD	2017-04-26	 154.22	 150.17	Up	Up	match
HD	2017-07-31	 149.60	 146.81	Up	Up	match
HD	2017-11-01	 165.38	 166.43	Up	Up	match
MMM	2013-05-15	 111.50	 109.94	Down	Down	match
MMM	2013-08-19	 115.61	 117.28	Down	Down	match
MMM	2013-11-20	 129.18	 129.68	Down	Down	match
MMM	2014-02-28	 134.73	 132.78	Down	Down	match
MMM	2014-06-04	 142.26	 142.32	Down	Down	match
MMM	2014-09-08	 144.89	 143.97	Down	Down	match
MMM	2014-12-10	 158.24	 161.71	Stable	Stable	match
MMM	2015-03-19	 165.66	 164.82	Stable	Stable	match
MMM	2015-06-23	 159.84	 158.34	Stable	Stable	match
MMM	2015-09-25	 139.56	 138.58	Down	Down	match
MMM	2015-12-30	 151.91	 151.09	Stable	Stable	match
MMM	2016-04-07	 167.16	 166.64	Stable	Stable	match
MMM	2016-07-12	 179.16	 176.16	Up	Up	match
MMM	2016-10-13	 170.02	 170.70	Stable	Stable	match
MMM	2017-01-19	 178.68	 177.69	Up	Up	match
MMM	2017-04-26	 195.00	 192.37	Up	Up	match
MMM	2017-07-31	 201.17	 201.64	Up	Up	match
MMM	2017-11-01	 230.18	 233.36	Up	Up	match
GE	2013-05-15	  23.24	  22.91	Down	Down	match
GE	2013-08-19	  23.85	  24.10	Down	Down	match
GE	2013-11-20	  26.96	  27.12	Stable	Stable	match
GE	2014-02-28	  25.47	  25.26	Stable	Stable	match
GE	2014-06-04	  26.55	  26.76	Stable	Stable	match
GE	2014-09-08	  26.08	  25.97	Stable	Stable	match
GE	2014-12-10	  25.27	  25.95	Stable	Stable	match
GE	2015-03-19	  25.33	  25.37	Down	Down	match
GE	2015-06-23	  27.55	  27.30	Stable	Stable	match
GE	2015-09-25	  24.92	  25.01	Down	Down	match
GE	2015-12-30	  31.05	  30.89	Up	Up	match
GE	2016-04-07	  30.63	  31.37	Up	Up	match
GE	2016-07-12	  32.26	  31.88	Up	Up	match
GE	2016-10-13	  28.77	  29.01	Up	Up	match
GE	2017-01-19	  31.21	  31.34	Up	Up	match
GE	2017-04-26	  29.26	  29.76	Up	Up	match
GE	2017-07-31	  25.61	  25.56	Down	Down	match
GE	2017-11-01	  20.02	  20.84	Down	Down	match
IBM	2013-05-15	 203.32	 203.64	Up	Up	match
IBM	2013-08-19	 184.23	 187.23	Up	Up	match
IBM	2013-11-20	 185.19	 183.73	Up	Up	match
IBM	2014-02-28	 185.17	 183.76	Up	Up	match
IBM	2014-06-04	 184.51	 184.25	Up	Up	match
