Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 267.18	Down	Down	match
AMZN	2013-08-19	 285.57	 284.42	Down	Down	match
AMZN	2013-11-20	 362.57	 321.94	Stable	Down	miss
AMZN	2014-02-28	 362.10	 359.78	Down	Down	match
AMZN	2014-06-04	 306.78	 307.27	Down	Down	match
AMZN	2014-09-08	 342.34	 346.14	Down	Down	match
AMZN	2014-12-10	 305.84	 313.19	Down	Down	match
AMZN	2015-03-19	 373.24	 375.38	Stable	Stable	match
AMZN	2015-06-23	 445.99	 435.55	Stable	Stable	match
AMZN	2015-09-25	 524.25	 533.28	Stable	Stable	match
AMZN	2015-12-30	 689.07	 695.69	Stable	Stable	match
AMZN	2016-04-07	 591.43	 601.42	Stable	Stable	match
AMZN	2016-07-12	 748.21	 752.93	Up	Up	match
AMZN	2016-10-13	 829.28	 833.38	Up	Up	match
AMZN	2017-01-19	 809.04	 806.67	Up	Up	match
AMZN	2017-04-26	 909.29	 907.09	Up	Up	match
AMZN	2017-07-31	 987.78	1019.54	Up	Up	match
AMZN	2017-11-01	1103.68	1104.23	Up	Up	match
CMG	2013-05-15	 374.97	 374.18	Down	Down	match
CMG	2013-08-19	 403.60	 401.65	Down	Down	match
CMG	2013-11-20	 531.66	 391.51	Stable	Down	miss
CMG	2014-02-28	 565.21	 560.78	Up	Stable	miss
CMG	2014-06-04	 558.84	 550.05	Stable	Stable	match
CMG	2014-09-08	 678.37	 677.33	Up	Up	match
CMG	2014-12-10	 650.04	 656.28	Up	Up	match
CMG	2015-03-19	 680.67	 672.60	Up	Up	match
CMG	2015-06-23	 615.40	 620.10	Up	Up	match
CMG	2015-09-25	 730.28	 729.43	Up	Up	match
CMG	2015-12-30	 485.79	 491.52	Stable	Stable	match
CMG	2016-04-07	 450.60	 456.12	Stable	Stable	match
CMG	2016-07-12	 408.34	 403.81	Down	Down	match
CMG	2016-10-13	 409.81	 418.95	Stable	Stable	match
CMG	2017-01-19	 405.20	 410.91	Down	Stable	miss
CMG	2017-04-26	 482.99	 469.60	Stable	Stable	match
CMG	2017-07-31	 343.77	 351.91	Down	Down	match
CMG	2017-11-01	 270.20	 272.52	Down	Down	match
NKE	2013-05-15	  32.91	  32.89	Down	Down	match
NKE	2013-08-19	  32.35	  31.79	Down	Down	match
NKE	2013-11-20	  38.92	  38.89	Down	Down	match
NKE	2014-02-28	  39.15	  38.99	Down	Down	match
NKE	2014-06-04	  38.06	  37.69	Down	Down	match
NKE	2014-09-08	  41.20	  40.97	Down	Down	match
NKE	2014-12-10	  48.83	  39.88	Stable	Down	miss
NKE	2015-03-19	  49.16	  48.66	Stable	Stable	match
NKE	2015-06-23	  53.60	  53.35	Stable	Stable	match
NKE	2015-09-25	  62.50	  57.35	Up	Up	match
NKE	2015-12-30	  63.25	  64.21	Up	Up	match
NKE	2016-04-07	  60.30	  60.26	Up	Up	match
NKE	2016-07-12	  58.06	  56.89	Up	Up	match
NKE	2016-10-13	  52.03	  52.58	Stable	Stable	match
NKE	2017-01-19	  52.93	  53.34	Stable	Stable	match
NKE	2017-04-26	  55.16	  55.45	Up	Up	match
NKE	2017-07-31	  59.05	  58.53	Up	Up	match
NKE	2017-11-01	  55.07	  54.95	Stable	Stable	match
HD	2013-05-15	  77.88	  77.17	Down	Down	match
HD	2013-08-19	  75.21	  75.33	Down	Down	match
HD	2013-11-20	  79.75	  80.27	Down	Down	match
HD	2014-02-28	  82.03	  81.87	Down	Down	match
HD	2014-06-04	  80.54	  80.49	Down	Down	match
HD	2014-09-08	  90.82	  91.74	Down	Stable	miss
HD	2014-12-10	  98.94	  99.44	Stable	Stable	match
HD	2015-03-19	 115.16	  91.24	Stable	Stable	match
HD	2015-06-23	 113.18	 113.02	Stable	Stable	match
HD	2015-09-25	 116.74	 116.25	Stable	Stable	match
HD	2015-12-30	 133.35	 133.58	Stable	Stable	match
HD	2016-04-07	 133.87	 135.33	Up	Up	match
HD	2016-07-12	 134.84	 134.99	Up	Up	match
HD	2016-10-13	 126.29	 126.72	Stable	Stable	match
HD	2017-01-19	 135.39	 135.95	Up	Up	match
HD	2017-04-26	 154.22	 152.89	Up	Up	match
HD	2017-07-31	 149.60	 148.02	Up	Up	match
HD	2017-11-01	 165.38	 165.72	Up	Up	match
MMM	2013-05-15	 111.50	 110.25	Down	Down	match
MMM	2013-08-19	 115.61	 115.80	Down	Down	match
MMM	2013-11-20	 129.18	 119.88	Down	Down	match
MMM	2014-02-28	 134.73	 134.42	Down	Down	match
MMM	2014-06-04	 142.26	 142.88	Down	Stable	miss
MMM	2014-09-08	 144.89	 144.19	Stable	Stable	match
MMM	2014-12-10	 158.24	 160.70	Stable	Stable	match
MMM	2015-03-19	 165.66	 166.37	Stable	Stable	match
MMM	2015-06-23	 159.84	 159.55	Stable	Stable	match
MMM	2015-09-25	 139.56	 137.75	Down	Down	match
MMM	2015-12-30	 151.91	 152.75	Stable	Stable	match
MMM	2016-04-07	 167.16	 166.52	Stable	Stable	match
MMM	2016-07-12	 179.16	 177.73	Up	Up	match
MMM	2016-10-13	 170.02	 169.46	Up	Stable	miss
MMM	2017-01-19	 178.68	 178.29	Up	Up	match
MMM	2017-04-26	 195.00	 195.00	Up	Up	match
MMM	2017-07-31	 201.17	 199.64	Up	Up	match
MMM	2017-11-01	 230.18	 230.12	Up	Up	match
GE	2013-05-15	  23.24	  23.00	Down	Down	match
GE	2013-08-19	  23.85	  23.91	Down	Down	match
GE	2013-11-20	  26.96	  26.99	Stable	Stable	match
GE	2014-02-28	  25.47	  25.48	Stable	Stable	match
GE	2014-06-04	  26.55	  26.76	Stable	Stable	match
GE	2014-09-08	  26.08	  26.09	Stable	Stable	match
GE	2014-12-10	  25.27	  25.61	Down	Stable	miss
GE	2015-03-19	  25.33	  25.65	Down	Stable	miss
GE	2015-06-23	  27.55	  27.37	Stable	Stable	match
GE	2015-09-25	  24.92	  24.95	Down	Down	match
GE	2015-12-30	  31.05	  31.24	Up	Up	match
GE	2016-04-07	  30.63	  30.85	Up	Up	match
GE	2016-07-12	  32.26	  32.17	Up	Up	match
GE	2016-10-13	  28.77	  28.90	Up	Up	match
GE	2017-01-19	  31.21	  31.20	Up	Up	match
GE	2017-04-26	  29.26	  29.48	Up	Up	match
GE	2017-07-31	  25.61	  25.52	Stable	Stable	match
GE	2017-11-01	  20.02	  28.08	Down	Stable	miss
IBM	2013-05-15	 203.32	 203.35	Up	Up	match
IBM	2013-08-19	 184.23	 185.94	Up	Up	match
IBM	2013-11-20	 185.19	 185.50	Up	Up	match
IBM	2014-02-28	 185.17	 185.41	Up	Up	match
IBM	2014-06-04	 184.51	 184.50	Up	Up	match
IBM	2014-09-08	 190.14	 190.88	Up	Up	match
IBM	2014-12-10	 160.51	 163.24	Stable	Stable	match
IBM	2015-03-19	 159.81	 159.96	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.80	Stable	Stable	match
IBM	2015-09-25	 145.42	 144.62	Down	Down	match
