Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 262.18	Down	Down	match
AMZN	2013-08-19	 285.57	 299.52	Down	Down	match
AMZN	2013-11-20	 362.57	 343.09	Stable	Down	miss
AMZN	2014-02-28	 362.10	 382.82	Down	Stable	miss
AMZN	2014-06-04	 306.78	 327.25	Down	Down	match
AMZN	2014-09-08	 342.34	 330.74	Down	Down	match
AMZN	2014-12-10	 305.84	 325.05	Down	Down	match
AMZN	2015-03-19	 373.24	 350.03	Stable	Down	miss
AMZN	2015-06-23	 445.99	 413.85	Stable	Stable	match
AMZN	2015-09-25	 524.25	 500.47	Stable	Stable	match
AMZN	2015-12-30	 689.07	 600.26	Stable	Stable	match
AMZN	2016-04-07	 591.43	 587.39	Stable	Stable	match
AMZN	2016-07-12	 748.21	 706.25	Up	Stable	miss
AMZN	2016-10-13	 829.28	 755.91	Up	Up	match
AMZN	2017-01-19	 809.04	 761.49	Up	Up	match
AMZN	2017-04-26	 909.29	 854.76	Up	Up	match
AMZN	2017-07-31	 987.78	 963.73	Up	Up	match
AMZN	2017-11-01	1103.68	 989.22	Up	Up	match
CMG	2013-05-15	 374.97	 326.47	Down	Down	match
CMG	2013-08-19	 403.60	 387.39	Down	Down	match
CMG	2013-11-20	 531.66	 415.71	Stable	Stable	match
CMG	2014-02-28	 565.21	 515.70	Up	Stable	miss
CMG	2014-06-04	 558.84	 535.73	Stable	Stable	match
CMG	2014-09-08	 678.37	 653.79	Up	Up	match
CMG	2014-12-10	 650.04	 662.55	Up	Up	match
CMG	2015-03-19	 680.67	 704.78	Up	Up	match
CMG	2015-06-23	 615.40	 623.82	Up	Up	match
CMG	2015-09-25	 730.28	 740.11	Up	Up	match
CMG	2015-12-30	 485.79	 621.73	Stable	Up	miss
CMG	2016-04-07	 450.60	 489.81	Stable	Stable	match
CMG	2016-07-12	 408.34	 421.04	Down	Stable	miss
CMG	2016-10-13	 409.81	 405.47	Stable	Down	miss
CMG	2017-01-19	 405.20	 372.48	Down	Down	match
CMG	2017-04-26	 482.99	 416.89	Stable	Stable	match
CMG	2017-07-31	 343.77	 460.09	Down	Stable	miss
CMG	2017-11-01	 270.20	 325.11	Down	Down	match
NKE	2013-05-15	  32.91	  28.09	Down	Down	match
NKE	2013-08-19	  32.35	  31.79	Down	Down	match
NKE	2013-11-20	  38.92	  35.42	Down	Down	match
NKE	2014-02-28	  39.15	  38.09	Down	Down	match
NKE	2014-06-04	  38.06	  36.04	Down	Down	match
NKE	2014-09-08	  41.20	  38.70	Down	Down	match
NKE	2014-12-10	  48.83	  47.90	Stable	Stable	match
NKE	2015-03-19	  49.16	  47.75	Stable	Stable	match
NKE	2015-06-23	  53.60	  50.51	Stable	Stable	match
NKE	2015-09-25	  62.50	  55.44	Up	Up	match
NKE	2015-12-30	  63.25	  64.40	Up	Up	match
NKE	2016-04-07	  60.30	  60.57	Up	Up	match
NKE	2016-07-12	  58.06	  55.70	Up	Up	match
NKE	2016-10-13	  52.03	  56.18	Stable	Up	miss
NKE	2017-01-19	  52.93	  50.70	Stable	Stable	match
NKE	2017-04-26	  55.16	  55.04	Up	Stable	miss
NKE	2017-07-31	  59.05	  54.83	Up	Stable	miss
NKE	2017-11-01	  55.07	  53.37	Stable	Stable	match
HD	2013-05-15	  77.88	  72.96	Down	Down	match
HD	2013-08-19	  75.21	  78.34	Down	Down	match
HD	2013-11-20	  79.75	  75.55	Down	Down	match
HD	2014-02-28	  82.03	  78.14	Down	Down	match
HD	2014-06-04	  80.54	  79.66	Down	Down	match
HD	2014-09-08	  90.82	  80.65	Down	Down	match
HD	2014-12-10	  98.94	  97.63	Stable	Stable	match
HD	2015-03-19	 115.16	 109.58	Stable	Stable	match
HD	2015-06-23	 113.18	 111.81	Stable	Stable	match
HD	2015-09-25	 116.74	 115.18	Stable	Stable	match
HD	2015-12-30	 133.35	 126.99	Stable	Stable	match
HD	2016-04-07	 133.87	 124.63	Up	Stable	miss
HD	2016-07-12	 134.84	 133.69	Up	Stable	miss
HD	2016-10-13	 126.29	 129.64	Stable	Stable	match
HD	2017-01-19	 135.39	 134.93	Up	Up	match
HD	2017-04-26	 154.22	 146.10	Up	Up	match
HD	2017-07-31	 149.60	 155.08	Up	Up	match
HD	2017-11-01	 165.38	 161.47	Up	Up	match
MMM	2013-05-15	 111.50	 105.63	Down	Down	match
MMM	2013-08-19	 115.61	 115.01	Down	Down	match
MMM	2013-11-20	 129.18	 124.44	Down	Down	match
MMM	2014-02-28	 134.73	 135.04	Down	Down	match
MMM	2014-06-04	 142.26	 138.61	Down	Down	match
MMM	2014-09-08	 144.89	 144.00	Stable	Stable	match
MMM	2014-12-10	 158.24	 156.97	Stable	Stable	match
MMM	2015-03-19	 165.66	 164.85	Stable	Stable	match
MMM	2015-06-23	 159.84	 160.43	Stable	Stable	match
MMM	2015-09-25	 139.56	 150.29	Down	Stable	miss
MMM	2015-12-30	 151.91	 156.54	Stable	Stable	match
MMM	2016-04-07	 167.16	 151.27	Stable	Stable	match
MMM	2016-07-12	 179.16	 168.34	Up	Stable	miss
MMM	2016-10-13	 170.02	 179.80	Up	Up	match
MMM	2017-01-19	 178.68	 176.46	Up	Up	match
MMM	2017-04-26	 195.00	 190.54	Up	Up	match
MMM	2017-07-31	 201.17	 201.07	Up	Up	match
MMM	2017-11-01	 230.18	 209.39	Up	Up	match
GE	2013-05-15	  23.24	  22.87	Down	Down	match
GE	2013-08-19	  23.85	  23.87	Down	Down	match
GE	2013-11-20	  26.96	  25.55	Stable	Stable	match
GE	2014-02-28	  25.47	  26.81	Stable	Stable	match
GE	2014-06-04	  26.55	  25.65	Stable	Stable	match
GE	2014-09-08	  26.08	  26.51	Stable	Stable	match
GE	2014-12-10	  25.27	  26.25	Down	Stable	miss
GE	2015-03-19	  25.33	  24.34	Down	Down	match
GE	2015-06-23	  27.55	  27.61	Stable	Stable	match
GE	2015-09-25	  24.92	  26.83	Down	Stable	miss
GE	2015-12-30	  31.05	  29.26	Up	Up	match
GE	2016-04-07	  30.63	  29.45	Up	Up	match
GE	2016-07-12	  32.26	  30.36	Up	Up	match
GE	2016-10-13	  28.77	  30.27	Up	Up	match
GE	2017-01-19	  31.21	  31.53	Up	Up	match
GE	2017-04-26	  29.26	  29.82	Up	Up	match
GE	2017-07-31	  25.61	  27.30	Stable	Stable	match
GE	2017-11-01	  20.02	  24.73	Down	Down	match
IBM	2013-05-15	 203.32	 210.52	Up	Up	match
IBM	2013-08-19	 184.23	 203.32	Up	Up	match
IBM	2013-11-20	 185.19	 185.06	Up	Up	match
IBM	2014-02-28	 185.17	 179.42	Up	Stable	miss
IBM	2014-06-04	 184.51	 191.08	Up	Up	match
IBM	2014-09-08	 190.14	 190.61	Up	Up	match
IBM	2014-12-10	 160.51	 161.68	Stable	Stable	match
IBM	2015-03-19	 159.81	 157.54	Stable	Stable	match
IBM	2015-06-23	 168.62	 167.22	Stable	Stable	match
IBM	2015-09-25	 145.42	 160.53	Down	Stable	miss
IBM	2015-12-30	 139.34	 137.52	Down	Down	match
IBM	2016-04-07	 148.25	 132.12	Down	Down	match
IBM	2016-07-12	 157.04	 149.78	Stable	Down	miss
IBM	2016-10-13	 153.72	 159.42	Down	Stable	miss
IBM	2017-01-19	 166.81	 162.77	Stable	Stable	match
IBM	2017-04-26	 160.06	 180.47	Stable	Stable	match
IBM	2017-07-31	 144.67	 152.62	Down	Down	match
IBM	2017-11-01	 154.03	 144.73	Down	Down	match
INTC	2013-05-15	  24.20	  22.29	Down	Down	match
INTC	2013-08-19	  22.28	  22.92	Down	Down	match
INTC	2013-11-20	  24.56	  23.67	Down	Down	match
INTC	2014-02-28	  24.76	  25.56	Down	Down	match
INTC	2014-06-04	  27.60	  25.32	Down	Down	match
INTC	2014-09-08	  35.33	  34.06	Stable	Stable	match
INTC	2014-12-10	  36.42	  35.69	Up	Up	match
INTC	2015-03-19	  30.74	  35.68	Stable	Up	miss
INTC	2015-06-23	  32.09	  31.64	Stable	Stable	match
INTC	2015-09-25	  28.81	  29.59	Down	Stable	miss
INTC	2015-12-30	  34.99	  32.56	Stable	Stable	match
INTC	2016-04-07	  31.55	  30.13	Stable	Stable	match
INTC	2016-07-12	  34.94	  31.71	Stable	Stable	match
INTC	2016-10-13	  36.97	  35.02	Up	Stable	miss
INTC	2017-01-19	  36.57	  35.02	Up	Stable	miss
INTC	2017-04-26	  36.93	  35.60	Up	Up	match
INTC	2017-07-31	  35.47	  35.42	Up	Stable	miss
INTC	2017-11-01	  46.71	  36.90	Up	Up	match
PKG	2013-05-15	  50.08	  43.16	Down	Down	match
PKG	2013-08-19	  53.11	  48.53	Down	Down	match
PKG	2013-11-20	  61.06	  59.36	Down	Down	match
PKG	2014-02-28	  72.89	  63.41	Stable	Down	miss
PKG	2014-06-04	  69.77	  66.69	Stable	Stable	match
PKG	2014-09-08	  70.10	  66.67	Stable	Stable	match
PKG	2014-12-10	  76.21	  66.82	Stable	Stable	match
PKG	2015-03-19	  79.04	  77.05	Up	Stable	miss
PKG	2015-06-23	  66.80	  72.20	Stable	Stable	match
PKG	2015-09-25	  61.30	  65.18	Down	Stable	miss
PKG	2015-12-30	  64.00	  65.30	Down	Stable	miss
PKG	2016-04-07	  58.99	  54.81	Down	Down	match
PKG	2016-07-12	  70.64	  63.82	Stable	Down	miss
PKG	2016-10-13	  81.35	  77.80	Up	Stable	miss
PKG	2017-01-19	  85.76	  84.61	Up	Up	match
PKG	2017-04-26	  94.54	  93.23	Up	Up	match
PKG	2017-07-31	 109.48	 106.39	Up	Up	match
PKG	2017-11-01	 116.57	 116.27	Up	Up	match
MON	2013-05-15	 109.22	 104.03	Stable	Stable	match
MON	2013-08-19	  95.28	 102.52	Down	Down	match
MON	2013-11-20	 109.90	 103.68	Stable	Stable	match
MON	2014-02-28	 110.02	 114.67	Stable	Stable	match
MON	2014-06-04	 121.30	 114.26	Up	Stable	miss
MON	2014-09-08	 114.67	 120.44	Stable	Up	miss
MON	2014-12-10	 119.35	 117.94	Up	Up	match
MON	2015-03-19	 115.38	 119.97	Up	Up	match
MON	2015-06-23	 112.78	 118.89	Stable	Up	miss
MON	2015-09-25	  84.51	 102.57	Down	Stable	miss
MON	2015-12-30	  98.89	  90.38	Down	Down	match
MON	2016-04-07	  86.10	  91.57	Down	Down	match
MON	2016-07-12	 102.33	 102.07	Down	Down	match
MON	2016-10-13	 102.54	 105.69	Down	Stable	miss
MON	2017-01-19	 108.12	 103.32	Stable	Stable	match
MON	2017-04-26	 116.74	 112.57	Up	Stable	miss
MON	2017-07-31	 116.82	 117.84	Up	Up	match
MON	2017-11-01	 121.14	 122.22	Up	Up	match
