Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 266.32	Down	Down	match
AMZN	2013-08-19	 285.57	 267.31	Down	Down	match
AMZN	2013-11-20	 362.57	 260.65	Stable	Down	miss
AMZN	2014-02-28	 362.10	 359.31	Down	Down	match
AMZN	2014-06-04	 306.78	 271.83	Down	Down	match
AMZN	2014-09-08	 342.34	 318.52	Down	Down	match
AMZN	2014-12-10	 305.84	 318.32	Down	Down	match
AMZN	2015-03-19	 373.24	 359.30	Stable	Down	miss
AMZN	2015-06-23	 445.99	 376.70	Stable	Stable	match
AMZN	2015-09-25	 524.25	 414.05	Stable	Stable	match
AMZN	2015-12-30	 689.07	 327.62	Stable	Down	miss
AMZN	2016-04-07	 591.43	 500.02	Stable	Stable	match
AMZN	2016-07-12	 748.21	 543.79	Up	Stable	miss
AMZN	2016-10-13	 829.28	 594.30	Up	Stable	miss
AMZN	2017-01-19	 809.04	 632.69	Up	Stable	miss
AMZN	2017-04-26	 909.29	 676.57	Up	Stable	miss
AMZN	2017-07-31	 987.78	 731.95	Up	Stable	miss
AMZN	2017-11-01	1103.68	 775.60	Up	Up	match
CMG	2013-05-15	 374.97	 325.83	Down	Down	match
CMG	2014-02-28	 565.21	 505.18	Up	Stable	miss
CMG	2014-06-04	 558.84	 534.43	Stable	Stable	match
CMG	2014-09-08	 678.37	 526.18	Up	Stable	miss
CMG	2014-12-10	 650.04	 617.48	Up	Up	match
CMG	2015-03-19	 680.67	 646.58	Up	Up	match
CMG	2015-06-23	 615.40	 592.14	Up	Up	match
CMG	2015-09-25	 730.28	 678.03	Up	Up	match
CMG	2015-12-30	 485.79	 508.22	Stable	Stable	match
CMG	2016-04-07	 450.60	 502.04	Stable	Stable	match
CMG	2016-07-12	 408.34	 427.18	Down	Stable	miss
CMG	2016-10-13	 409.81	 417.55	Stable	Stable	match
CMG	2017-01-19	 405.20	 406.73	Down	Down	match
CMG	2017-04-26	 482.99	 467.19	Stable	Stable	match
CMG	2017-07-31	 343.77	 398.73	Down	Down	match
CMG	2017-11-01	 270.20	 382.38	Down	Down	match
NKE	2013-05-15	  32.91	  31.02	Down	Down	match
NKE	2013-08-19	  32.35	  31.25	Down	Down	match
NKE	2013-11-20	  38.92	  32.19	Down	Down	match
NKE	2014-02-28	  39.15	  29.94	Down	Down	match
NKE	2014-06-04	  38.06	  38.12	Down	Down	match
NKE	2014-09-08	  41.20	  38.86	Down	Down	match
NKE	2015-03-19	  49.16	  43.81	Stable	Stable	match
NKE	2015-06-23	  53.60	  46.16	Stable	Stable	match
NKE	2015-09-25	  62.50	  49.10	Up	Stable	miss
NKE	2015-12-30	  63.25	  53.22	Up	Stable	miss
NKE	2016-04-07	  60.30	  55.32	Up	Up	match
NKE	2016-07-12	  58.06	  56.30	Up	Up	match
NKE	2016-10-13	  52.03	  51.05	Stable	Stable	match
NKE	2017-01-19	  52.93	  51.27	Stable	Stable	match
NKE	2017-04-26	  55.16	  51.80	Up	Stable	miss
