Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-05-15	 266.56	 265.84	Down	Down	match
AMZN	2013-08-19	 285.57	 281.52	Down	Down	match
AMZN	2013-11-20	 362.57	 318.80	Stable	Down	miss
AMZN	2014-02-28	 362.10	 359.41	Stable	Stable	match
AMZN	2014-06-04	 306.78	 300.45	Down	Down	match
AMZN	2014-09-08	 342.34	 334.37	Down	Down	match
AMZN	2014-12-10	 305.84	 316.84	Down	Down	match
AMZN	2015-03-19	 373.24	 367.36	Stable	Stable	match
AMZN	2015-06-23	 445.99	 415.39	Stable	Stable	match
AMZN	2015-09-25	 524.25	 497.47	Stable	Stable	match
AMZN	2015-12-30	 689.07	 566.51	Up	Stable	miss
AMZN	2016-04-07	 591.43	 568.17	Stable	Stable	match
AMZN	2016-07-12	 748.21	 684.17	Up	Up	match
AMZN	2016-10-13	 829.28	 746.38	Up	Up	match
AMZN	2017-01-19	 809.04	 747.10	Up	Up	match
AMZN	2017-04-26	 909.29	 833.15	Up	Up	match
AMZN	2017-07-31	 987.78	 935.46	Up	Up	match
AMZN	2017-11-01	1103.68	 976.44	Up	Up	match
CMG	2013-05-15	 374.97	 348.62	Down	Down	match
CMG	2013-08-19	 403.60	 310.52	Down	Down	match
CMG	2013-11-20	 531.66	 381.38	Stable	Down	miss
CMG	2014-02-28	 565.21	 535.80	Stable	Stable	match
CMG	2014-06-04	 558.84	 543.12	Stable	Stable	match
CMG	2014-09-08	 678.37	 643.25	Up	Up	match
CMG	2014-12-10	 650.04	 650.33	Up	Up	match
CMG	2015-03-19	 680.67	 672.99	Up	Up	match
CMG	2015-06-23	 615.40	 613.29	Up	Up	match
CMG	2015-09-25	 730.28	 720.68	Up	Up	match
CMG	2015-12-30	 485.79	 542.39	Stable	Stable	match
CMG	2016-04-07	 450.60	 480.51	Stable	Stable	match
CMG	2016-07-12	 408.34	 415.71	Down	Down	match
CMG	2016-10-13	 409.81	 417.58	Down	Down	match
CMG	2017-01-19	 405.20	 402.32	Down	Down	match
CMG	2017-04-26	 482.99	 455.69	Stable	Stable	match
CMG	2017-07-31	 343.77	 391.32	Down	Down	match
CMG	2017-11-01	 270.20	 314.24	Down	Down	match
NKE	2013-05-15	  32.91	  31.53	Down	Down	match
NKE	2013-08-19	  32.35	  31.78	Down	Down	match
NKE	2013-11-20	  38.92	  37.14	Down	Down	match
NKE	2014-02-28	  39.15	  37.21	Down	Down	match
NKE	2014-06-04	  38.06	  37.57	Down	Down	match
NKE	2014-09-08	  41.20	  40.02	Stable	Down	miss
NKE	2014-12-10	  48.83	  37.13	Stable	Down	miss
NKE	2015-03-19	  49.16	  47.69	Stable	Stable	match
NKE	2015-06-23	  53.60	  51.61	Stable	Stable	match
NKE	2015-09-25	  62.50	  55.70	Up	Up	match
NKE	2015-12-30	  63.25	  62.27	Up	Up	match
NKE	2016-04-07	  60.30	  59.79	Up	Up	match
NKE	2016-07-12	  58.06	  56.37	Up	Up	match
NKE	2016-10-13	  52.03	  52.86	Stable	Stable	match
NKE	2017-01-19	  52.93	  52.37	Stable	Stable	match
NKE	2017-04-26	  55.16	  54.97	Up	Stable	miss
NKE	2017-07-31	  59.05	  57.93	Up	Up	match
NKE	2017-11-01	  55.07	  54.30	Up	Stable	miss
HD	2013-05-15	  77.88	  75.17	Down	Down	match
HD	2013-08-19	  75.21	  76.35	Down	Down	match
HD	2013-11-20	  79.75	  76.78	Down	Down	match
HD	2014-02-28	  82.03	  79.47	Down	Down	match
HD	2014-06-04	  80.54	  80.07	Down	Down	match
HD	2014-09-08	  90.82	  86.16	Down	Down	match
HD	2014-12-10	  98.94	  92.41	Stable	Down	miss
HD	2015-03-19	 115.16	 104.53	Stable	Stable	match
HD	2015-06-23	 113.18	 109.47	Stable	Stable	match
HD	2015-09-25	 116.74	 113.27	Stable	Stable	match
HD	2015-12-30	 133.35	 126.03	Stable	Stable	match
HD	2016-04-07	 133.87	 128.07	Up	Stable	miss
HD	2016-07-12	 134.84	 130.25	Up	Stable	miss
HD	2016-10-13	 126.29	 126.24	Stable	Stable	match
HD	2017-01-19	 135.39	 133.16	Up	Stable	miss
HD	2017-04-26	 154.22	 145.08	Up	Up	match
HD	2017-07-31	 149.60	 146.08	Up	Up	match
HD	2017-11-01	 165.38	 158.81	Up	Up	match
MMM	2013-05-15	 111.50	 107.65	Down	Down	match
MMM	2013-08-19	 115.61	 113.59	Down	Down	match
MMM	2013-11-20	 129.18	 124.88	Down	Down	match
MMM	2014-02-28	 134.73	 132.12	Down	Down	match
MMM	2014-06-04	 142.26	 139.54	Down	Down	match
MMM	2014-09-08	 144.89	 143.01	Stable	Down	miss
MMM	2014-12-10	 158.24	 152.44	Stable	Stable	match
MMM	2015-03-19	 165.66	 162.49	Stable	Stable	match
MMM	2015-06-23	 159.84	 159.39	Stable	Stable	match
MMM	2015-09-25	 139.56	 141.78	Down	Down	match
MMM	2015-12-30	 151.91	 152.06	Stable	Stable	match
MMM	2016-04-07	 167.16	 160.35	Stable	Stable	match
MMM	2016-07-12	 179.16	 170.91	Up	Up	match
MMM	2016-10-13	 170.02	 172.78	Up	Up	match
MMM	2017-01-19	 178.68	 175.80	Up	Up	match
MMM	2017-04-26	 195.00	 186.99	Up	Up	match
MMM	2017-07-31	 201.17	 197.31	Up	Up	match
MMM	2017-11-01	 230.18	 206.00	Up	Up	match
GE	2013-05-15	  23.24	  22.85	Down	Down	match
GE	2013-08-19	  23.85	  23.90	Down	Down	match
GE	2013-11-20	  26.96	  25.89	Stable	Down	miss
GE	2014-02-28	  25.47	  25.62	Down	Down	match
GE	2014-06-04	  26.55	  26.34	Stable	Stable	match
GE	2014-09-08	  26.08	  26.10	Stable	Stable	match
GE	2014-12-10	  25.27	  26.03	Down	Stable	miss
GE	2015-03-19	  25.33	  25.14	Down	Down	match
GE	2015-06-23	  27.55	  27.33	Stable	Stable	match
GE	2015-09-25	  24.92	  25.25	Down	Down	match
GE	2015-12-30	  31.05	  29.38	Up	Stable	miss
GE	2016-04-07	  30.63	  30.11	Up	Up	match
GE	2016-07-12	  32.26	  31.03	Up	Up	match
GE	2016-10-13	  28.77	  29.69	Stable	Stable	match
GE	2017-01-19	  31.21	  31.27	Up	Up	match
GE	2017-04-26	  29.26	  29.66	Stable	Stable	match
GE	2017-07-31	  25.61	  26.42	Down	Stable	miss
GE	2017-11-01	  20.02	  24.43	Down	Down	match
