Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 361.11	Stable	Stable	match
AMZN	2014-01-16	 395.80	 396.61	Stable	Stable	match
AMZN	2014-05-02	 308.01	 302.56	Down	Down	match
AMZN	2014-06-19	 327.00	 327.96	Stable	Stable	match
AMZN	2014-06-24	 324.16	 327.69	Down	Stable	miss
AMZN	2014-06-25	 327.44	 327.40	Stable	Stable	match
AMZN	2014-08-04	 313.65	 316.59	Down	Down	match
AMZN	2014-09-08	 342.34	 342.55	Stable	Stable	match
AMZN	2014-11-17	 323.05	 314.59	Down	Down	match
AMZN	2015-06-01	 430.92	 428.06	Stable	Stable	match
AMZN	2016-03-22	 560.48	 563.36	Up	Up	match
AMZN	2016-09-09	 760.14	 780.09	Up	Up	match
AMZN	2016-11-25	 780.37	 772.40	Up	Up	match
AMZN	2017-02-07	 812.50	 822.72	Up	Up	match
AMZN	2017-04-24	 907.41	 901.11	Up	Up	match
AMZN	2017-11-02	1094.22	1078.64	Up	Up	match
CMG	2013-11-05	 543.05	 528.41	Stable	Stable	match
CMG	2014-01-16	 529.51	 534.39	Stable	Stable	match
CMG	2014-05-02	 501.77	 493.76	Stable	Stable	match
CMG	2014-06-19	 594.54	 590.51	Stable	Stable	match
CMG	2014-06-24	 595.62	 595.00	Stable	Stable	match
CMG	2014-06-25	 599.50	 595.42	Up	Stable	miss
CMG	2014-08-04	 682.98	 676.37	Up	Up	match
CMG	2014-09-08	 678.37	 680.03	Up	Up	match
CMG	2014-11-17	 658.32	 662.06	Up	Up	match
CMG	2015-06-01	 614.90	 621.21	Up	Up	match
CMG	2016-03-22	 471.76	 478.56	Stable	Stable	match
CMG	2016-09-09	 426.55	 422.38	Down	Down	match
CMG	2016-11-25	 410.28	 408.70	Down	Down	match
CMG	2017-02-07	 398.64	 412.93	Down	Down	match
CMG	2017-04-24	 468.79	 474.57	Stable	Stable	match
CMG	2017-11-02	 279.46	 273.69	Down	Down	match
NKE	2013-11-05	  38.60	  38.02	Stable	Stable	match
NKE	2014-01-16	  37.40	  37.98	Stable	Stable	match
NKE	2014-05-02	  36.49	  36.27	Down	Down	match
NKE	2014-06-19	  37.82	  37.52	Down	Down	match
NKE	2014-06-24	  37.49	  37.75	Down	Down	match
NKE	2014-06-25	  38.23	  37.74	Stable	Down	miss
NKE	2014-08-04	  38.58	  39.21	Stable	Stable	match
NKE	2014-09-08	  41.20	  39.86	Stable	Stable	match
NKE	2014-11-17	  48.03	  47.73	Stable	Stable	match
NKE	2015-06-01	  50.88	  51.47	Stable	Up	miss
NKE	2016-03-22	  64.90	  62.83	Up	Up	match
NKE	2016-09-09	  55.33	  57.57	Up	Up	match
NKE	2016-11-25	  51.52	  51.40	Up	Stable	miss
NKE	2017-02-07	  52.81	  52.78	Up	Up	match
