Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 291.74	Stable	Stable	match
AMZN	2014-01-16	 395.80	 370.00	Stable	Stable	match
AMZN	2014-05-02	 308.01	 325.97	Stable	Stable	match
AMZN	2014-06-19	 327.00	 342.17	Stable	Stable	match
AMZN	2014-06-24	 324.16	 317.99	Stable	Stable	match
AMZN	2014-06-25	 327.44	 309.21	Stable	Stable	match
AMZN	2014-08-04	 313.65	 326.65	Stable	Stable	match
AMZN	2014-09-08	 342.34	 330.74	Stable	Stable	match
AMZN	2014-11-17	 323.05	 320.77	Stable	Stable	match
AMZN	2015-06-01	 430.92	 390.69	Up	Stable	miss
AMZN	2016-03-22	 560.48	 559.30	Up	Up	match
AMZN	2016-09-09	 760.14	 752.64	Up	Up	match
AMZN	2016-11-25	 780.37	 808.30	Up	Up	match
AMZN	2017-02-07	 812.50	 793.82	Up	Up	match
AMZN	2017-04-24	 907.41	 846.86	Up	Up	match
AMZN	2017-11-02	1094.22	 992.26	Up	Up	match
CMG	2013-11-05	 543.05	 410.26	Stable	Down	miss
CMG	2014-01-16	 529.51	 517.70	Stable	Stable	match
CMG	2014-05-02	 501.77	 555.63	Stable	Stable	match
CMG	2014-06-19	 594.54	 523.45	Up	Stable	miss
CMG	2014-06-24	 595.62	 506.08	Up	Stable	miss
CMG	2014-06-25	 599.50	 506.55	Up	Stable	miss
CMG	2014-08-04	 682.98	 622.94	Up	Up	match
CMG	2014-09-08	 678.37	 653.79	Up	Up	match
CMG	2014-11-17	 658.32	 665.16	Up	Up	match
CMG	2015-06-01	 614.90	 658.97	Up	Up	match
CMG	2016-03-22	 471.76	 491.86	Stable	Stable	match
CMG	2016-09-09	 426.55	 426.87	Down	Down	match
CMG	2016-11-25	 410.28	 413.37	Down	Down	match
CMG	2017-02-07	 398.64	 387.47	Down	Down	match
CMG	2017-04-24	 468.79	 436.59	Down	Down	match
CMG	2017-11-02	 279.46	 321.12	Down	Down	match
NKE	2013-11-05	  38.60	  34.00	Stable	Down	miss
NKE	2014-01-16	  37.40	  38.31	Down	Down	match
NKE	2014-05-02	  36.49	  37.00	Down	Down	match
NKE	2014-06-19	  37.82	  37.04	Down	Down	match
NKE	2014-06-24	  37.49	  37.73	Down	Down	match
NKE	2014-06-25	  38.23	  38.01	Down	Down	match
NKE	2014-08-04	  38.58	  38.36	Down	Down	match
NKE	2014-09-08	  41.20	  38.70	Stable	Down	miss
NKE	2014-11-17	  48.03	  44.91	Stable	Stable	match
NKE	2015-06-01	  50.88	  49.80	Stable	Stable	match
NKE	2016-03-22	  64.90	  61.83	Up	Up	match
NKE	2016-09-09	  55.33	  56.85	Up	Up	match
NKE	2016-11-25	  51.52	  54.66	Stable	Up	miss
NKE	2017-02-07	  52.81	  51.86	Up	Stable	miss
NKE	2017-04-24	  55.47	  55.84	Up	Up	match
NKE	2017-11-02	  55.12	  53.28	Up	Up	match
HD	2013-11-05	  76.65	  74.33	Down	Down	match
HD	2014-01-16	  81.26	  79.70	Down	Down	match
HD	2014-05-02	  79.40	  77.93	Down	Down	match
HD	2014-06-19	  80.44	  78.60	Down	Down	match
HD	2014-06-24	  80.43	  79.76	Down	Down	match
HD	2014-06-25	  80.53	  80.32	Down	Down	match
HD	2014-08-04	  80.03	  80.17	Down	Down	match
HD	2014-09-08	  90.82	  80.65	Down	Down	match
HD	2014-11-17	  98.03	  90.08	Stable	Down	miss
HD	2015-06-01	 111.67	 113.66	Stable	Up	miss
HD	2016-03-22	 130.59	 125.79	Up	Up	match
HD	2016-09-09	 127.74	 133.37	Up	Up	match
HD	2016-11-25	 131.57	 128.04	Up	Up	match
HD	2017-02-07	 136.65	 131.24	Up	Up	match
HD	2017-04-24	 151.89	 143.03	Up	Up	match
HD	2017-11-02	 162.71	 161.08	Up	Up	match
MMM	2013-11-05	 126.12	 121.40	Down	Down	match
MMM	2014-01-16	 138.16	 127.98	Down	Down	match
MMM	2014-05-02	 140.12	 133.53	Down	Down	match
MMM	2014-06-19	 144.49	 139.70	Down	Down	match
MMM	2014-06-24	 143.09	 139.19	Down	Down	match
MMM	2014-06-25	 143.65	 138.66	Down	Down	match
MMM	2014-08-04	 140.75	 142.77	Down	Down	match
MMM	2014-09-08	 144.89	 144.00	Down	Down	match
MMM	2014-11-17	 158.69	 151.68	Stable	Stable	match
