Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 282.95	Stable	Down	miss
AMZN	2014-01-16	 395.80	 370.16	Stable	Stable	match
AMZN	2014-05-02	 308.01	 306.08	Down	Down	match
AMZN	2014-06-19	 327.00	 335.09	Down	Down	match
AMZN	2014-06-24	 324.16	 324.58	Down	Down	match
AMZN	2014-06-25	 327.44	 321.91	Down	Down	match
AMZN	2014-08-04	 313.65	 317.69	Down	Down	match
AMZN	2014-09-08	 342.34	 345.46	Down	Down	match
AMZN	2014-11-17	 323.05	 323.28	Down	Down	match
AMZN	2015-06-01	 430.92	 415.58	Stable	Stable	match
AMZN	2016-03-22	 560.48	 548.44	Stable	Stable	match
AMZN	2016-09-09	 760.14	 746.36	Up	Up	match
AMZN	2016-11-25	 780.37	 752.18	Up	Up	match
AMZN	2017-02-07	 812.50	 780.35	Up	Up	match
AMZN	2017-04-24	 907.41	 854.18	Up	Up	match
AMZN	2017-11-02	1094.22	1026.99	Up	Up	match
CMG	2013-11-05	 543.05	 427.22	Stable	Down	miss
CMG	2014-01-16	 529.51	 518.81	Stable	Stable	match
CMG	2014-05-02	 501.77	 486.88	Stable	Down	miss
CMG	2014-06-19	 594.54	 561.44	Up	Up	match
CMG	2014-06-24	 595.62	 561.34	Up	Up	match
CMG	2014-06-25	 599.50	 556.35	Up	Stable	miss
CMG	2014-08-04	 682.98	 589.26	Up	Up	match
CMG	2014-09-08	 678.37	 610.91	Up	Up	match
CMG	2014-11-17	 658.32	 654.85	Up	Up	match
CMG	2015-06-01	 614.90	 626.12	Up	Up	match
CMG	2016-03-22	 471.76	 483.98	Down	Down	match
CMG	2016-09-09	 426.55	 425.94	Down	Down	match
CMG	2016-11-25	 410.28	 407.92	Down	Down	match
CMG	2017-02-07	 398.64	 398.00	Down	Down	match
CMG	2017-04-24	 468.79	 460.66	Down	Down	match
CMG	2017-11-02	 279.46	 311.36	Down	Down	match
NKE	2013-11-05	  38.60	  37.03	Down	Down	match
NKE	2014-01-16	  37.40	  37.92	Down	Down	match
NKE	2014-05-02	  36.49	  36.15	Down	Down	match
NKE	2014-06-19	  37.82	  37.35	Down	Down	match
NKE	2014-06-24	  37.49	  37.56	Down	Down	match
NKE	2014-06-25	  38.23	  37.70	Down	Down	match
NKE	2014-08-04	  38.58	  39.15	Down	Down	match
NKE	2014-09-08	  41.20	  39.89	Down	Down	match
NKE	2014-11-17	  48.03	  44.86	Stable	Down	miss
NKE	2015-06-01	  50.88	  50.65	Stable	Stable	match
NKE	2016-03-22	  64.90	  62.50	Up	Up	match
NKE	2016-09-09	  55.33	  56.87	Up	Up	match
NKE	2016-11-25	  51.52	  51.87	Stable	Up	miss
NKE	2017-02-07	  52.81	  52.59	Up	Up	match
NKE	2017-04-24	  55.47	  55.61	Up	Up	match
NKE	2017-11-02	  55.12	  54.74	Up	Up	match
HD	2013-11-05	  76.65	  76.55	Down	Down	match
HD	2014-01-16	  81.26	  78.45	Down	Down	match
HD	2014-05-02	  79.40	  78.96	Down	Down	match
HD	2014-06-19	  80.44	  79.62	Down	Down	match
HD	2014-06-24	  80.43	  80.38	Down	Down	match
HD	2014-06-25	  80.53	  80.20	Down	Down	match
HD	2014-08-04	  80.03	  79.72	Down	Down	match
HD	2014-09-08	  90.82	  85.09	Stable	Stable	match
HD	2014-11-17	  98.03	  90.62	Stable	Stable	match
HD	2015-06-01	 111.67	 103.56	Stable	Stable	match
HD	2016-03-22	 130.59	 125.52	Up	Up	match
HD	2016-09-09	 127.74	 129.41	Up	Up	match
HD	2016-11-25	 131.57	 128.48	Up	Up	match
HD	2017-02-07	 136.65	 133.15	Up	Up	match
HD	2017-04-24	 151.89	 143.35	Up	Up	match
HD	2017-11-02	 162.71	 157.76	Up	Up	match
MMM	2013-11-05	 126.12	 123.58	Stable	Stable	match
MMM	2014-01-16	 138.16	 132.09	Stable	Stable	match
MMM	2014-05-02	 140.12	 136.96	Stable	Stable	match
MMM	2014-06-19	 144.49	 140.73	Stable	Stable	match
MMM	2014-06-24	 143.09	 141.96	Stable	Stable	match
MMM	2014-06-25	 143.65	 140.26	Stable	Stable	match
MMM	2014-08-04	 140.75	 141.65	Stable	Stable	match
MMM	2014-09-08	 144.89	 142.21	Stable	Stable	match
MMM	2014-11-17	 158.69	 154.98	Up	Up	match
MMM	2015-06-01	 158.98	 158.94	Up	Up	match
MMM	2016-03-22	 164.91	 162.27	Up	Up	match
MMM	2016-09-09	 175.64	 179.35	Up	Up	match
MMM	2016-11-25	 173.49	 171.79	Up	Up	match
MMM	2017-02-07	 175.76	 175.01	Up	Up	match
MMM	2017-04-24	 194.23	 188.65	Up	Up	match
MMM	2017-11-02	 232.23	 221.25	Up	Up	match
GE	2013-11-05	  26.42	  25.02	Stable	Down	miss
GE	2014-01-16	  27.20	  26.19	Up	Down	miss
GE	2014-05-02	  26.68	  26.21	Stable	Down	miss
GE	2014-06-19	  26.93	  26.76	Stable	Stable	match
GE	2014-06-24	  26.58	  26.70	Down	Down	match
GE	2014-06-25	  26.42	  26.58	Down	Down	match
GE	2014-08-04	  25.27	  25.08	Down	Down	match
GE	2014-09-08	  26.08	  26.32	Down	Down	match
GE	2014-11-17	  26.61	  26.21	Stable	Down	miss
GE	2015-06-01	  27.28	  26.98	Stable	Stable	match
GE	2016-03-22	  31.06	  22.34	Up	Down	miss
GE	2016-09-09	  30.11	  30.59	Up	Up	match
GE	2016-11-25	  31.44	  30.10	Up	Up	match
GE	2017-02-07	  29.56	  30.04	Up	Up	match
GE	2017-04-24	  29.55	  29.82	Up	Up	match
GE	2017-11-02	  19.94	  22.98	Down	Down	match
IBM	2013-11-05	 177.85	 183.81	Up	Up	match
IBM	2014-01-16	 188.76	 183.69	Up	Up	match
IBM	2014-05-02	 191.44	 190.33	Up	Up	match
IBM	2014-06-19	 182.82	 187.72	Up	Up	match
IBM	2014-06-24	 180.88	 186.99	Stable	Up	miss
IBM	2014-06-25	 180.72	 187.21	Stable	Up	miss
IBM	2014-08-04	 189.64	 187.39	Up	Up	match
IBM	2014-09-08	 190.14	 191.10	Up	Up	match
IBM	2014-11-17	 164.16	 169.77	Stable	Stable	match
IBM	2015-06-01	 170.18	 171.56	Stable	Stable	match
IBM	2016-03-22	 148.10	 140.66	Down	Down	match
IBM	2016-09-09	 155.69	 160.81	Down	Down	match
IBM	2016-11-25	 163.14	 158.49	Stable	Down	miss
IBM	2017-02-07	 178.46	 170.24	Stable	Stable	match
IBM	2017-04-24	 160.75	 168.66	Down	Stable	miss
IBM	2017-11-02	 153.35	 150.02	Down	Down	match
INTC	2013-11-05	  24.03	  23.92	Down	Down	match
INTC	2014-01-16	  26.54	  24.70	Down	Down	match
INTC	2014-05-02	  26.41	  25.76	Down	Down	match
INTC	2014-06-19	  30.09	  26.21	Down	Down	match
INTC	2014-06-24	  30.50	  25.84	Down	Down	match
INTC	2014-06-25	  30.88	  26.55	Down	Down	match
INTC	2014-08-04	  34.05	  20.95	Stable	Down	miss
INTC	2014-09-08	  35.33	  29.21	Up	Down	miss
INTC	2014-11-17	  34.24	  31.24	Stable	Stable	match
INTC	2015-06-01	  33.91	  33.54	Stable	Stable	match
INTC	2016-03-22	  32.32	  31.61	Stable	Stable	match
INTC	2016-09-09	  35.44	  35.29	Up	Stable	miss
INTC	2016-11-25	  35.44	  35.17	Up	Stable	miss
INTC	2017-02-07	  36.35	  35.87	Up	Up	match
INTC	2017-04-24	  36.75	  35.72	Up	Stable	miss
INTC	2017-11-02	  47.10	  38.32	Up	Up	match
PKG	2013-11-05	  60.61	  58.34	Down	Down	match
PKG	2014-01-16	  65.36	  62.75	Down	Down	match
PKG	2014-05-02	  66.40	  67.48	Down	Down	match
PKG	2014-06-19	  70.95	  67.76	Stable	Down	miss
PKG	2014-06-24	  70.24	  66.02	Stable	Down	miss
PKG	2014-06-25	  70.85	  69.38	Stable	Down	miss
PKG	2014-08-04	  67.39	  62.84	Down	Down	match
PKG	2014-09-08	  70.10	  69.06	Stable	Down	miss
PKG	2014-11-17	  72.81	  70.49	Stable	Stable	match
PKG	2015-06-01	  68.24	  70.07	Down	Down	match
PKG	2016-03-22	  58.98	  54.06	Down	Down	match
PKG	2016-09-09	  78.91	  76.81	Stable	Stable	match
PKG	2016-11-25	  85.43	  82.01	Stable	Stable	match
PKG	2017-02-07	  95.08	  87.20	Up	Stable	miss
PKG	2017-04-24	  94.08	  89.62	Up	Stable	miss
PKG	2017-11-02	 116.21	 110.22	Up	Up	match
MON	2013-11-05	 103.22	 103.59	Down	Down	match
MON	2014-01-16	 112.68	 111.82	Stable	Stable	match
MON	2014-05-02	 112.20	 111.12	Stable	Stable	match
MON	2014-06-19	 121.77	 117.96	Up	Up	match
MON	2014-06-24	 120.63	 119.18	Up	Up	match
MON	2014-06-25	 126.73	 118.22	Up	Up	match
MON	2014-08-04	 114.91	 115.41	Up	Up	match
MON	2014-09-08	 114.67	 116.29	Stable	Up	miss
MON	2014-11-17	 118.38	 116.40	Up	Up	match
MON	2015-06-01	 116.61	 117.36	Up	Up	match
MON	2016-03-22	  90.38	  91.67	Down	Down	match
MON	2016-09-09	 106.78	 107.36	Down	Down	match
MON	2016-11-25	 102.56	 101.60	Down	Down	match
MON	2017-02-07	 107.57	 108.37	Down	Down	match
MON	2017-04-24	 116.02	 114.56	Stable	Stable	match
MON	2017-11-02	 120.43	 121.00	Up	Up	match
