Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 325.47	Stable	Stable	match
AMZN	2014-01-16	 395.80	 363.48	Stable	Stable	match
AMZN	2014-05-02	 308.01	 307.90	Down	Down	match
AMZN	2014-06-19	 327.00	 334.20	Stable	Stable	match
AMZN	2014-06-24	 324.16	 327.16	Down	Stable	miss
AMZN	2014-06-25	 327.44	 324.11	Stable	Down	miss
AMZN	2014-08-04	 313.65	 307.53	Down	Down	match
AMZN	2014-09-08	 342.34	 346.14	Stable	Stable	match
AMZN	2014-11-17	 323.05	 328.21	Down	Stable	miss
AMZN	2015-06-01	 430.92	 428.41	Stable	Stable	match
AMZN	2016-03-22	 560.48	 553.51	Up	Stable	miss
AMZN	2016-09-09	 760.14	 783.21	Up	Up	match
AMZN	2016-11-25	 780.37	 779.29	Up	Up	match
AMZN	2017-02-07	 812.50	 806.94	Up	Up	match
AMZN	2017-04-24	 907.41	 898.04	Up	Up	match
AMZN	2017-11-02	1094.22	1102.65	Up	Up	match
CMG	2013-11-05	 543.05	 382.89	Stable	Down	miss
CMG	2014-01-16	 529.51	 531.81	Stable	Stable	match
CMG	2014-05-02	 501.77	 499.79	Stable	Stable	match
CMG	2014-06-19	 594.54	 594.38	Stable	Stable	match
CMG	2014-06-24	 595.62	 599.05	Up	Up	match
CMG	2014-06-25	 599.50	 595.08	Up	Stable	miss
CMG	2014-08-04	 682.98	 674.47	Up	Up	match
CMG	2014-09-08	 678.37	 677.33	Up	Up	match
CMG	2014-11-17	 658.32	 668.82	Up	Up	match
CMG	2015-06-01	 614.90	 615.53	Up	Up	match
CMG	2016-03-22	 471.76	 463.40	Stable	Stable	match
CMG	2016-09-09	 426.55	 436.74	Down	Stable	miss
CMG	2016-11-25	 410.28	 411.07	Down	Down	match
CMG	2017-02-07	 398.64	 395.85	Down	Down	match
CMG	2017-04-24	 468.79	 476.75	Stable	Stable	match
CMG	2017-11-02	 279.46	 270.81	Down	Down	match
NKE	2013-11-05	  38.60	  38.16	Stable	Stable	match
NKE	2014-01-16	  37.40	  37.70	Down	Down	match
NKE	2014-05-02	  36.49	  36.44	Down	Down	match
NKE	2014-06-19	  37.82	  38.13	Down	Stable	miss
NKE	2014-06-24	  37.49	  37.70	Down	Down	match
NKE	2014-06-25	  38.23	  37.47	Stable	Down	miss
NKE	2014-08-04	  38.58	  39.38	Stable	Stable	match
NKE	2014-09-08	  41.20	  40.97	Stable	Stable	match
NKE	2014-11-17	  48.03	  39.26	Stable	Stable	match
NKE	2015-06-01	  50.88	  50.86	Stable	Stable	match
NKE	2016-03-22	  64.90	  64.64	Up	Up	match
NKE	2016-09-09	  55.33	  56.27	Up	Up	match
NKE	2016-11-25	  51.52	  51.45	Up	Stable	miss
NKE	2017-02-07	  52.81	  52.87	Up	Up	match
NKE	2017-04-24	  55.47	  55.83	Up	Up	match
NKE	2017-11-02	  55.12	  55.03	Up	Up	match
HD	2013-11-05	  76.65	  76.93	Down	Down	match
HD	2014-01-16	  81.26	  80.99	Stable	Stable	match
HD	2014-05-02	  79.40	  79.22	Down	Down	match
HD	2014-06-19	  80.44	  80.70	Stable	Stable	match
HD	2014-06-24	  80.43	  80.55	Down	Stable	miss
HD	2014-06-25	  80.53	  80.27	Stable	Down	miss
HD	2014-08-04	  80.03	  79.60	Down	Down	match
HD	2014-09-08	  90.82	  91.74	Stable	Stable	match
HD	2014-11-17	  98.03	  98.03	Stable	Stable	match
HD	2015-06-01	 111.67	 111.37	Stable	Stable	match
HD	2016-03-22	 130.59	 130.68	Up	Up	match
HD	2016-09-09	 127.74	 131.17	Up	Up	match
HD	2016-11-25	 131.57	 131.13	Up	Up	match
HD	2017-02-07	 136.65	 136.31	Up	Up	match
HD	2017-04-24	 151.89	 149.85	Up	Up	match
HD	2017-11-02	 162.71	 165.32	Up	Up	match
MMM	2013-11-05	 126.12	 126.26	Down	Down	match
MMM	2014-01-16	 138.16	 129.69	Down	Down	match
MMM	2014-05-02	 140.12	 140.96	Down	Stable	miss
MMM	2014-06-19	 144.49	 144.34	Stable	Stable	match
MMM	2014-06-24	 143.09	 143.89	Stable	Stable	match
MMM	2014-06-25	 143.65	 142.92	Stable	Stable	match
MMM	2014-08-04	 140.75	 140.69	Down	Down	match
MMM	2014-09-08	 144.89	 144.19	Stable	Stable	match
MMM	2014-11-17	 158.69	 158.74	Stable	Stable	match
MMM	2015-06-01	 158.98	 159.24	Stable	Stable	match
MMM	2016-03-22	 164.91	 164.68	Up	Stable	miss
MMM	2016-09-09	 175.64	 179.84	Up	Up	match
MMM	2016-11-25	 173.49	 172.08	Up	Up	match
MMM	2017-02-07	 175.76	 175.03	Up	Up	match
MMM	2017-04-24	 194.23	 191.37	Up	Up	match
MMM	2017-11-02	 232.23	 230.11	Up	Up	match
GE	2013-11-05	  26.42	  26.37	Down	Down	match
GE	2014-01-16	  27.20	  27.32	Stable	Up	miss
GE	2014-05-02	  26.68	  26.72	Stable	Stable	match
GE	2014-06-19	  26.93	  26.86	Stable	Stable	match
GE	2014-06-24	  26.58	  26.63	Stable	Stable	match
GE	2014-06-25	  26.42	  26.58	Down	Stable	miss
GE	2014-08-04	  25.27	  25.39	Down	Down	match
GE	2014-09-08	  26.08	  26.09	Down	Down	match
GE	2014-11-17	  26.61	  26.45	Stable	Stable	match
GE	2015-06-01	  27.28	  27.22	Up	Stable	miss
GE	2016-03-22	  31.06	  31.04	Up	Up	match
GE	2016-09-09	  30.11	  31.02	Up	Up	match
GE	2016-11-25	  31.44	  31.29	Up	Up	match
GE	2017-02-07	  29.56	  29.68	Up	Up	match
GE	2017-04-24	  29.55	  29.52	Up	Up	match
GE	2017-11-02	  19.94	  28.04	Down	Up	miss
IBM	2013-11-05	 177.85	 180.63	Stable	Stable	match
IBM	2014-01-16	 188.76	 187.87	Up	Up	match
IBM	2014-05-02	 191.44	 193.41	Up	Up	match
IBM	2014-06-19	 182.82	 183.75	Up	Up	match
IBM	2014-06-24	 180.88	 182.34	Up	Up	match
IBM	2014-06-25	 180.72	 181.13	Stable	Up	miss
IBM	2014-08-04	 189.64	 189.00	Up	Up	match
IBM	2014-09-08	 190.14	 190.88	Up	Up	match
IBM	2014-11-17	 164.16	 164.53	Stable	Stable	match
IBM	2015-06-01	 170.18	 169.71	Stable	Stable	match
IBM	2016-03-22	 148.10	 148.66	Down	Down	match
IBM	2016-09-09	 155.69	 158.80	Down	Down	match
IBM	2016-11-25	 163.14	 161.82	Stable	Stable	match
IBM	2017-02-07	 178.46	 175.77	Stable	Stable	match
IBM	2017-04-24	 160.75	 160.36	Down	Down	match
IBM	2017-11-02	 153.35	 154.06	Down	Down	match
INTC	2013-11-05	  24.03	  24.22	Down	Down	match
INTC	2014-01-16	  26.54	  26.63	Down	Down	match
INTC	2014-05-02	  26.41	  26.40	Down	Down	match
INTC	2014-06-19	  30.09	  24.69	Down	Down	match
INTC	2014-06-24	  30.50	  24.75	Stable	Down	miss
