Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2014-01-16	 395.80	 285.70	Stable	Down	miss
AMZN	2014-05-02	 308.01	 271.35	Down	Down	match
AMZN	2014-06-19	 327.00	 359.45	Down	Down	match
AMZN	2014-06-24	 324.16	 316.23	Down	Down	match
AMZN	2014-06-25	 327.44	 316.25	Down	Down	match
AMZN	2014-08-04	 313.65	 317.72	Down	Down	match
AMZN	2014-09-08	 342.34	 359.42	Down	Down	match
AMZN	2014-11-17	 323.05	 318.08	Down	Down	match
AMZN	2015-06-01	 430.92	 371.64	Stable	Down	miss
AMZN	2016-03-22	 560.48	 495.64	Stable	Stable	match
AMZN	2016-09-09	 760.14	 575.07	Stable	Stable	match
AMZN	2016-11-25	 780.37	 613.65	Stable	Stable	match
AMZN	2017-02-07	 812.50	 640.83	Up	Stable	miss
AMZN	2017-04-24	 907.41	 675.12	Up	Stable	miss
AMZN	2017-11-02	1094.22	 776.50	Up	Stable	miss
CMG	2013-11-05	 543.05	 332.52	Stable	Down	miss
CMG	2014-01-16	 529.51	 486.50	Stable	Down	miss
CMG	2014-05-02	 501.77	 359.23	Stable	Down	miss
CMG	2014-06-19	 594.54	 539.96	Stable	Stable	match
CMG	2014-06-24	 595.62	 541.76	Stable	Stable	match
CMG	2014-06-25	 599.50	 542.35	Up	Stable	miss
CMG	2014-08-04	 682.98	 373.49	Up	Down	miss
CMG	2014-09-08	 678.37	 376.92	Up	Down	miss
CMG	2014-11-17	 658.32	 610.30	Up	Up	match
CMG	2015-06-01	 614.90	 590.69	Up	Stable	miss
CMG	2016-03-22	 471.76	 503.09	Down	Stable	miss
CMG	2016-09-09	 426.55	 420.55	Down	Down	match
CMG	2016-11-25	 410.28	 412.40	Down	Down	match
CMG	2017-02-07	 398.64	 405.41	Down	Down	match
CMG	2017-04-24	 468.79	 467.24	Down	Down	match
CMG	2017-11-02	 279.46	 382.06	Down	Down	match
NKE	2013-11-05	  38.60	  28.98	Down	Down	match
NKE	2014-01-16	  37.40	  37.04	Down	Down	match
NKE	2014-05-02	  36.49	  30.49	Down	Down	match
NKE	2014-06-19	  37.82	  30.86	Down	Down	match
NKE	2014-06-24	  37.49	  38.24	Down	Down	match
NKE	2014-06-25	  38.23	  38.24	Down	Down	match
NKE	2014-08-04	  38.58	  38.58	Down	Down	match
NKE	2014-09-08	  41.20	  36.80	Down	Down	match
NKE	2014-11-17	  48.03	  38.15	Stable	Down	miss
NKE	2015-06-01	  50.88	  45.61	Stable	Down	miss
NKE	2016-03-22	  64.90	  49.10	Up	Stable	miss
NKE	2016-09-09	  55.33	  56.86	Up	Up	match
NKE	2016-11-25	  51.52	  51.14	Stable	Stable	match
NKE	2017-02-07	  52.81	  51.34	Up	Stable	miss
NKE	2017-04-24	  55.47	  51.78	Up	Stable	miss
NKE	2017-11-02	  55.12	  52.49	Up	Up	match
HD	2013-11-05	  76.65	  76.39	Down	Down	match
HD	2014-01-16	  81.26	  71.91	Down	Down	match
HD	2014-05-02	  79.40	  78.17	Down	Down	match
HD	2014-06-19	  80.44	  78.36	Down	Down	match
HD	2014-06-24	  80.43	  80.41	Down	Down	match
HD	2014-06-25	  80.53	  80.42	Down	Down	match
HD	2014-08-04	  80.03	  78.69	Down	Down	match
HD	2014-09-08	  90.82	  73.31	Stable	Down	miss
HD	2014-11-17	  98.03	  73.04	Stable	Down	miss
HD	2015-06-01	 111.67	  80.12	Stable	Down	miss
HD	2016-03-22	 130.59	 114.25	Up	Stable	miss
HD	2016-09-09	 127.74	 121.98	Stable	Stable	match
HD	2016-11-25	 131.57	 123.63	Up	Stable	miss
HD	2017-02-07	 136.65	 125.80	Up	Stable	miss
HD	2017-04-24	 151.89	 129.08	Up	Stable	miss
HD	2017-11-02	 162.71	 138.34	Up	Up	match
MMM	2013-11-05	 126.12	 109.50	Down	Down	match
MMM	2014-01-16	 138.16	 106.60	Down	Down	match
MMM	2014-05-02	 140.12	 131.52	Down	Down	match
MMM	2014-06-19	 144.49	 110.20	Down	Down	match
MMM	2014-06-24	 143.09	 135.08	Down	Down	match
MMM	2014-06-25	 143.65	 110.32	Down	Down	match
MMM	2014-08-04	 140.75	 130.15	Down	Down	match
MMM	2014-09-08	 144.89	 111.98	Down	Down	match
MMM	2014-11-17	 158.69	 141.91	Stable	Down	miss
MMM	2015-06-01	 158.98	 116.63	Stable	Down	miss
MMM	2016-03-22	 164.91	 158.06	Stable	Stable	match
MMM	2016-09-09	 175.64	 164.35	Up	Stable	miss
MMM	2016-11-25	 173.49	 166.34	Up	Stable	miss
MMM	2017-02-07	 175.76	 168.34	Up	Stable	miss
MMM	2017-04-24	 194.23	 171.57	Up	Stable	miss
MMM	2017-11-02	 232.23	 183.79	Up	Up	match
GE	2013-11-05	  26.42	  23.68	Stable	Stable	match
GE	2014-01-16	  27.20	  23.70	Up	Stable	miss
GE	2014-05-02	  26.68	  26.19	Stable	Stable	match
GE	2014-06-19	  26.93	  26.43	Stable	Stable	match
GE	2014-06-24	  26.58	  26.45	Stable	Stable	match
GE	2014-06-25	  26.42	  26.46	Stable	Stable	match
GE	2014-08-04	  25.27	  23.50	Stable	Stable	match
GE	2014-09-08	  26.08	  26.55	Stable	Stable	match
GE	2014-11-17	  26.61	  26.55	Stable	Stable	match
GE	2015-06-01	  27.28	  26.65	Up	Stable	miss
GE	2016-09-09	  30.11	  29.08	Up	Up	match
GE	2016-11-25	  31.44	  29.27	Up	Up	match
GE	2017-02-07	  29.56	  29.59	Up	Up	match
GE	2017-04-24	  29.55	  29.74	Up	Up	match
GE	2017-11-02	  19.94	  24.44	Stable	Stable	match
IBM	2013-11-05	 177.85	 206.80	Stable	Up	miss
IBM	2014-01-16	 188.76	 188.46	Up	Up	match
IBM	2014-05-02	 191.44	 187.13	Up	Stable	miss
IBM	2014-06-19	 182.82	 186.75	Stable	Stable	match
IBM	2014-06-24	 180.88	 186.67	Stable	Stable	match
IBM	2014-06-25	 180.72	 186.64	Stable	Stable	match
IBM	2014-08-04	 189.64	 200.87	Up	Up	match
IBM	2014-09-08	 190.14	 190.94	Up	Up	match
IBM	2014-11-17	 164.16	 178.93	Down	Stable	miss
IBM	2015-06-01	 170.18	 189.86	Down	Up	miss
IBM	2016-03-22	 148.10	 163.83	Down	Down	match
IBM	2016-09-09	 155.69	 161.39	Down	Down	match
IBM	2016-11-25	 163.14	 160.67	Down	Down	match
IBM	2017-02-07	 178.46	 178.96	Stable	Stable	match
IBM	2017-04-24	 160.75	 161.28	Down	Down	match
IBM	2017-11-02	 153.35	 159.01	Down	Down	match
INTC	2013-11-05	  24.03	  24.16	Down	Down	match
INTC	2014-01-16	  26.54	  22.04	Down	Down	match
INTC	2014-05-02	  26.41	  24.48	Down	Down	match
INTC	2014-06-19	  30.09	  24.15	Down	Down	match
INTC	2014-06-24	  30.50	  22.39	Down	Down	match
INTC	2014-06-25	  30.88	  24.22	Down	Down	match
INTC	2014-09-08	  35.33	  21.94	Stable	Down	miss
INTC	2014-11-17	  34.24	  24.47	Stable	Down	miss
INTC	2015-06-01	  33.91	  32.99	Stable	Stable	match
INTC	2016-03-22	  32.32	  30.92	Stable	Down	miss
INTC	2016-09-09	  35.44	  33.90	Stable	Stable	match
INTC	2016-11-25	  35.44	  34.40	Stable	Stable	match
INTC	2017-02-07	  36.35	  34.82	Up	Stable	miss
INTC	2017-04-24	  36.75	  35.14	Up	Stable	miss
INTC	2017-11-02	  47.10	  35.99	Up	Stable	miss
PKG	2013-11-05	  60.61	  50.45	Down	Down	match
PKG	2014-01-16	  65.36	  59.76	Down	Down	match
PKG	2014-05-02	  66.40	  65.71	Down	Down	match
PKG	2014-06-19	  70.95	  61.91	Stable	Down	miss
PKG	2014-06-24	  70.24	  53.72	Stable	Down	miss
PKG	2014-06-25	  70.85	  67.27	Stable	Down	miss
PKG	2014-08-04	  67.39	  49.28	Down	Down	match
PKG	2014-09-08	  70.10	  68.52	Stable	Down	miss
PKG	2014-11-17	  72.81	  69.27	Stable	Down	miss
PKG	2015-06-01	  68.24	  68.56	Down	Down	match
PKG	2016-03-22	  58.98	  53.77	Down	Down	match
PKG	2016-09-09	  78.91	  73.80	Up	Stable	miss
PKG	2016-11-25	  85.43	  75.32	Up	Stable	miss
PKG	2017-02-07	  95.08	  77.25	Up	Stable	miss
PKG	2017-04-24	  94.08	  79.63	Up	Up	match
PKG	2017-11-02	 116.21	  89.63	Up	Up	match
MON	2013-11-05	 103.22	 104.39	Down	Down	match
MON	2014-01-16	 112.68	  99.98	Stable	Down	miss
MON	2014-05-02	 112.20	 108.59	Stable	Down	miss
MON	2014-06-19	 121.77	 113.56	Up	Stable	miss
MON	2014-06-24	 120.63	 110.38	Up	Stable	miss
MON	2014-06-25	 126.73	 104.91	Up	Down	miss
MON	2014-08-04	 114.91	 111.66	Stable	Stable	match
MON	2014-09-08	 114.67	 112.16	Stable	Stable	match
MON	2014-11-17	 118.38	 116.22	Stable	Stable	match
MON	2015-06-01	 116.61	 118.77	Stable	Stable	match
MON	2016-03-22	  90.38	  97.96	Down	Down	match
MON	2016-09-09	 106.78	 106.83	Down	Down	match
MON	2016-11-25	 102.56	 102.32	Down	Down	match
MON	2017-02-07	 107.57	 106.54	Down	Down	match
MON	2017-04-24	 116.02	 116.05	Stable	Stable	match
MON	2017-11-02	 120.43	 117.43	Up	Stable	miss
