Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 291.63	Stable	Down	miss
AMZN	2014-01-16	 395.80	 389.51	Stable	Stable	match
AMZN	2014-05-02	 308.01	 335.90	Down	Stable	miss
AMZN	2014-06-19	 327.00	 315.59	Stable	Down	miss
AMZN	2014-06-24	 324.16	 328.04	Down	Stable	miss
AMZN	2014-06-25	 327.44	 322.66	Stable	Down	miss
AMZN	2014-08-04	 313.65	 347.48	Down	Stable	miss
AMZN	2014-09-08	 342.34	 333.46	Stable	Stable	match
AMZN	2014-11-17	 323.05	 328.64	Down	Stable	miss
AMZN	2015-06-01	 430.92	 411.85	Stable	Stable	match
AMZN	2016-03-22	 560.48	 559.29	Stable	Stable	match
AMZN	2016-09-09	 760.14	 764.21	Up	Up	match
AMZN	2016-11-25	 780.37	 767.62	Up	Up	match
AMZN	2017-02-07	 812.50	 779.21	Up	Up	match
AMZN	2017-04-24	 907.41	 853.46	Up	Up	match
AMZN	2017-11-02	1094.22	 988.67	Up	Up	match
CMG	2013-11-05	 543.05	 447.19	Stable	Stable	match
CMG	2014-01-16	 529.51	 521.20	Stable	Stable	match
CMG	2014-05-02	 501.77	 548.28	Stable	Up	miss
CMG	2014-06-19	 594.54	 539.16	Up	Stable	miss
CMG	2014-06-24	 595.62	 551.19	Up	Up	match
CMG	2014-06-25	 599.50	 530.23	Up	Stable	miss
CMG	2014-08-04	 682.98	 582.09	Up	Up	match
CMG	2014-09-08	 678.37	 680.98	Up	Up	match
CMG	2014-11-17	 658.32	 668.06	Up	Up	match
CMG	2015-06-01	 614.90	 659.55	Up	Up	match
CMG	2016-03-22	 471.76	 491.39	Stable	Stable	match
CMG	2016-09-09	 426.55	 413.42	Down	Down	match
CMG	2016-11-25	 410.28	 387.58	Down	Down	match
CMG	2017-02-07	 398.64	 390.33	Down	Down	match
CMG	2017-04-24	 468.79	 433.30	Stable	Down	miss
CMG	2017-11-02	 279.46	 318.48	Down	Down	match
NKE	2013-11-05	  38.60	  37.90	Stable	Stable	match
NKE	2014-01-16	  37.40	  39.00	Stable	Stable	match
NKE	2014-05-02	  36.49	  38.12	Stable	Stable	match
NKE	2014-06-19	  37.82	  38.07	Stable	Stable	match
NKE	2014-06-24	  37.49	  37.91	Stable	Stable	match
NKE	2014-06-25	  38.23	  38.00	Stable	Stable	match
NKE	2014-08-04	  38.58	  38.91	Stable	Stable	match
NKE	2014-09-08	  41.20	  39.70	Stable	Stable	match
NKE	2014-11-17	  48.03	  45.55	Up	Stable	miss
NKE	2015-06-01	  50.88	  51.13	Up	Up	match
NKE	2016-03-22	  64.90	  61.26	Up	Up	match
NKE	2016-09-09	  55.33	  56.54	Up	Up	match
NKE	2016-11-25	  51.52	  53.34	Up	Up	match
NKE	2017-02-07	  52.81	  51.84	Up	Up	match
NKE	2017-04-24	  55.47	  55.22	Up	Up	match
NKE	2017-11-02	  55.12	  53.61	Up	Up	match
HD	2013-11-05	  76.65	  75.37	Down	Down	match
HD	2014-01-16	  81.26	  79.08	Down	Down	match
HD	2014-05-02	  79.40	  79.57	Down	Down	match
HD	2014-06-19	  80.44	  77.87	Down	Down	match
HD	2014-06-24	  80.43	  79.86	Down	Down	match
HD	2014-06-25	  80.53	  78.61	Down	Down	match
HD	2014-08-04	  80.03	  80.88	Down	Down	match
HD	2014-09-08	  90.82	  80.56	Stable	Down	miss
HD	2014-11-17	  98.03	  94.28	Stable	Stable	match
HD	2015-06-01	 111.67	 113.36	Up	Up	match
HD	2016-03-22	 130.59	 125.19	Up	Up	match
HD	2016-09-09	 127.74	 132.93	Up	Up	match
HD	2016-11-25	 131.57	 128.39	Up	Up	match
HD	2017-02-07	 136.65	 134.00	Up	Up	match
HD	2017-04-24	 151.89	 145.68	Up	Up	match
HD	2017-11-02	 162.71	 161.96	Up	Up	match
MMM	2013-11-05	 126.12	 121.77	Down	Down	match
MMM	2014-01-16	 138.16	 129.81	Down	Down	match
MMM	2014-05-02	 140.12	 132.63	Down	Down	match
MMM	2014-06-19	 144.49	 140.35	Down	Down	match
MMM	2014-06-24	 143.09	 139.41	Down	Down	match
MMM	2014-06-25	 143.65	 140.22	Down	Down	match
MMM	2014-08-04	 140.75	 143.64	Down	Down	match
MMM	2014-09-08	 144.89	 143.91	Down	Down	match
MMM	2014-11-17	 158.69	 155.46	Stable	Stable	match
MMM	2015-06-01	 158.98	 162.16	Stable	Stable	match
MMM	2016-03-22	 164.91	 148.38	Stable	Down	miss
MMM	2016-09-09	 175.64	 180.31	Stable	Up	miss
MMM	2016-11-25	 173.49	 170.94	Stable	Stable	match
MMM	2017-02-07	 175.76	 175.38	Stable	Stable	match
MMM	2017-04-24	 194.23	 190.23	Up	Up	match
MMM	2017-11-02	 232.23	 213.00	Up	Up	match
GE	2013-11-05	  26.42	  23.39	Stable	Down	miss
GE	2014-01-16	  27.20	  26.93	Up	Up	match
GE	2014-05-02	  26.68	  25.57	Stable	Down	miss
GE	2014-06-19	  26.93	  26.84	Up	Up	match
GE	2014-06-24	  26.58	  26.78	Stable	Up	miss
GE	2014-06-25	  26.42	  26.39	Stable	Stable	match
GE	2014-08-04	  25.27	  26.66	Down	Stable	miss
GE	2014-09-08	  26.08	  26.32	Stable	Stable	match
GE	2014-11-17	  26.61	  25.85	Stable	Down	miss
GE	2015-06-01	  27.28	  26.36	Up	Stable	miss
GE	2016-03-22	  31.06	  29.88	Up	Up	match
GE	2016-09-09	  30.11	  31.88	Up	Up	match
GE	2016-11-25	  31.44	  29.22	Up	Up	match
GE	2017-02-07	  29.56	  31.28	Up	Up	match
GE	2017-04-24	  29.55	  30.05	Up	Up	match
GE	2017-11-02	  19.94	  24.19	Down	Down	match
IBM	2013-11-05	 177.85	 183.08	Stable	Up	miss
IBM	2014-01-16	 188.76	 182.32	Up	Up	match
IBM	2014-05-02	 191.44	 189.65	Up	Up	match
IBM	2014-06-19	 182.82	 189.87	Up	Up	match
IBM	2014-06-24	 180.88	 186.96	Up	Up	match
IBM	2014-06-25	 180.72	 188.65	Up	Up	match
IBM	2014-08-04	 189.64	 187.45	Up	Up	match
IBM	2014-09-08	 190.14	 191.11	Up	Up	match
IBM	2014-11-17	 164.16	 181.71	Stable	Up	miss
IBM	2015-06-01	 170.18	 171.23	Stable	Stable	match
IBM	2016-03-22	 148.10	 137.25	Down	Down	match
IBM	2016-09-09	 155.69	 160.76	Down	Down	match
IBM	2016-11-25	 163.14	 156.16	Down	Down	match
IBM	2017-02-07	 178.46	 168.50	Stable	Stable	match
IBM	2017-04-24	 160.75	 174.93	Down	Stable	miss
IBM	2017-11-02	 153.35	 144.53	Down	Down	match
INTC	2013-11-05	  24.03	  23.24	Down	Down	match
INTC	2014-01-16	  26.54	  24.86	Down	Down	match
INTC	2014-05-02	  26.41	  26.75	Down	Down	match
INTC	2014-06-19	  30.09	  26.94	Down	Down	match
INTC	2014-06-24	  30.50	  27.21	Down	Down	match
INTC	2014-06-25	  30.88	  26.88	Down	Down	match
INTC	2014-08-04	  34.05	  31.99	Stable	Down	miss
INTC	2014-09-08	  35.33	  33.91	Up	Stable	miss
INTC	2014-11-17	  34.24	  33.98	Stable	Stable	match
INTC	2015-06-01	  33.91	  32.90	Stable	Down	miss
INTC	2016-03-22	  32.32	  32.80	Down	Down	match
INTC	2016-09-09	  35.44	  35.34	Up	Up	match
INTC	2016-11-25	  35.44	  35.92	Up	Up	match
INTC	2017-02-07	  36.35	  37.04	Up	Up	match
INTC	2017-04-24	  36.75	  35.59	Up	Up	match
INTC	2017-11-02	  47.10	  37.34	Up	Up	match
PKG	2013-11-05	  60.61	  57.58	Down	Down	match
PKG	2014-01-16	  65.36	  61.77	Down	Down	match
PKG	2014-05-02	  66.40	  69.39	Down	Stable	miss
PKG	2014-06-19	  70.95	  68.96	Stable	Down	miss
PKG	2014-06-24	  70.24	  67.92	Stable	Down	miss
PKG	2014-06-25	  70.85	  70.02	Stable	Stable	match
PKG	2014-08-04	  67.39	  67.83	Down	Down	match
PKG	2014-09-08	  70.10	  68.95	Stable	Down	miss
PKG	2014-11-17	  72.81	  68.43	Stable	Down	miss
PKG	2015-06-01	  68.24	  70.21	Down	Stable	miss
PKG	2016-03-22	  58.98	  50.85	Down	Down	match
PKG	2016-09-09	  78.91	  73.83	Stable	Stable	match
PKG	2016-11-25	  85.43	  83.57	Up	Stable	miss
PKG	2017-02-07	  95.08	  84.76	Up	Stable	miss
PKG	2017-04-24	  94.08	  91.40	Up	Up	match
PKG	2017-11-02	 116.21	 117.46	Up	Up	match
MON	2013-11-05	 103.22	 103.56	Down	Down	match
MON	2014-01-16	 112.68	 113.55	Stable	Stable	match
MON	2014-05-02	 112.20	 112.99	Stable	Stable	match
MON	2014-06-19	 121.77	 116.02	Up	Up	match
MON	2014-06-24	 120.63	 118.75	Up	Up	match
